Date Time,Elapsed,ECR,ECR,ECR,EXR,EXR,EXR,EXR,EDR,EDR,EDR,EDR,ETR,ETR,ETR,ETC,ETC,ETC,ETC,ETD,ETD,ETX,ETX,ETX
1/10/23 17:31,0,0.1424242,0.08031972,0.07177969,0.08008585,0.07879437,0.09201591,0.1176501,0.1086807,0.07817896,0.1363377,0.1144732,0.1050352,0.07961432,0.1268585,0.11067,0.08174727,0.06895392,0.08615394,0.1364452,0.1142602,0.07961631,0.09816905,0.1178175
1/10/23 21:31,4,0.1201435,0.07089425,0.08082134,0.08512614,0.06924716,0.07600477,0.1135947,0.09227707,0.07800482,0.1250301,0.104398,0.09849728,0.07693964,0.1035828,0.09029316,0.1149945,0.06112565,0.0733472,0.08526003,0.1077784,0.0880646,0.08584243,0.120243
1/11/23 1:31,8,0.09429994,0.07287221,0.06393766,0.05384022,0.05295949,0.06991835,0.08745188,0.08446699,0.07250638,0.114071,0.09137043,0.06366567,0.06859019,0.07421289,0.08190899,0.08612671,0.04987637,0.06067077,0.07679064,0.08045682,0.06932431,0.06980322,0.08666669
1/11/23 5:31,12,0.07834415,0.06316449,0.05546401,0.05121367,0.04501529,0.05667054,0.06022091,0.08120292,0.06080604,0.1083825,0.07797827,0.0607211,0.05478523,0.06766626,0.06819056,0.06552748,0.03928351,0.05512455,0.06293952,0.07102875,0.05491621,0.05783882,0.072977
1/11/23 9:31,16,0.06705917,0.05721374,0.05096215,0.05403053,0.0446348,0.05969664,0.06629556,0.07527065,0.0542092,0.08000036,0.07440627,0.068876,0.05973706,0.0698559,0.05567826,0.05470343,0.0312227,0.04485014,0.07143675,0.07385347,0.04580684,0.05402049,0.06723854
1/11/23 13:31,20,0.05783724,0.05006992,0.04987763,0.05911296,0.03964183,0.05229352,0.06606366,0.08950269,0.04736144,0.06264831,0.06777625,0.08685478,0.06807413,0.06887177,0.05130688,0.04828928,0.03156332,0.04100861,0.08379883,0.06678147,0.04244632,0.04779827,0.06031252
1/11/23 17:31,24,0.05023629,0.04645873,0.04962061,0.06213726,0.03551789,0.05862052,0.06545869,0.06189814,0.03666183,0.05133363,0.06049579,0.1043775,0.07082842,0.06142419,0.04489303,0.03959989,0.02619472,0.03212954,0.06803659,0.06985291,0.04557334,0.04486734,0.05448513
1/11/23 21:31,28,0.04681323,0.04839454,0.04714391,0.05875873,0.03935491,0.06411546,0.06890894,0.05842271,0.03305773,0.03742804,0.05255208,0.1295134,0.0900295,0.07672657,0.0306348,0.03751256,0.01881321,0.02538294,0.04989628,0.0577638,0.04986253,0.04808526,0.06445066
1/12/23 1:31,32,0.04675427,0.03967122,0.0438776,0.06139931,0.04163424,0.07170829,0.07514105,0.04699622,0.0247675,0.02606904,0.04355008,0.1607868,0.1068229,0.09293552,0.03330163,0.03783994,0.02013765,0.0266162,0.03962607,0.04020987,0.04732271,0.05257362,0.06186767
1/12/23 5:31,36,0.05334979,0.03823252,0.03925746,0.05055206,0.05052324,0.07452546,0.07852452,0.02743458,0.01598764,0.02880859,0.03968117,0.1886338,0.1235701,0.1139955,0.0386538,0.04475766,0.02177699,0.03002636,0.02112208,0.02820551,0.05435219,0.06428187,0.07225556
