Date Time,Elapsed,ECR,ECR,ECR,ECR,EXR,EXR,EXR,EXR,EDR,EDR,EDR,EDR,ECA,ECA,ECA,ECA,EXA,EXA,EXA,EXA,ETA,ETA,ETA,ETA,EDA,EDA,EDA,EDA,ETR,ETR,ETR,ETR,ETC,ETC,ETC,ETC,ETD,ETD,ETD,ETD,ETX,ETX,ETX,ETX,ECR,ECR,ECR,ECR
11/15/22 15:02,0,0.07775278,0.1397696,0.1082124,0.03999317,0.1165317,0.1581671,0.1693088,0.1102031,0.1795062,0.1151147,0.1775498,0.1727239,0.1820424,0.1628649,0.1896983,0.1453884,0.1201884,0.1794229,0.1755698,0.07968534,0.1460048,0.1259069,0.1747407,0.1487036,0.1593575,0.110478,0.1185343,0.1431657,0.1431121,0.1699163,0.2248244,0.126152,0.1358232,0.1869826,0.2021978,0.1870027,0.1161391,0.1731505,0.1223868,0.1674895,0.1988973,0.1607662,0.1224465,0.1229915,0.1777049,0.2247888,0.1418691,0.1032232
11/15/22 19:02,4,0.07068266,0.1131977,0.0918649,0.03759519,0.1163524,0.1654165,0.1293634,0.09739444,0.142326,0.07889675,0.132667,0.133473,0.1541392,0.2131046,0.1659346,0.1421938,0.101909,0.1561719,0.1154616,0.07134214,0.1424284,0.1255046,0.1331077,0.1205019,0.1339212,0.1029014,0.09916193,0.1445097,0.1281868,0.1641487,0.2097975,0.1145895,0.1649464,0.169308,0.2204539,0.1726008,0.09695734,0.1518265,0.1016869,0.1463662,0.1816983,0.1380888,0.1384744,0.1249394,0.1315145,0.1586963,0.1387759,0.09695746
11/15/22 23:02,8,0.06475429,0.09892648,0.09551908,0.03848326,0.09598125,0.1415386,0.1229859,0.07551908,0.1104268,0.07835276,0.1075385,0.1359961,0.1235485,0.1643286,0.1502657,0.1294108,0.1095666,0.143255,0.1291537,0.05967285,0.1123902,0.1118038,0.1348969,0.1038145,0.1105764,0.1014468,0.0965208,0.1128737,0.1169548,0.1335546,0.1553627,0.08802947,0.1510727,0.1214392,0.1942561,0.1714862,0.09082448,0.1205392,0.07605993,0.1350763,0.1611021,0.1112482,0.1274642,0.1095962,0.1198668,0.1217803,0.1227717,0.09056422
11/16/22 3:02,12,0.0790814,0.09705744,0.0928227,0.05280472,0.106459,0.1194381,0.1237252,0.06786811,0.09253336,0.08123489,0.09884699,0.1403142,0.1181424,0.1358794,0.1030181,0.11263,0.09207068,0.1416798,0.1486599,0.07104947,0.113083,0.08752218,0.1103149,0.07523674,0.1114455,0.09503509,0.090593,0.1340419,0.09987734,0.1540609,0.1503532,0.07830758,0.1350191,0.1323884,0.1876384,0.1428182,0.07221902,0.1015276,0.07188527,0.150972,0.1324026,0.118095,0.1170216,0.07385223,0.1351398,0.1191525,0.1144588,0.1312718
11/16/22 7:02,16,0.09068878,0.1322528,0.07158392,0.07411651,0.1166315,0.1222458,0.09818317,0.09941372,0.1004445,0.08154802,0.0871008,0.1275387,0.1058404,0.1310192,0.07187967,0.09035871,0.09520718,0.1428131,0.1728892,0.05015771,0.1047551,0.06947933,0.1001892,0.06712783,0.1147767,0.09639809,0.1136026,0.1193199,0.07541302,0.1034139,0.1219108,0.05576489,0.1614593,0.1671385,0.2533035,0.1584915,0.08857301,0.1008062,0.09749141,0.1289977,0.114781,0.1255727,0.08488099,0.06898022,0.1059057,0.1023736,0.1435101,0.09576418
11/16/22 11:02,20,0.05258482,0.107304,0.08827279,0.04848688,0.1048817,0.1202255,0.08458856,0.07766352,0.09811734,0.08926429,0.1205166,0.1250624,0.08707391,0.1279885,0.06179101,0.09119557,0.08583735,0.1240012,0.1767721,0.049491,0.08617433,0.06755617,0.09556005,0.05899633,0.1262536,0.1044174,0.1407476,0.1145699,0.0743028,0.1009918,0.1194209,0.05208818,0.1450379,0.1709687,0.2691894,0.1439885,0.08427654,0.09940669,0.07678294,0.1005826,0.105103,0.1141559,0.06032798,0.04668502,0.08573551,0.1030834,0.1288597,0.1048819
11/16/22 15:02,24,0.0511925,0.09779496,0.09986018,0.04356823,0.1069896,0.1107113,0.07349817,0.0745985,0.1230525,0.08407792,0.1019141,0.1149002,0.08695911,0.148514,0.05161713,0.08670257,0.08461951,0.1244957,0.147968,0.0491792,0.06583124,0.07969097,0.09933309,0.04657796,0.1178935,0.1025302,0.1296681,0.1223717,0.06050954,0.07328416,0.1127059,0.04788707,0.2109319,0.1771936,0.2894633,0.1770056,0.08432544,0.0936935,0.06517435,0.08632109,0.09629147,0.08574865,0.06290315,0.04598124,0.0910457,0.09117205,0.1217381,0.1040256
11/16/22 19:02,28,0.06143872,0.1042822,0.08877534,0.05689178,0.1100857,0.09861078,0.06564438,0.06690009,0.1119339,0.07821639,0.1011661,0.10314,0.06772837,0.112298,0.04064357,0.09101872,0.07939468,0.1357323,0.1315548,0.05655965,0.07622679,0.05490243,0.09810436,0.04370312,0.1247698,0.1030679,0.1656602,0.1272408,0.054926,0.06044674,0.09844186,0.03838161,0.1307907,0.2026586,0.3324867,0.2013185,0.117374,0.09490561,0.06862663,0.08346079,0.08652344,0.06146793,0.03573707,0.05871439,0.08884919,0.08799461,0.1243831,0.08466695
11/16/22 23:02,32,0.03713623,0.09244245,0.06755368,0.07038122,0.1107995,0.1039585,0.06160182,0.07652029,0.09812707,0.08938225,0.08896749,0.1030356,0.05876627,0.06060209,0.03819508,0.06558171,0.06429191,0.1343828,0.1361367,0.05314841,0.05214304,0.06251547,0.09739941,0.04745137,0.1268834,0.1075447,0.1944309,0.141271,0.04061062,0.04139399,0.08242377,0.03827929,0.1521555,0.2154929,0.3489384,0.2406886,0.0854532,0.09773547,0.07005922,0.08038739,0.06746043,0.04386511,0.0312077,0.04823902,0.09801344,0.08560564,0.1176944,0.09550471
11/17/22 3:02,36,0.04506352,0.07294865,0.08079058,0.07584602,0.1189002,0.1053165,0.06673067,0.08467102,0.09989493,0.08592089,0.100584,0.1014939,0.05059163,0.05270818,0.03048291,0.03854343,0.07498191,0.1361665,0.1003518,0.06248835,0.05492489,0.08013599,0.09046314,0.05146471,0.1342108,0.1046711,0.1609954,0.158794,0.04217307,0.05248741,0.07932254,0.02051635,0.19029,0.228837,0.5003688,0.2737734,0.09034275,0.09950166,0.08515961,0.08499067,0.05305796,0.04161366,0.02098413,0.05427144,0.1068157,0.09683231,0.1211102,0.08309551
