Date Time,Elapsed,UT,UT,UT,E,E,E,E,R,R,R,R,C,C,C,C,X,X,X,T,T,T,D,D,D,ER,ER,ER,EC,EC,EC,EX,EX,EX,ET,ET,ED,ED,ED,
1/10/23 17:31,0,0.1341396,0.1216916,0.05096742,0.08545599,0.05647883,0.09796881,0.0950166,0.1104901,0.07539355,0.09739277,0.05757723,0.07143572,0.1276319,0.07536818,0.07931235,0.08616265,0.104771,0.07364421,0.09957708,0.07587333,0.09031899,0.1403427,0.09865929,0.1317912,0.1156104,0.1341042,0.09765253,0.07494111,0.006372046,0.06356794,0.08668384,0.0911219,0.07450707,0.09160033,0.08402172,0.1380473,0.1113296,0.1113296,
1/10/23 21:31,4,0.118726,0.130699,0.05303431,0.08951403,0.06311445,0.0929865,0.09689652,0.1126472,0.06656678,0.1036825,0.07116816,0.05821785,0.1239174,0.0705271,0.07669058,0.07932903,0.09684648,0.078085,0.08564091,0.07384177,0.08146001,0.1315003,0.08508005,0.1097615,0.1165664,0.1141213,0.09597789,0.07398189,0.0137461,0.06767502,0.07471999,0.08008873,0.05970847,0.08972611,0.0782775,0.1126866,0.1100601,0.1100601,
1/11/23 1:31,8,0.1078494,0.1090676,0.04148212,0.08505337,0.06094168,0.07477416,0.08417966,0.08974534,0.06366436,0.0918026,0.06114905,0.0413281,0.1118377,0.0583856,0.06432419,0.05070345,0.07999095,0.05555133,0.07775917,0.06224969,0.05968447,0.1098325,0.07563441,0.08724643,0.08600795,0.09487833,0.07966013,0.05627186,0.007946484,0.05177634,0.07153721,0.05855582,0.04590286,0.06731393,0.08336727,0.09552208,0.08792513,0.08792513,
1/11/23 5:31,12,0.09718281,0.08883259,0.03991976,0.08285343,0.04700046,0.06499603,0.0728076,0.08908686,0.05261931,0.08666743,0.05688865,0.04224286,0.08544172,0.04573619,0.06054142,0.04878742,0.06594814,0.04695025,0.06142442,0.05477942,0.04896533,0.1055644,0.06603341,0.07311352,0.0743456,0.08276077,0.06439446,0.0438458,0.005771226,0.03906499,0.05572423,0.04551207,0.04529375,0.061018,0.07237472,0.09795964,0.06262825,0.06262825,
1/11/23 9:31,16,0.09615743,0.0847163,0.03846831,0.06989658,0.04289438,0.06570774,0.0803159,0.09527452,0.05593761,0.08617445,0.05902286,0.0314128,0.05727725,0.03820212,0.05483818,0.04498861,0.05302015,0.04294217,0.06857654,0.05681255,0.05615878,0.09272914,0.04933308,0.08065283,0.08690557,0.08649325,0.07499274,0.03982909,0.004581725,0.02816251,0.04902204,0.0458593,0.03973842,0.06752378,0.06972368,0.09216656,0.05821583,0.05821583,
1/11/23 13:31,20,0.09546296,0.09587288,0.04221621,0.07367036,0.04805511,0.07048737,0.08175372,0.08009836,0.0543337,0.08027445,0.05236454,0.02801984,0.04700887,0.03104069,0.04279274,0.03902989,0.04750347,0.03263704,0.08135343,0.05498844,0.06402882,0.08855879,0.0480461,0.07899117,0.0982075,0.1001187,0.08519717,0.03569579,0.005127375,0.02688868,0.04075658,0.04122918,0.03509201,0.07428971,0.09621985,0.08592082,0.06095525,0.06095525,
1/11/23 17:31,24,0.07732958,0.07769857,0.02933298,0.09187815,0.05764757,0.07459431,0.08441247,0.08769743,0.03587679,0.06621242,0.05681858,0.01755915,0.03745591,0.02450985,0.03283262,0.02890663,0.02899478,0.02660681,0.07936843,0.05649386,0.05184636,0.07982522,0.04546251,0.07713798,0.1052794,0.1089259,0.08420816,0.0275667,0.004927212,0.02300125,0.03980311,0.03645124,0.03594248,0.07458812,0.105368,0.05982484,0.04905633,0.04905633,
1/11/23 21:31,28,0.07137192,0.07216383,0.02539484,0.1072785,0.06328273,0.08610345,0.08882006,0.07920177,0.04093856,0.04998455,0.05561326,0.02126267,0.04502016,0.02374858,0.02730004,0.02634662,0.03610151,0.02434976,0.07595601,0.05943104,0.05188356,0.07038005,0.0391748,0.06823692,0.1304246,0.1306819,0.09437776,0.02160861,0.004103888,0.02022683,0.03833739,0.03294502,0.03188119,0.08159864,0.1098407,0.05393118,0.0357751,0.09301068,
1/12/23 1:31,32,0.0718478,0.06270918,0.02457579,0.1168503,0.06632222,0.09446499,0.09628579,0.06593841,0.04230311,0.05092125,0.05193853,0.01867197,0.02936327,0.02361694,0.01583096,0.02376929,0.03520325,0.02150885,0.07841977,0.05948247,0.05345749,0.06170315,0.03774622,0.06539251,0.1336772,0.1499563,0.1154392,0.02204122,0.004371317,0.02339506,0.037327,0.03692706,0.03458965,0.1007569,0.145283,0.04699866,0.02893134,0.04454355,
1/12/23 5:31,36,0.08897405,0.05196639,0.0216975,0.1298199,0.06504159,0.1153796,0.1125954,0.06215483,0.03734607,0.04662259,0.04419465,0.01606651,0.03153001,0.02146452,0.02215288,0.01904916,0.03692197,0.02091709,0.08431122,0.06156918,0.06504348,0.06383979,0.03670644,0.06870444,0.1546796,0.1750354,0.1409104,0.02121471,0.004129015,0.02314073,0.03932466,0.03572341,0.0377118,0.1191132,0.1625243,0.03825846,0.02045054,0.03106924,
