1.167,1.417
0.856,1.342
1.536,0.939
2.314,0.953
1.995,1.064
2.148,1.495
1.578,1.481
1.62,1.884
4.356,7.467
5.689,7.453
5.398,7.05
5.3,6.453
5.745,6.328
5.911,5.995
6.564,5.814
6.689,6.078
7.064,6.231
7.217,6.55
7.12,6.439
6.55,6.981
5.564,5.036
5.509,4.87
5.828,4.62
6.523,4.023
6.106,3.467
6.342,3.328
6.592,3.078
6.731,2.717
6.411,2.842
6.175,2.606
7.203,0.884
6.8,1.092
6.036,1.175
5.87,0.8
5.384,0.37
5.606,0.245
5.939,0.286
6.3,0.189
6.634,0.384
6.953,0.356
8.814,1.245
9.842,5.731
10.036,5.648
10.925,5.134
11.023,5.342
11.578,5.439
12.37,6.203
11.842,6.245
11.481,7.009
11.023,7.273
11.898,8.05
12.273,7.884
13.106,6.828
