Elapsed,CALU6 WT-5uME,CALU6 WT-5uME,CALU6 WT-5uME,CALU6 WT-5uMAE,CALU6 WT-5uMAE,CALU6 WT-5uMAE,CALU6 WT-E,CALU6 WT-E,CALU6 WT-E,CALU6 WT-E,CALU6 WT-E,CALU6 WT-AE,CALU6 WT-AE,CALU6 WT-AE,CALU6 WT-AE,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,HCC4006 WT-50nME,HCC4006 WT-50nME,HCC4006 WT-50nME,HCC4006 WT-50nME,HCC4006 WT-50nMAE,HCC4006 WT-50nMAE,HCC4006 WT-50nMAE,HCC4006 WT-50nMAE,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-AE,HCC4006 WT-AE,HCC4006 WT-AE,HCC4006 WT-AE,HCC4006 WT-UT,HCC4006 WT-UT,HCC4006 WT-UT,HCC4006 WT-UT,HCC4006 WT-UT,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT
0,0.04525991,0.2454552,0.08027616,0.07914937,0.01049975,0.0132314,0.01288994,0.01673131,0.02774325,0.02354335,0.07156906,0.05453043,0.1413967,0.1230435,0.006999836,0.3105878,0.3363848,0.01179728,0.337836,0.08900034,0.06342534,0.09973912,0.3502991,0.2460015,0.05437677,0.06164977,0.1716496,0.3816447,0.1624133,0.05821814,0.2143486,0.2198802,0.1264239,0.1077975,0.2072976,0.430746,0.1133803,0.1763617,0.1970881,0.3047319,0.2121462,0.2677864,0.1778812,0.01106316,0.1315798,0,0.01026073,0.02919444,0.0392503,0.1153436,0.03339434,0.004353556,0,0.04210145,0.02576281,0.03703084,0.01099486,0.04252827,0.2173364,0.1418918,0.02212631,0.2350238,0.02501161,0.002817007,0.09523191,0.104878,0.02381651,0,0,0.01618499,0.1131925,0.05534992,0.02986027,0.0034487,0.01357285,0,0.1934003,0.1036659,0.03759424,0.0792518,0.07370315,0.02217753,0.01666302,0.1471161,0.1320579,0.05847424,0.009919279,0.01917272,0.07558116,0.08357121,0.04980128
2,0.3018637,0.4734792,0.442475,0.4641232,0.6829962,0.3507088,0.5273608,0.8903279,0.5650746,0.5007785,0.4908592,0.3730059,0.27873,0.4459578,0.2143657,0.3801765,1.317096,0.2746155,0.4667012,0.489391,0.6831669,0.2072293,0.4541527,0.5177659,0.1701301,0.4034978,0.5547968,0.6888009,0.1411064,0.4427823,0.5970006,0.2423821,0.1443503,0.4044027,0.5531919,0.5856643,0.2027562,0.3428383,0.3063367,0.5343265,0.2743082,0.5306217,0.2282288,0.1616108,0.3177925,0.02284337,0.06701063,0.1318872,0.3073099,0.178069,0.1971905,0.1798616,0.2287922,0.1318018,0.03530649,0.1293433,0.06552529,0.1704204,0.300054,0.1476795,0.2003831,0.1876468,0.1582817,0.02695791,0.132331,0.1178875,0.1419601,0.01364114,0.04220388,0.03955761,0.07679332,0.1307433,0.0894101,0.008485166,0.04981834,0.03306995,0.06619113,0.1355749,0.0608815,0.06048882,0.06501311,0.005770597,0.03766254,0.1927004,0.04884519,0.02598476,0.1063634,0.03318946,0.04377458,0.06151319,0.04198194
4,0.2078951,0.2450796,0.507215,0.3381774,0.4774912,0.2037294,0.5242194,0.5463457,0.2928834,0.390386,0.3503674,0.2226118,0.2140242,0.2578159,0.1728106,0.2701083,1.191577,0.2079122,0.2851152,0.2780301,0.5332168,0.2263508,0.648697,0.4536406,0.1163509,0.430985,0.3536454,0.5658258,0.1393138,0.3831471,0.4823228,0.287164,0.1360358,0.5223414,0.6690477,0.6739135,0.2147755,0.3392359,0.2249167,0.2752472,0.3046636,0.4492188,0.1913857,0.1174094,0.2716961,0.03127731,0.07996885,0.1446576,0.427707,0.1549183,0.1676546,0.4287997,0.2406407,0.09475387,0.0501598,0.1556354,0.02577988,0.1728618,0.3010612,0.08348584,0.1900199,0.1621743,0.1042634,0.03165292,0.09011009,0.07482995,0.1161802,0.01647522,0.0411283,0.09728064,0.06071077,0.09036617,0.1052878,0,0.04208438,0.04092343,0.09321733,0.1189801,0.06415948,0.07274707,0.08867597,0.01145583,0.08041275,0.1103242,0.05562309,0.02537014,0.1213703,0.04239169,0.04141854,0.0687179,0.02091414
6,0.1597499,0.2709449,0.4540162,0.3162389,0.3595355,0.1488233,0.4597356,0.3409944,0.1885687,0.3046294,0.2993881,0.2065122,0.206,0.1745179,0.1207216,0.2655499,0.6738793,0.0963075,0.2219289,0.2559038,0.3734839,0.2562964,0.6410654,0.4530259,0.1744837,0.4148683,0.3041514,0.5712549,0.1894736,0.3620964,0.4972444,0.2499112,0.1362236,0.531151,0.6967056,0.624061,0.2772789,0.3730912,0.212095,0.242348,0.2976296,0.4229608,0.1547988,0.1024878,0.2593354,0.03472602,0.08278586,0.1684058,0.3636329,0.1327749,0.1321091,0.405649,0.2250703,0.07751037,0.0495964,0.1451868,0.06586675,0.1783763,0.3377165,0.08280294,0.1791787,0.1563183,0.08367365,0.01978734,0.07945667,0.03957468,0.08731015,0.01485331,0.03776497,0.09775868,0.07124467,0.09372951,0.1143022,0,0.01007293,0.03892592,0.1420113,0.06310096,0.07243977,0.05622063,0.07602505,0.01980441,0.09149297,0.05538407,0.05036467,0.02581403,0.1238459,0.04426969,0.008553458,0.09596604,0.02333848
8,0.1472697,0.2191461,0.2853372,0.2925419,0.3095123,0.1527842,0.425112,0.170574,0.1357627,0.2860543,0.3077196,0.1672619,0.1937418,0.1805958,0.123402,0.2586012,0.5059345,0.1459039,0.1722984,0.1580085,0.2931053,0.282708,0.6148416,0.4762791,0.1655717,0.382891,0.274718,0.6469385,0.1979588,0.3546868,0.552048,0.2848933,0.1405089,0.5940129,0.7289903,0.625461,0.3020515,0.4797448,0.2208875,0.2079293,0.2955467,0.4553478,0.174313,0.09401974,0.2438845,0.03397481,0.0899735,0.1517428,0.3486089,0.118468,0.1116218,0.3194998,0.2515844,0.07390802,0.05917422,0.1477819,0.06943496,0.2155266,0.346287,0.06883741,0.1991027,0.1300091,0.07153491,0.01765324,0.07223489,0.03696255,0.1235727,0.0101583,0.03093586,0.08789063,0.06926423,0.1017708,0.1079511,0,0.009407096,0.03610891,0.1513842,0.09198809,0.06622528,0.06038639,0.07575188,0.03754302,0.06666917,0.05890106,0.05412068,0.02009465,0.09560751,0.05869618,0.009919279,0.1204313,0.01690204
10,0.1446234,0.2149462,0.2407944,0.3617208,0.2699376,0.1553281,0.3773765,0.1661522,0.09840745,0.2773813,0.3259021,0.2133584,0.2271191,0.1824225,0.1250239,0.2116853,0.4107709,0.08164199,0.1308969,0.1323652,0.2121121,0.2975272,0.5925446,0.4480066,0.180408,0.3594501,0.3471748,0.5906667,0.2070586,0.3788106,0.5382191,0.2737448,0.1302994,0.5909227,0.6906277,0.6074492,0.340414,0.483074,0.203166,0.231797,0.2549306,0.4133318,0.2178144,0.0865248,0.2386773,0.05227682,0.1050488,0.1378626,0.2939419,0.09757088,0.1018903,0.1742618,0.2513965,0.05330119,0.06521798,0.1708131,0.03762839,0.2412895,0.2839202,0.0629473,0.1959442,0.1436161,0.08739552,0.02487503,0.04843545,0.01775568,0.1005245,0,0.04020638,0.0691618,0.07583725,0.08705406,0.1167948,0,0.009014422,0.04474773,0.1712911,0.06743744,0.06335705,0.07337877,0.08456143,0.04496968,0.09693919,0.05374508,0.05294266,0.01965076,0.07759574,0.04073563,0.00899735,0.1178021,0.02345799
12,0.125997,0.1968832,0.1970198,0.2752131,0.2702961,0.1805275,0.3679011,0.1538598,0.07817622,0.2467527,0.3384335,0.1975661,0.2518234,0.1833445,0.1232142,0.2356042,0.3408408,0.1143363,0.1144217,0.1188606,0.1922394,0.3099903,0.5905983,0.43778,0.1773861,0.3453992,0.327746,0.6070565,0.2214168,0.5663038,0.5866716,0.312261,0.1243581,0.612349,0.7298268,0.6740671,0.2742058,0.4438749,0.204344,0.2326336,0.2670352,0.4408189,0.2919956,0.08638822,0.2247459,0.05787669,0.1031537,0.1417552,0.2712522,0.09321732,0.09145883,0.1979076,0.2152876,0.06224732,0.07662259,0.2017489,0.0341114,0.2279215,0.3413871,0.06030103,0.1865712,0.2067171,0.07733965,0.002390188,0.03737229,0.02753838,0.1202094,0.02173364,0.03177243,0.07363486,0.08181272,0.08814671,0.1110584,0,0.01367529,0.03913079,0.1899346,0.1020269,0.05825229,0.06962276,0.08526142,0.0444575,0.08843695,0.05664745,0.08355413,0.028153,0.08560287,0.04208438,0.02951882,0.09741723,0.02227997
14,0.09734894,0.1982319,0.2117706,0.2826226,0.2535989,0.1819957,0.3135073,0.1600231,0.05540114,0.244704,0.3307337,0.2144169,0.2543672,0.2021416,0.1111096,0.230158,0.3060123,0.1232313,0.1157875,0.1062097,0.1549354,0.3433334,0.5896764,0.4915763,0.2355018,0.3700181,0.3528771,0.5796547,0.2220484,0.6058273,0.5740719,0.309461,0.1637279,0.6291999,0.8040934,0.735051,0.2781496,0.5065662,0.2114463,0.2645084,0.2901347,0.4216633,0.1832079,0.0939856,0.2129657,0.05977177,0.1013952,0.1457844,0.2649182,0.09328561,0.1005415,0.2047879,0.1782227,0.06217903,0.07033981,0.1944247,0.05130368,0.2409821,0.2962979,0.0599425,0.1822347,0.1990514,0.1032903,0,0.06347656,0.01954832,0.08864183,0.03733815,0.06151319,0.07315683,0.08527849,0.1021805,0.1227874,0,0.01275336,0.03670646,0.2069732,0.06762524,0.05256706,0.0706642,0.1140803,0.05458165,0.0748641,0.05854253,0.08032738,0.02729936,0.07042518,0.0336675,0.02880176,0.09268807,0.0183703
16,0.1237776,0.2093975,0.2161242,0.2835787,0.2384554,0.201544,0.2610768,0.1948344,0.05176464,0.1672961,0.3240924,0.2122999,0.2192656,0.1976515,0.1161802,0.2372261,0.2555111,0.144299,0.1270385,0.0875321,0.1720423,0.3782472,0.5667477,0.5328923,0.3470211,0.3437944,0.3649475,0.6650015,0.3176218,0.603659,0.6115466,0.3550453,0.3631037,0.7113369,0.877916,0.830061,0.3216169,0.5021102,0.2028757,0.2506453,0.1894224,0.4503797,0.3064904,0.09045154,0.222424,0.07843231,0.08876133,0.1432064,0.2475893,0.08497118,0.0998757,0.199649,0.1574622,0.06146197,0.07365193,0.205761,0.05562309,0.2484771,0.2372432,0.03706498,0.1741764,0.2033367,0.103222,0,0.06110344,0.01669717,0.08995643,0.04153805,0.07424948,0.07933716,0.0905369,0.09559044,0.1209093,0,0.02263849,0.03155048,0.1767715,0.1735789,0.05512797,0.07054469,0.1092145,0.06291316,0.07424948,0.04582331,0.09074178,0.02105073,0.06728379,0.05249877,0.02849445,0.07909814,0.01428991
18,0.1351651,0.2601036,0.2109341,0.2749228,0.2367652,0.2047196,0.2355701,0.2199485,0.09528313,0.1472356,0.3347458,0.2493478,0.3248095,0.1916077,0.1027952,0.1515891,0.2362018,0.1441966,0.1389724,0.08585896,0.1835323,0.3581014,0.5725012,0.523656,0.4107367,0.3079416,0.3785545,0.7469508,0.335497,0.6523335,0.625478,0.4076124,0.3200462,0.7090321,0.8954327,0.8451533,0.3151975,0.4986615,0.1898663,0.2895542,0.2129657,0.4513016,0.2932931,0.09478802,0.2142803,0.09541971,0.09214174,0.1631815,0.2463259,0.08381023,0.1189631,0.1979929,0.1451868,0.06429605,0.06970812,0.1828323,0.05697184,0.2442601,0.2117536,0.03458943,0.1687814,0.1607743,0.1029317,0.007819329,0.03045782,0.01650937,0.1068243,0.03940395,0.09757088,0.09736601,0.1005074,0.09854403,0.1035805,0,0.01997514,0.03358214,0.1824567,0.1814494,0.04995492,0.06719843,0.1214728,0.06940081,0.06818864,0.05224267,0.0774933,0.03948932,0.05217439,0.04753059,0.02530185,0.07518848,0.01490453
