Elapsed,CALU6 WT-5uME,CALU6 WT-5uME,CALU6 WT-5uME,CALU6 WT-5uMAE,CALU6 WT-5uMAE,CALU6 WT-5uMAE,CALU6 WT-E,CALU6 WT-E,CALU6 WT-E,CALU6 WT-E,CALU6 WT-E,CALU6 WT-AE,CALU6 WT-AE,CALU6 WT-AE,CALU6 WT-AE,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,HCC4006 WT-50nME,HCC4006 WT-50nME,HCC4006 WT-50nME,HCC4006 WT-50nME,HCC4006 WT-50nMAE,HCC4006 WT-50nMAE,HCC4006 WT-50nMAE,HCC4006 WT-50nMAE,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-AE,HCC4006 WT-AE,HCC4006 WT-AE,HCC4006 WT-AE,HCC4006 WT-UT,HCC4006 WT-UT,HCC4006 WT-UT,HCC4006 WT-UT,HCC4006 WT-UT,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT
20,3.788038,6.153727,8.970272,8.268155,7.499556,5.684703,12.7362,13.1347,10.8564,7.977696,6.63074,9.353915,6.324813,9.995184,8.611744,5.863318,10.41326,7.499794,5.033002,6.962839,13.07703,6.294747,7.034033,6.532418,3.920079,6.765341,9.095211,10.32052,6.96301,4.864988,10.72284,7.509236,7.678922,6.726467,11.28657,9.112711,8.385427,9.2538,6.741422,10.48208,7.62091,7.013494,7.655857,7.465001,6.729523,4.866781,6.880822,7.989595,7.126618,4.060331,7.16983,6.254627,9.049149,8.425292,5.442833,8.354202,6.821255,4.856435,4.673279,4.969832,6.136909,6.002837,6.827179,4.68989,4.239886,4.96891,7.034715,4.326889,7.225811,6.676392,8.57724,9.024529,7.847329,7.029116,7.138996,6.766741,7.071235,6.674428,9.20393,7.544167,8.067413,7.272198,5.223176,5.86226,5.307992,6.010144,6.70405,6.480244,3.542753,7.823153,5.699335
22,3.926379,6.140051,8.469375,8.281028,7.624562,5.813483,12.80649,13.52314,11.2429,8.330077,6.921523,9.305121,6.491238,9.861181,9.305668,6.256488,10.95944,8.137701,4.828026,7.185059,12.79012,6.662034,7.645699,7.448132,4.392431,7.159228,9.829869,11.30357,7.638511,5.336145,10.83919,7.910959,8.311623,7.134062,11.29528,9.699621,8.805708,9.680175,7.607797,11.75873,8.282633,7.456584,8.068336,7.316399,6.723804,5.305124,6.835698,7.925248,7.277609,3.820067,7.242252,6.073929,9.283096,8.748036,5.676491,8.789984,7.338167,5.033018,4.756064,4.992932,6.591848,6.009205,7.012572,4.784354,4.01642,4.926262,6.894719,4.483377,7.510346,7.095341,9.338191,9.247363,7.967214,7.862506,6.523608,7.205973,7.302946,6.74062,9.489865,7.661714,7.986506,7.48962,5.242996,6.362151,5.503425,6.462727,7.155557,6.935045,3.749761,7.922414,5.795847
24,3.959893,6.476265,9.227918,8.455273,7.955126,5.75827,12.92824,13.3738,11.67868,8.600101,6.800596,9.400865,6.879353,10.55039,10.72283,6.394026,11.47102,8.056401,4.815494,7.148677,12.20754,6.604533,7.823119,7.807378,4.496421,7.096981,9.790277,11.45397,8.096574,5.589625,11.41876,7.808846,8.608381,7.372073,12.05355,9.431289,8.922571,9.682138,8.670884,11.01235,8.930937,8.503879,8.561874,7.391536,6.809099,5.293259,6.899738,8.033404,7.477104,3.986065,7.546626,6.382707,8.918457,8.65801,6.074919,8.815542,7.339362,5.210439,5.270603,5.712498,6.805309,6.258502,6.827845,5.091851,4.558873,5.357265,7.579165,4.939648,7.590605,7.604349,9.788332,9.861641,8.074874,8.058655,7.006289,7.306566,7.663676,6.90626,10.62343,7.894756,8.580775,8.260831,5.407015,6.660872,5.847851,6.374733,7.618912,7.387371,3.924057,8.742984,6.185755
26,3.942256,6.526032,9.912212,8.358179,8.079825,5.964287,13.76327,14.03571,11.82562,8.825155,7.428482,9.266006,6.754654,11.44615,10.28174,6.431159,11.62506,8.066048,4.837723,7.33984,12.74407,7.103775,7.908586,7.602368,4.391048,7.434423,10.4195,12.2274,8.715803,5.773891,11.76934,8.208758,8.665592,7.568461,12.12686,9.96891,8.873436,10.63217,9.465008,11.73026,9.587982,9.109569,9.213748,7.596034,6.732255,5.363787,7.384297,8.362158,7.799439,4.240705,7.734477,6.804062,9.030966,8.482008,6.575731,9.312548,7.333677,5.286208,5.282537,6.074901,6.254866,6.450196,6.98167,4.98274,4.850869,5.459565,7.518045,4.89782,7.658811,7.491583,9.880354,10.44725,8.010441,8.520951,6.758171,7.790903,7.536894,7.059113,10.51181,8.436543,8.901538,8.640562,5.644617,7.04904,6.097011,6.863203,7.827557,7.703166,4.388112,9.088058,6.54063
28,4.076278,6.747158,9.449249,8.804906,8.159265,6.161136,14.74434,14.99226,12.34725,9.053348,7.481424,9.917981,6.833086,10.51981,10.07688,6.440617,12.13657,8.922094,5.04683,7.654167,12.65113,7.170137,7.889464,7.95627,4.690351,7.41117,10.68935,12.2661,9.527493,6.06307,12.31083,8.218627,8.921309,7.359064,12.38981,9.853157,9.257505,10.69092,10.44835,13.61219,10.39194,9.299744,9.79581,7.974879,6.811728,5.391768,8.232267,8.334551,8.097035,4.652262,7.951488,7.166722,9.328015,8.560269,6.474644,9.726801,7.089604,5.373262,6.024793,6.318974,6.984214,6.482308,7.467255,5.690526,4.801529,5.669133,7.6731,5.241221,7.833243,7.562623,10.52289,11.11403,8.436015,8.599195,7.620379,8.05022,7.826107,7.531123,11.37869,8.754951,9.387138,9.001277,6.387009,7.758567,6.451169,7.024404,8.204098,7.867628,4.615555,9.616443,7.310817
30,4.161027,6.716428,9.681696,9.194626,8.7192,6.363602,15.02907,15.73946,13.25407,9.575127,8.130156,10.36047,7.51861,11.85004,10.56343,7.024813,13.04676,9.24779,4.859679,7.912614,13.48602,7.205187,8.254616,7.83495,4.818636,7.986727,11.07616,13.20384,9.400728,6.049959,12.30551,8.551135,9.31352,7.850282,12.62424,10.18882,9.775305,11.06368,11.25367,15.22483,10.48278,10.4073,9.79639,8.052389,7.085558,5.578289,7.738472,8.32593,8.411993,4.423657,8.28306,7.021723,9.357142,8.462221,6.6746,9.723215,7.445333,5.25954,6.078265,6.279945,6.722813,6.814527,7.601514,6.481984,4.827855,5.813107,8.215708,5.492259,8.237765,7.776954,11.0391,11.41607,8.912754,9.184212,8.484808,8.290879,8.547977,7.474015,12.04935,9.669795,9.945981,9.344951,6.896768,8.082403,6.830235,7.661799,9.017821,8.350327,5.464396,10.32235,7.760838
32,4.281783,7.178588,9.807521,9.792872,9.033595,6.713389,15.5534,16.40637,12.83166,9.816433,8.137104,10.71962,8.164267,11.04349,11.23115,7.373268,13.23368,8.843405,5.025028,7.969279,13.66986,7.562691,8.692327,8.206147,5.209056,8.754797,11.12095,12.59375,9.964505,6.006679,12.5062,8.599298,9.491948,7.913912,12.72466,10.26589,10.03614,11.28549,12.08091,15.07538,11.49504,11.58259,11.37427,8.073765,7.271976,5.652606,7.488766,8.266157,8.396696,4.635633,8.004807,6.998128,9.61856,8.61999,6.830593,10.02812,7.364766,5.354243,6.50534,6.514184,7.603632,6.955395,8.81334,6.330054,4.703019,6.211091,8.748071,5.644941,8.288319,8.921616,11.47148,11.75476,9.501081,9.284309,8.529573,8.430296,9.175282,7.945479,12.8412,10.55345,10.51715,10.14254,7.489466,8.838573,6.996933,8.51023,9.311112,9.218801,5.385059,11.643,7.848011
34,4.477505,7.305046,10.15266,10.37895,9.408854,6.596065,15.88758,17.04576,13.51945,10.30943,8.608176,10.80104,8.228427,11.54734,11.83085,8.037843,13.83005,9.18066,5.257884,8.338511,14.47505,7.657667,9.015788,8.523205,5.470867,9.03515,11.18804,13.13314,10.26881,6.106144,12.43188,8.350855,9.462089,8.081686,12.36893,10.70044,10.1074,11.44195,13.36124,16.25188,11.83291,12.92573,12.36156,7.86196,7.275322,5.964338,8.060823,8.210756,8.300816,4.622368,8.434307,6.622869,10.1039,8.697022,6.913499,10.35571,7.905341,5.350265,6.808296,6.598318,7.540889,7.234177,8.816259,6.590209,4.602751,6.280645,8.356626,6.167743,9.088314,8.754899,12.18634,12.37458,10.09159,9.794802,9.427857,8.990129,9.689138,8.414776,13.3892,11.51217,11.40548,10.72571,7.511797,9.208027,7.449465,8.846512,10.18029,10.53607,5.761446,12.21642,8.444005
36,4.542501,7.819978,10.39035,10.64564,9.575912,6.763566,16.25826,17.43589,14.50822,10.79889,8.637456,11.09175,8.616285,11.71537,12.61108,7.968886,15.04667,9.670769,5.281189,8.237782,14.10042,7.734528,9.096663,8.430073,5.743229,9.238827,11.47888,13.7312,10.77131,6.086511,12.16935,8.614561,9.592592,8.178438,12.64752,11.23325,10.26651,11.4265,13.0379,16.71984,12.78363,12.59725,11.7195,8.152845,7.314949,6.016154,7.519343,8.355465,8.429749,4.448925,8.086177,6.698706,10.33621,8.768883,6.706048,10.19519,7.965096,5.376864,6.618379,7.225316,8.042232,7.052215,8.837942,6.739254,5.266164,6.241173,8.723776,6.437716,9.445494,8.568977,12.62818,12.64985,11.33692,10.25869,9.951222,9.192407,10.19796,8.899677,13.69718,11.99215,12.20271,11.31293,8.069872,9.969867,8.070043,9.312274,10.80768,10.8288,6.275182,12.70701,9.251802
38,4.804721,7.880382,11.16074,11.19721,10.08757,7.158817,17.0741,18.47057,15.47956,11.44847,8.945926,11.83221,8.785733,12.29671,12.69475,8.45517,15.68505,9.956548,5.644633,8.78114,14.56625,8.030946,8.97133,8.868962,5.499702,9.30611,12.31964,13.85273,11.61998,6.062216,11.99724,8.340646,9.466698,7.960862,12.70743,11.45691,10.21349,11.44985,13.37602,17.70423,14.43755,12.29933,13.26942,8.191839,7.614234,6.068807,7.835753,8.659479,8.585196,4.451554,7.97254,6.649179,10.37616,9.059426,7.320667,10.0294,7.996817,5.692232,7.132679,7.532574,8.306313,8.070691,8.906506,8.14424,5.094173,6.405737,9.470215,6.941737,9.87752,9.078736,12.84564,13.50499,11.60918,10.7709,9.938214,9.606131,10.449,9.755329,15.25331,12.45394,12.7745,11.96224,8.756214,10.37423,8.568567,9.347684,10.97081,11.20115,6.880634,13.14685,9.781639
40,4.916343,8.2224,11.06841,11.12451,10.21911,7.447655,17.92209,19.71171,16.36891,12.2715,9.64738,12.33916,9.199731,13.64994,13.81202,8.808747,16.42315,11.11168,5.571801,9.32583,14.97278,7.845826,9.571576,8.884652,5.720198,9.146737,12.14099,14.92177,11.36288,6.335722,12.09903,8.681879,9.456982,7.815897,13.02917,11.53235,10.1365,11.89518,14.78739,19.97596,16.18041,13.97107,14.33712,8.698404,7.786242,6.44702,7.910515,8.950587,8.562866,4.701517,7.848779,6.708096,10.4987,9.347974,7.761725,10.22966,7.789468,5.613424,7.395873,7.621404,8.648725,8.971621,9.386165,8.009963,4.911188,6.818625,9.993769,7.258676,10.286,9.466133,13.64749,14.37076,12.1966,11.26782,10.09646,9.796577,11.25346,10.14819,16.64955,12.6652,13.51714,12.62525,9.240192,10.93808,9.026443,10.44253,12.37143,12.27638,7.165647,14.10774,10.61295
42,5.339048,8.744007,11.62634,11.39249,9.877451,8.138948,19.05791,20.69909,17.00632,12.9653,9.708721,13.28321,9.869752,14.05552,14.61342,8.884704,17.23272,10.55106,5.824393,9.463146,15.92683,8.105707,9.912979,9.317703,5.561711,9.41314,12.10246,15.52318,12.25576,6.404355,12.41066,8.796727,9.512042,8.14238,13.0646,11.3131,10.32875,12.19115,15.24235,21.68845,16.75358,13.96915,15.82286,8.558767,7.569247,6.415111,7.935919,9.249412,8.38705,4.780922,8.434888,6.437664,10.82948,9.638672,8.398079,9.627095,8.138624,5.160842,8.113014,7.706904,9.007952,8.888545,10.6215,8.218951,5.48478,7.202285,9.72209,7.215892,10.74408,10.14496,14.47138,14.47177,12.5308,11.22294,10.59453,10.35935,11.71061,10.41541,17.44091,13.30868,14.25407,12.80374,10.16067,12.28031,9.385619,11.07307,12.8945,13.11906,7.762067,15.72873,11.47635
44,5.423882,8.943298,12.49042,12.10263,10.76781,8.178302,19.48334,21.32775,16.96089,13.33235,10.21655,13.82014,10.21621,14.95486,15.41587,9.204494,18.52954,10.09607,6.276206,10.00936,15.93007,8.323966,10.58834,9.278454,6.04499,9.542961,12.00455,15.90856,12.58651,6.735806,12.01561,8.91704,9.73037,8.141611,13.53599,11.45175,10.21766,12.30894,16.43526,22.67914,18.25489,14.47721,17.24019,8.651473,7.638186,6.496753,8.891789,9.316339,8.568004,4.737062,8.486072,6.542422,11.46375,9.768561,8.139938,9.729686,7.719982,5.124733,8.040608,8.14979,9.993939,8.905549,10.46066,9.486094,5.708588,7.740162,10.52736,7.279147,11.12689,10.24006,14.7296,14.84614,12.56645,11.6753,10.22428,10.83675,11.92304,10.56239,17.90409,13.90939,15.05376,13.77382,11.03572,13.46123,10.39457,12.22161,13.29573,13.68217,7.297841,16.81798,12.68664
46,5.672684,9.082731,13.42866,12.80786,10.66538,8.570479,20.21252,22.09614,17.72462,14.93036,10.70287,14.02757,11.00209,15.13293,16.07714,9.775323,19.00292,10.80365,6.116456,10.69488,17.41378,8.940635,10.72165,9.67881,5.899222,9.82304,11.69638,16.5462,12.18846,6.660975,12.56493,8.648485,9.607207,8.043408,13.47448,12.05662,10.66253,13.0978,16.49964,23.28907,17.70304,14.47643,18.29525,9.174925,7.793515,6.657134,8.062513,9.313077,8.727242,4.550695,8.210484,6.712655,11.2052,10.07205,8.564624,10.02136,8.09811,5.294795,8.754626,8.69185,10.72368,8.651883,11.67707,9.522696,6.234634,7.724968,10.88662,7.933784,11.74159,10.36927,15.16315,15.61675,12.81439,12.4125,10.31557,11.30255,12.45774,11.19899,18.77682,14.3506,15.40497,14.00647,11.50966,13.479,11.29,12.81361,14.51667,14.804,8.61953,17.25618,13.17528
48,5.719975,9.50477,13.77131,13.39733,11.41054,8.879257,21.15226,23.30969,19.07964,15.45565,11.19934,14.38446,11.7882,15.86849,16.80836,10.29551,20.44748,11.61828,6.495489,11.71397,17.84996,8.756385,10.50728,9.957523,6.075021,10.10648,12.56324,16.69201,12.80844,6.385899,12.5065,8.547517,9.629691,8.319185,13.60022,12.44431,10.93834,13.34853,17.97614,24.83944,19.46869,16.29514,20.40577,9.347717,7.757098,6.718306,8.078084,9.556193,8.619665,4.542825,8.858685,6.869553,11.43992,9.948799,8.730724,10.17611,7.9856,5.559474,8.665643,9.061219,10.47597,8.991238,11.71428,9.255832,6.805531,8.047165,11.52164,7.999942,12.05983,11.21244,15.69508,16.21247,13.2548,12.7914,10.2089,11.81912,12.84286,11.17638,19.27089,14.76457,16.31566,14.95662,11.4569,14.40793,12.01693,13.45317,16.01815,15.87979,9.067195,18.72839,14.07092
50,6.138344,9.962832,14.22261,14.5704,11.80145,9.305429,22.34414,24.18506,20.55495,16.04844,11.98462,15.09967,12.34522,16.4301,17.66251,10.51464,21.02201,11.87625,6.666558,12.32121,17.90442,8.658234,11.12977,10.39081,6.242812,10.40218,12.54891,17.60373,12.74233,6.366061,12.3401,8.544255,9.916343,8.307183,14.01085,12.63064,10.95094,13.16831,19.84069,26.30801,22.20237,17.88707,21.01018,9.265051,7.806354,6.379121,9.0191,9.79231,8.430483,4.824731,8.761404,7.029696,11.07193,9.781725,8.69243,10.45671,8.141475,5.388081,9.206389,9.463829,11.22886,9.707628,12.28558,10.37526,6.975353,8.532015,13.0526,8.007197,11.8668,11.57372,16.22489,16.77965,13.62286,13.15107,10.6838,12.18683,12.98526,11.94169,20.14536,15.68204,16.84403,16.0131,12.50854,15.52202,12.28579,14.20567,17.39189,16.95673,10.7364,19.61808,14.26964
