Elapsed,CALU6 WT-5uME,CALU6 WT-5uME,CALU6 WT-5uME,CALU6 WT-5uMAE,CALU6 WT-5uMAE,CALU6 WT-5uMAE,CALU6 WT-E,CALU6 WT-E,CALU6 WT-E,CALU6 WT-E,CALU6 WT-E,CALU6 WT-AE,CALU6 WT-AE,CALU6 WT-AE,CALU6 WT-AE,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,CALU6 WT-UT,HCC4006 WT-50nME,HCC4006 WT-50nME,HCC4006 WT-50nME,HCC4006 WT-50nME,HCC4006 WT-50nMAE,HCC4006 WT-50nMAE,HCC4006 WT-50nMAE,HCC4006 WT-50nMAE,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-E,HCC4006 WT-AE,HCC4006 WT-AE,HCC4006 WT-AE,HCC4006 WT-AE,HCC4006 WT-UT,HCC4006 WT-UT,HCC4006 WT-UT,HCC4006 WT-UT,HCC4006 WT-UT,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-E,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-AE,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 KO-UT,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-E,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-AE,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT,PC9 WT-UT
0,2.952224,5.080942,6.58705,6.56612,5.13834,4.466424,8.981182,9.955695,8.028436,5.850446,4.486758,6.899055,4.821077,7.525063,6.081884,4.455959,8.208861,5.484679,3.854468,5.402422,10.4267,2.552055,3.734242,3.251868,1.987817,2.697122,4.076141,4.033408,3.197371,2.78392,4.8935,3.749966,3.553595,3.663185,4.652466,4.762842,3.415698,4.045341,3.845368,6.404969,3.985639,4.337542,3.830481,3.353792,3.708018,2.876557,2.960469,3.795396,3.436151,2.448014,3.439924,3.468657,4.193789,3.941471,2.828309,3.846768,4.65175,2.823324,3.173265,3.230049,4.136083,4.182846,4.934407,3.248111,2.930626,3.408357,4.68622,2.043201,3.027378,3.146478,3.648144,3.528191,2.974657,2.820729,2.594361,2.635677,3.711757,2.928202,3.831078,3.547295,3.52522,3.365606,2.797271,3.460173,2.761094,2.979011,3.78155,3.348534,2.05621,4.07078,2.768811
2,2.865272,5.329436,6.768978,6.47239,5.321463,4.313606,9.137619,10.17359,8.480507,5.957116,4.417494,7.058105,4.890478,7.172049,6.26907,4.888071,8.641741,4.845047,3.977887,5.688015,9.128094,2.83099,3.974695,3.839393,2.410504,3.250229,4.835657,4.614172,3.875297,3.609935,5.919317,4.494697,4.256293,4.244377,5.731483,5.244874,4.412014,4.896658,4.26722,7.460118,4.554793,4.609289,4.442403,4.747186,4.863059,4.021338,4.778992,5.057877,4.909446,2.963986,4.683607,4.741194,6.297172,5.523775,3.851805,5.367082,5.51232,3.575106,3.242546,3.860153,5.192513,5.043296,5.870438,3.981626,3.546749,3.845659,4.795314,2.511456,3.892353,3.898858,4.114725,4.424801,3.885199,3.646385,3.333885,3.276418,3.859915,3.438132,4.404809,4.153224,4.112284,3.64519,3.469768,3.901008,3.015393,3.171745,4.031325,3.772195,2.237933,4.513733,3.124505
4,3.161928,5.502229,7.820797,6.815569,5.737782,4.292299,9.923684,10.68242,8.394954,6.240251,4.795058,7.63595,4.846823,8.43569,6.473107,4.95392,8.976213,6.32541,3.958783,5.777818,10.45321,3.451226,4.467175,3.890048,2.462815,3.719662,5.07063,5.614671,4.06489,3.386948,6.093409,4.915951,4.368769,4.527562,5.949178,5.220443,4.57832,4.898109,4.664862,7.032377,4.254227,4.197528,4.623955,5.017943,5.085808,4.273092,4.367351,5.391035,5.464977,3.278399,5.697935,4.915524,6.557976,5.986208,3.993765,6.369082,5.969101,3.804855,3.448034,3.929691,5.096632,5.784698,5.933573,4.282841,3.42123,4.18807,5.69254,2.705198,4.054476,3.92433,4.612089,4.92196,3.708189,3.968224,3.531724,3.38203,4.205809,3.933037,4.716199,3.952602,4.446193,3.972663,4.132225,4.109416,3.28883,3.295284,4.392431,4.058813,2.17671,4.409128,3.351214
6,3.12447,5.507044,7.718599,6.835784,6.13773,4.577244,10.19051,10.84403,8.682801,6.460679,5.132929,7.714725,5.019036,9.83482,6.855673,5.111536,9.357414,5.667972,4.103509,5.823095,13.05054,3.652087,4.654942,4.219467,2.668645,3.521327,4.962234,5.874279,4.563978,3.577258,6.737854,4.765846,4.697846,4.769893,6.348117,5.916398,5.041026,5.46974,4.60089,7.262791,4.77102,4.790671,4.702404,5.373928,5.465028,4.684444,4.663376,5.77693,5.706812,3.439958,5.965295,5.203968,6.703197,6.603508,4.421318,6.766537,6.116115,3.780492,3.93582,4.046759,5.446009,5.682535,6.112325,4.078104,3.754883,4.244017,5.679923,2.890539,4.209172,4.214345,4.847881,5.445206,4.3799,4.410852,3.715376,3.639471,5.036262,4.14363,5.178751,4.249293,4.709831,4.451008,4.88749,3.94649,3.31939,3.670338,4.807402,4.732811,2.190027,4.845935,3.234351
8,3.280567,5.518107,8.490545,6.995175,6.463153,4.834735,10.67021,10.75668,9.220764,6.753254,5.677772,8.229434,5.275452,7.812875,6.861307,4.801768,9.067792,6.421873,4.23765,5.906599,12.71962,4.028235,4.843409,4.555834,2.797066,4.048654,5.331229,6.689743,4.826012,3.679746,7.39992,5.008383,4.96541,5.194749,6.689538,6.042173,5.35257,6.087501,4.052359,7.595761,4.971983,4.223906,5.330034,5.69732,5.706266,4.505026,5.12557,6.695446,5.841534,3.460173,5.847527,5.762265,7.007928,7.463771,4.647822,6.914455,7.168549,4.116177,4.087306,4.163707,5.623702,5.74719,6.278733,4.129749,3.764529,4.218784,5.998996,3.401101,4.655027,4.511753,5.338878,6.171294,4.611201,4.752803,4.347922,4.090499,4.698648,4.645074,5.472506,4.745394,5.070561,4.619141,4.467295,4.223786,3.338256,3.690399,5.233367,5.187168,2.474698,5.119014,3.732654
10,3.561944,5.638317,8.756436,7.603597,6.646413,4.948389,11.37055,11.77538,9.284616,6.816884,5.711405,8.054079,5.623514,8.896604,7.849565,5.417907,9.708567,7.04472,4.318148,6.032953,11.38412,4.374812,5.559253,4.919639,3.180367,4.064105,6.211535,6.773809,4.896505,4.165295,8.026114,5.608524,5.606237,5.63398,7.189327,6.391379,6.046031,6.661095,5.531783,8.792425,5.477132,4.939545,5.687059,6.2437,6.159531,4.737831,5.79542,7.315972,6.391055,3.983829,6.270573,5.901954,7.969552,7.903822,4.700543,7.554838,6.085947,4.653576,4.196897,4.33003,5.651599,5.98807,6.268661,4.051556,3.679114,4.236216,5.830521,3.186394,4.918955,4.98892,5.958585,6.802782,5.458984,5.186178,5.22676,4.573898,5.206478,4.854744,6.444031,5.301727,5.428048,5.159732,4.467227,4.671298,3.865412,4.247859,5.239923,5.437285,2.593012,5.539568,4.050839
12,3.473814,5.692967,8.107467,7.519582,6.598455,5.295154,11.59158,11.7278,9.803697,7.110792,6.167197,8.154058,5.592084,10.35368,7.931702,5.36044,9.650162,7.302195,4.311916,6.507081,11.1609,4.863111,5.867741,5.140748,2.941211,4.56321,6.101347,7.646177,5.248545,4.485307,8.636363,5.787567,5.927597,5.951738,8.491415,7.657837,6.718971,7.287921,5.343999,8.701478,5.824069,5.708195,6.062233,6.569397,6.312025,4.60818,6.426378,7.399202,6.375997,4.039076,6.830935,5.930807,8.670491,8.419898,4.971078,7.758345,6.388563,4.685229,4.271009,4.255695,5.612759,6.349346,6.282352,4.343927,3.713635,4.82065,6.443793,3.400759,5.096717,5.239377,6.224988,7.516185,5.745141,5.731926,5.634458,5.184147,5.626229,5.755299,6.785573,5.670772,5.863472,5.836565,4.319394,4.875795,3.834049,4.069739,5.60289,5.305005,2.707536,5.982759,4.255644
14,3.579426,5.809881,9.373139,7.905785,6.738349,5.326636,11.79508,12.26702,9.943113,7.187654,6.030786,8.712457,5.90455,9.546529,8.041037,5.540337,9.898092,7.246641,4.56012,6.98389,11.84977,5.382703,5.96246,5.613356,3.493942,5.570111,6.323396,8.435878,5.871565,4.603792,9.040903,5.957219,6.659234,6.082602,9.139241,7.709943,6.93472,8.065501,5.884523,9.614701,6.409186,5.619537,6.681258,6.807938,6.368963,4.746844,5.708776,7.389061,6.55229,4.160019,7.172339,5.947112,8.749726,8.549855,5.405495,7.632142,6.933559,4.838133,4.298838,4.197597,5.697337,6.046253,6.344259,4.84643,4.296926,4.724155,6.510736,3.774192,6.386121,6.215922,6.821016,8.526466,6.48067,6.590243,5.915373,5.4814,6.543293,5.943885,7.417488,6.58594,6.490555,6.145411,4.702404,5.371742,4.310209,4.958325,6.075175,5.550904,3.043478,6.179541,4.438477
16,3.729547,5.801396,8.519995,7.702227,6.95408,5.233333,11.91703,12.25246,10.44017,7.670352,6.172523,8.850165,5.743793,9.257454,8.512996,5.589949,10.34584,8.787491,4.778993,6.407735,13.00537,5.521146,6.399848,5.980984,3.794526,5.743212,7.36941,9.125293,6.372002,4.719955,9.616938,6.61575,7.21427,6.45262,9.760622,8.637541,7.277798,8.764785,6.629699,9.102586,7.361966,5.835097,7.037703,6.734081,6.497316,4.856486,6.029368,7.375931,6.835886,4.169307,7.126584,5.89311,8.304298,8.611864,5.174091,7.763911,7.324321,4.735952,4.65723,4.697265,5.983681,6.31631,6.727645,4.645415,4.209974,4.86183,6.613513,4.345806,6.858866,6.158234,7.806422,8.929145,6.81562,6.543259,6.433481,5.690508,6.513399,5.964714,8.207701,7.312472,7.044856,6.736608,5.021238,5.399093,4.732435,5.553208,6.392182,5.837863,3.656168,6.569876,4.577927
18,3.711757,5.967906,8.573637,8.557556,7.179954,5.605144,12.16833,12.64466,10.42738,8.372043,6.316089,8.884857,5.894152,9.577568,8.481018,5.815464,10.66215,7.366149,4.829545,6.651825,12.22455,5.866306,6.809065,6.148058,4.098865,6.096516,8.466096,10.00492,6.779034,5.013692,10.82593,7.29499,7.482141,6.631269,10.63939,8.586033,7.496482,8.680343,7.08187,9.626106,7.692307,6.281721,7.373029,7.104287,6.735651,4.965445,6.086494,7.487195,7.153798,3.984392,6.728857,6.08716,8.739449,8.591548,5.470935,8.109754,6.591473,4.766598,4.75463,4.773188,6.111078,6.216861,6.652132,4.540384,4.281253,4.948235,6.857483,4.587419,7.097732,6.790626,8.155731,8.714932,7.192502,7.04851,6.595211,6.1064,6.942198,6.075909,8.547329,7.463157,7.662857,6.944076,4.805558,5.566423,4.839772,5.621193,6.543993,6.16344,3.57736,7.153269,5.233316
