Elapsed,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT UT 1uM,WT UT 2uM,WT UT 4uM,WT UT 8uM,WT UT 16uM,WT UT 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT E 1uM,WT E 2uM,WT E 4uM,WT E 8uM,WT E 16uM,WT E 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT EA 1uM,WT EA 2uM,WT EA 4uM,WT EA 8uM,WT EA 16uM,WT EA 32uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,WT UT 0uM,WT E 0uM,WT EA 0uM,WT UT 0.5uM,WT E 0.5uM,WT EA 0.5uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO UT 1uM,KO UT 2uM,KO UT 4uM,KO UT 8uM,KO UT 16uM,KO UT 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO E 1uM,KO E 2uM,KO E 4uM,KO E 8uM,KO E 16uM,KO E 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO EA 1uM,KO EA 2uM,KO EA 4uM,KO EA 8uM,KO EA 16uM,KO EA 32uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM,KO UT 0uM,KO E 0uM,KO EA 0uM,KO UT 0.5uM,KO E 0.5uM,KO EA 0.5uM
0,5.617146,6.408469,7.072276,6.088082,7.246333,5.540831,7.568683,6.415964,5.638094,6.943359,6.156817,5.032233,7.187004,7.90505,7.742791,7.310474,7.475125,6.684193,7.665623,7.592329,7.738266,8.643396,7.305575,6.457673,6.385558,7.559192,8.677868,8.594809,7.650189,6.576397,8.146546,6.703332,7.702978,7.104184,7.850316,5.45352,6.702411,5.936151,7.03924,6.258348,5.752824,6.392267,5.881689,5.711747,6.125283,5.512456,4.837996,3.747337,7.269739,9.261346,10.16962,10.36619,8.790956,10.64639,8.629671,9.261107,9.16328,8.337727,10.7147,5.934597,7.367788,10.95334,8.949699,9.54863,7.812654,8.467189,9.889523,8.318194,10.10372,8.676567,8.289257,5.842797,7.05674,9.353249,8.788363,9.316371,8.770129,7.693793,8.738749,8.882722,8.340425,7.974742,8.612444,6.323123,6.681599,6.591917,6.427351,7.69789,7.5687,7.157365,6.90049,5.793046,6.450963,5.285934,6.713952,5.520377
3,6.441847,7.642506,8.210448,7.581369,9.634148,6.166258,8.725824,7.510328,6.773827,8.51156,7.68681,6.104847,7.902286,9.623459,9.535174,9.321869,9.267885,8.673445,9.328272,9.65361,9.488755,10.50293,8.77257,7.771815,7.287239,9.633514,10.25063,10.47408,9.845935,8.266601,9.473663,8.12587,9.615931,8.793603,9.104567,6.712433,7.064388,7.261203,8.276008,7.15245,7.036202,7.685633,7.152006,6.94329,7.136332,6.348526,5.731244,4.309134,8.337299,11.72578,12.14789,14.10331,11.87186,13.29026,10.30376,11.02657,11.16486,10.66985,13.6995,7.055357,8.37853,12.70967,10.75723,11.52193,9.904222,10.04452,11.62089,10.12842,12.26404,10.63833,10.1477,6.542832,8.118461,10.86804,10.04359,11.046,10.04931,9.00995,10.51889,10.44917,9.969114,9.879141,9.942309,6.880634,7.044839,7.466366,7.456721,8.591701,8.537255,8.623712,7.73936,6.552461,7.291165,6.252902,7.851512,6.766229
6,7.203481,8.396354,9.090823,8.269197,10.59758,6.713116,9.636076,8.263528,7.622872,9.057206,8.534609,6.404696,8.693659,10.80343,10.66951,10.58792,9.98634,9.085379,10.08485,10.12557,10.08212,11.14048,9.50547,8.040131,7.892928,10.04625,11.32638,11.06068,10.18259,8.672951,10.42172,9.341928,10.42491,9.185866,9.539495,6.739391,8.108473,8.140314,9.171782,7.968186,7.73668,8.436271,7.44605,7.646279,7.748067,7.016124,6.182374,4.550525,8.880112,12.16672,13.50113,14.45895,12.49254,12.99151,10.77536,12.01185,12.10847,11.39073,14.63971,7.23853,9.284496,13.16721,10.9914,12.23042,10.20948,10.0204,12.41366,10.75214,12.75877,11.03307,10.32751,6.794962,8.509546,10.93986,10.68805,11.42064,10.57651,9.118106,10.99095,11.23318,10.51565,9.968687,10.59872,6.777616,7.880927,8.002894,7.851084,8.955248,8.989752,9.01997,8.233446,7.056621,8.10581,6.515327,8.067396,7.115299
9,8.104444,9.820702,10.27316,9.043549,10.47177,6.966151,10.69268,9.752581,8.338614,9.891759,8.84489,6.641819,9.78017,11.99738,11.75954,10.98196,10.15364,9.055381,11.70487,11.54203,11.25509,12.20068,9.981186,8.306533,8.862816,11.2954,12.41817,11.9576,10.27897,8.693233,11.6991,10.38111,11.20194,9.622453,9.902191,6.958587,8.955195,8.931363,10.08924,8.63037,8.52266,9.549314,8.360193,8.792681,8.581902,7.883641,6.917784,5.152237,9.755722,13.329,14.49471,15.71926,12.1091,12.61762,11.77169,13.15527,13.22011,11.69635,14.20857,7.35577,10.17247,14.22159,11.30434,12.5161,10.5928,10.37995,13.13359,11.2262,13.40279,11.43146,10.34654,6.971871,9.037676,11.69024,11.01723,11.25082,10.31967,9.175299,12.11125,12.04989,11.21667,10.11321,10.51174,7.110006,8.581884,8.716452,8.007539,9.888617,9.589296,9.603091,9.276796,7.851869,8.765108,7.49218,8.868519,7.825647
12,8.616218,10.17839,10.83784,9.128931,10.38755,6.413181,11.91814,9.977002,8.783069,11.15845,8.984596,6.469436,10.53994,12.51229,12.41549,11.65954,10.09521,8.899865,12.37598,12.43349,12.17683,12.48008,10.02581,8.178215,9.548358,12.03215,12.9344,12.8609,10.20494,8.484895,12.78407,10.9089,12.09037,10.16881,10.12714,7.129434,9.417596,9.680449,11.46938,9.309423,9.009847,10.4667,8.89686,9.546717,9.466336,8.672983,7.617118,5.581224,10.92271,14.90091,16.14587,17.03251,11.88937,12.31954,12.81453,14.44235,13.99609,12.16774,13.67271,7.36596,10.69691,14.83067,11.50416,12.60563,10.24185,10.27024,14.19183,11.751,13.82905,11.51032,9.988698,6.666302,9.371431,12.8869,11.28797,11.54891,9.990421,8.984546,12.89646,12.41161,11.32056,10.41181,10.26828,6.952852,9.247995,9.187591,8.803352,11.02,9.894456,10.18264,10.04314,7.937097,9.038033,8.202152,9.684649,8.47238
15,9.240211,10.89652,11.82014,10.32974,10.92205,6.03746,12.55992,11.07565,9.32561,11.64708,8.963597,6.163867,11.23339,13.91921,13.11742,12.29408,10.4238,8.522676,12.95571,13.15035,12.81508,12.94959,10.13747,8.156549,10.41825,13.0928,13.83084,13.18247,10.46662,8.301669,13.9642,12.06673,12.86571,10.74837,10.12653,6.788082,10.2544,10.59965,12.2329,10.64241,9.702848,11.23402,9.537721,9.999846,10.18874,9.266536,8.378223,6.0447,12.00431,16.32134,18.24372,18.39033,12.05761,11.7083,14.0389,15.53448,15.44179,13.58863,13.68825,6.921489,10.88101,15.74649,12.54099,13.29663,10.00586,9.808256,14.54767,12.41942,14.68494,11.65543,9.728098,6.469521,9.874532,13.47069,12.01431,11.65689,9.649785,8.866335,13.63462,12.77745,11.92842,10.58916,10.14734,7.010114,9.69986,9.822937,9.447832,11.68332,10.75381,10.84608,10.73119,8.543351,9.739487,8.260114,10.33487,8.959142
18,10.01816,11.95621,12.51359,11.11793,11.46203,5.838682,13.5203,11.41414,10.43524,12.87406,9.615948,6.068772,12.22023,15.26157,14.24646,12.85387,10.7568,8.389048,14.33406,14.67147,14.07302,13.6724,10.29618,7.82539,10.98283,13.78285,14.76912,13.60013,10.8154,8.19119,15.20655,12.85914,13.65287,11.37226,10.24083,6.842032,11.1751,11.64119,13.28497,11.26484,10.64608,12.26557,10.23333,11.16986,11.1633,10.41879,9.353881,6.419139,12.64773,17.37911,18.82613,19.19142,12.50413,11.45982,14.96901,16.62487,16.9043,14.94504,13.91553,6.546109,11.47346,16.43306,12.95415,13.38237,9.978999,9.569269,15.54691,13.0389,15.30183,12.03608,9.78367,6.398993,10.27846,14.2264,12.64857,12.37359,9.512436,8.610311,14.38483,13.34111,12.46314,10.90764,10.08695,6.819513,10.3504,10.29696,10.06056,12.29294,11.56106,11.72913,11.2753,9.174599,10.41366,9.240995,10.86808,9.33184
21,11.46383,12.93332,14.50984,12.18526,12.35124,5.751492,15.01858,12.76741,11.67935,13.83874,10.11459,5.811024,13.37713,16.28715,15.86649,13.89531,10.99983,8.478542,15.78367,15.97274,15.0414,14.80913,10.83405,7.847448,12.0343,15.23146,15.95875,14.79292,10.95934,8.364274,16.46045,14.31605,15.28081,12.50137,10.63098,6.879763,11.90052,12.72604,14.54175,12.34576,11.73365,13.41047,11.32304,12.06603,12.05575,11.01197,9.905193,7.120403,13.74054,19.06291,20.43054,20.79518,12.89597,10.87865,16.1779,18.26541,17.57722,15.77531,14.69213,6.369304,12.53548,17.4056,13.21238,14.12309,9.979784,9.467004,16.21343,13.88979,15.65469,12.14895,9.748311,6.236427,11.18987,14.74113,12.85356,12.7199,9.686663,8.381158,15.06686,13.75959,12.87268,11.39054,10.11196,6.452772,10.97764,11.20447,10.6545,13.26891,12.2584,12.25238,11.83843,10.00277,11.2607,9.720007,11.75088,9.635547
24,12.47077,14.23789,15.73758,13.83338,13.39605,5.464807,16.85678,14.3428,12.92098,14.7183,10.80759,5.581361,14.74241,17.68302,16.66459,14.59501,11.25203,8.499883,16.95734,16.87908,16.48897,15.7609,11.3623,7.953691,13.16802,16.39109,17.66094,15.72779,11.64257,8.505672,18.08278,15.78687,16.71139,13.38871,11.10452,6.99719,13.31452,14.33797,16.68734,13.78691,12.94849,14.94183,12.42613,14.01657,13.55663,12.02232,11.00441,7.660279,14.87919,20.36925,21.89874,22.86445,13.73829,10.57368,18.08367,19.55588,19.02513,17.50271,15.30106,5.946053,13.3309,18.66375,14.35081,14.51501,10.19961,9.323884,17.61722,14.85811,16.8674,12.6555,9.780341,5.972738,11.56142,15.27487,13.3373,12.805,9.741056,8.030587,16.22376,14.58138,13.33028,11.73712,10.30236,6.180548,11.90594,11.70957,11.35074,14.15068,13.24651,12.87251,12.94556,10.62379,11.78506,10.1718,12.10476,10.11241
27,13.66938,15.39594,17.2085,14.52951,14.56845,5.304799,18.32282,15.40314,14.17207,15.529,11.676,5.434519,15.72467,19.4373,17.847,15.09052,11.5317,8.532203,18.72036,18.32356,17.71758,16.13449,11.73408,8.088311,13.98311,17.62777,18.93536,16.62831,12.2274,8.523955,19.70257,17.09631,17.10299,14.13897,11.38416,6.972604,14.84658,15.68612,18.30069,14.81462,14.18431,16.4008,13.79285,14.84614,14.70565,13.31152,12.10138,8.285244,15.31469,21.96866,23.02902,24.34657,14.38239,10.3505,19.25685,21.16894,20.41589,18.46655,15.99524,5.779662,13.98663,19.2468,14.69155,15.14804,10.2157,8.880795,18.95574,15.66217,17.16969,13.22498,10.04311,5.986191,12.05189,15.85931,13.99281,13.24969,9.918903,7.824349,16.8121,15.69181,13.95344,12.20915,10.40949,6.092453,13.16546,12.21941,12.18632,15.43416,13.85286,13.78776,13.95735,11.45323,12.4761,11.26625,13.04981,10.87254
