Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM
0,1.548053,2.150972,1.55407,1.476825,1.472576,1.336297,2.330957,2.141851,2.136069,2.141532,1.855256,1.271732,2.282129,2.288935,2.449062,3.075147,2.858505,2.236981,2.642698,2.369359,2.353622,2.408588,1.717445,1.25623,2.828875,3.157377,2.630717,2.240335,2.435837,2.195945,4.114158,3.508788,2.957171,2.326146,2.239409,1.618165,1.694985,3.263138,2.253211,2.190892,2.173265,1.941121,3.173767,2.534138,2.589226,2.070798,1.997408,1.494163,2.805906,3.418136,2.924224,3.19194,3.591868,3.16753,4.101927,3.71543,4.873858,4.036481,3.002266,1.616981,2.220212,3.489872,3.004148,3.229341,2.47559,3.142482,3.901606,2.891065,3.369922,2.978447,3.086089,1.461801,2.172506,2.971368,2.482259,2.462007,1.540283,2.273956,3.401321,3.199005,3.860639,3.004823,3.070959,1.729335,1.743911,3.205978,1.899676,1.313556,1.24569,1.825785,2.592284,2.505676,3.521194,3.041404,2.028374,2.0813
3,2.344266,2.821681,2.006756,1.651149,1.294723,1.362308,2.670242,2.699501,2.787429,2.18819,1.847031,1.287462,2.750507,2.760075,3.078418,3.25143,2.294353,1.998523,4.069526,3.381577,3.040478,2.615396,1.687268,1.267004,3.335321,3.533957,3.440907,2.827304,2.14173,2.323369,4.689002,4.021791,4.023756,2.655696,2.178402,1.622194,2.323202,4.724339,3.242954,2.273494,2.243484,1.896891,4.589631,3.516111,3.821569,2.406927,1.60437,1.413936,3.505214,4.054843,3.511619,3.384195,3.571965,3.203019,4.898004,4.580988,5.673289,4.101175,2.89281,1.774058,3.02421,4.823968,3.531817,3.014824,2.454647,3.140593,5.678419,3.823694,3.581207,2.924004,2.92323,1.488434,2.813676,4.29447,3.153993,2.509462,1.675582,2.385354,4.36125,4.291002,4.560706,2.805132,2.823146,1.747417,2.967195,4.472444,2.332755,1.500332,1.229566,1.917811,3.40211,3.410866,4.56692,3.16536,1.932273,1.922826
6,2.328096,2.801596,1.893219,1.773853,1.452081,1.495886,2.594674,2.465202,2.861017,2.400083,2.070904,1.324081,2.699159,2.822137,3.158933,3.317186,2.46203,2.168773,4.103611,3.307557,3.262151,2.748314,1.826787,1.382227,3.416064,3.455938,3.507438,2.754308,2.290111,2.510327,5.084249,4.099908,3.74006,2.84377,2.478245,1.8571,2.227761,4.577559,3.018474,2.153309,2.461203,2.121205,4.247341,3.182668,3.550582,2.349509,1.710608,1.543834,3.417665,4.076864,3.707887,3.292222,3.926009,3.414971,4.515171,4.56516,5.660041,4.136512,3.058849,1.876556,3.072985,5.167381,3.858856,3.110173,2.503574,3.365377,5.712626,3.93645,3.810893,3.064046,3.173206,1.619568,2.867133,4.449445,3.118732,2.579043,1.736688,2.573891,4.820993,4.354095,4.894293,2.839915,3.0836,1.893279,2.758861,4.333919,2.225652,1.376718,1.342618,2.063104,3.525634,3.377199,4.553239,3.226777,1.950348,2.088994
9,2.667571,3.186576,1.971017,1.825345,1.585696,1.688148,2.92427,2.80904,2.927411,2.46716,2.192106,1.558114,3.091977,3.35568,3.298581,3.527136,2.696094,2.477805,4.53647,3.85702,3.666032,2.929574,1.992392,1.4468,3.605344,3.978722,3.791635,3.069912,2.539753,2.743837,5.629909,4.600292,4.134493,3.182827,2.768331,1.944975,2.414993,5.31467,3.444519,2.264085,2.668049,2.305317,5.114031,3.721637,4.322863,2.568124,1.863155,1.667524,3.5661,4.142886,3.746396,3.262933,4.136315,3.699814,5.049996,4.834417,5.485314,4.179778,3.294127,2.090504,3.676284,5.500869,4.069367,3.177971,2.71243,3.518205,6.483753,4.317271,3.895619,3.241057,3.334449,1.764163,3.383406,5.223562,3.705777,2.837821,1.938594,2.675994,5.466701,4.914697,5.326082,2.975329,3.165603,1.996687,3.178851,4.927923,2.273304,1.395983,1.419385,2.218041,3.958872,3.832935,4.719452,3.086233,2.091202,2.192394
12,2.981505,3.432727,2.452469,1.900958,1.663738,1.820769,3.573399,3.145495,3.173669,2.613097,2.364761,1.593049,3.759963,3.757869,3.6829,4.131345,2.830407,2.625481,5.318692,4.277146,3.999338,3.294407,2.182515,1.528195,4.223553,4.497454,4.374309,3.425723,2.837494,2.958112,6.548007,5.328761,4.774123,3.474612,2.930158,2.132928,2.869318,6.271246,3.831471,2.372538,2.755742,2.500129,6.055863,4.596506,5.171744,2.836091,1.991224,1.736763,4.045936,4.872303,3.989823,3.563876,4.395434,3.836358,5.550631,5.113082,6.177369,4.37604,3.484795,2.193517,4.315481,6.469563,4.777431,3.425147,2.830931,3.666579,7.255889,5.076714,4.572588,3.399856,3.451993,1.757934,3.86586,5.859526,4.391898,2.975784,1.97991,2.745575,6.065235,5.663387,6.033441,3.233901,3.34344,2.140667,3.632516,5.560859,2.64351,1.589445,1.528552,2.325888,4.39601,4.206207,5.333943,3.403651,2.19357,2.12575
15,3.233788,3.803328,2.711308,2.044423,1.70302,1.912234,3.697825,3.603288,3.453267,2.818115,2.408353,1.643933,4.140466,4.371161,4.464249,4.879815,2.867982,2.68648,5.970273,4.699883,4.630629,3.773143,2.249979,1.651665,4.769988,5.17745,5.44522,3.689244,2.907432,3.065351,7.173841,5.902087,5.743128,3.850782,3.05639,2.283297,3.272623,7.189291,4.51687,2.612126,2.763345,2.528166,6.656779,5.273901,5.769314,3.221844,2.090344,1.737447,4.523836,5.186214,4.866362,3.789366,4.68577,3.939219,6.325006,5.660814,6.786897,4.717912,3.73515,2.260905,4.668363,6.967746,5.416712,3.714352,2.830848,3.824498,8.301827,5.356973,5.141856,3.636166,3.65487,1.8392,4.168654,6.47879,4.810454,3.345262,2.055539,2.788454,6.744002,6.164704,6.941417,3.582049,3.522818,2.250464,3.757482,5.864634,2.906484,1.695561,1.615608,2.247202,4.837293,4.476146,6.517595,3.726386,2.31399,2.204633
18,3.69514,3.93566,3.018951,2.220333,1.744579,1.939702,4.286259,3.791369,3.747579,2.834816,2.576676,1.648524,4.779693,4.46912,4.799368,5.370752,3.083008,2.694106,6.674809,5.201792,5.081942,4.151696,2.323331,1.638781,5.214145,5.961508,6.018266,4.251848,3.033422,3.130713,7.894244,6.530092,6.434985,4.378012,3.238234,2.176103,3.75582,7.561218,4.747118,2.815968,2.978978,2.729359,7.241503,5.738401,6.140408,3.60753,2.113905,1.865735,4.918612,5.577757,4.938598,4.294128,4.797866,4.083982,6.795805,6.283174,7.252816,4.964549,3.964631,2.2803,4.865633,7.868536,5.986708,3.937026,2.887408,3.863849,8.972947,5.768972,5.501006,4.121996,3.640772,1.887748,4.59036,7.06579,5.256068,3.720718,2.10958,2.772891,7.450899,6.649009,7.48937,3.966869,3.556197,2.271733,4.102154,6.245333,3.105636,1.769915,1.501797,2.249326,5.177958,5.069937,6.993583,4.050648,2.430388,2.192417
21,3.597035,4.266819,3.094648,2.541157,1.845695,2.050751,4.821927,4.113195,4.060428,2.972642,2.695237,1.721542,4.994339,4.774359,5.177473,5.945839,3.296236,2.689136,7.295324,5.457535,5.565367,4.567513,2.346482,1.716549,5.702898,6.167383,6.388039,4.706826,3.196167,3.291896,8.487496,6.872785,6.723492,4.719133,3.335708,2.27536,3.94639,7.954424,5.066652,3.059782,3.236519,2.624229,7.599409,5.939359,6.36677,4.025911,2.200324,1.862343,5.416158,5.956606,5.409655,4.663105,5.129305,4.229115,7.261808,6.70082,7.597245,5.340598,4.232962,2.276961,5.267139,8.366681,6.532824,4.459059,3.106561,3.960997,9.889915,6.350023,5.972624,4.574357,3.919369,1.917576,4.70153,7.207858,5.883557,4.255832,2.483443,2.870737,8.051078,7.104109,7.851213,4.407779,3.745068,2.415501,4.523988,7.0947,3.365415,2.013001,1.568381,2.285444,5.426986,5.659221,7.655855,4.234365,2.606306,2.335957
24,3.747777,4.793381,3.441173,2.612931,1.859688,1.947373,4.647215,4.236597,4.404737,3.110226,2.807097,1.69393,5.42946,5.299562,5.37321,6.114244,3.480318,2.921098,7.611921,5.837248,6.120565,4.722298,2.439395,1.695402,5.799134,6.797034,6.924003,4.872622,3.369452,3.342052,9.208923,7.651469,7.447711,5.033243,3.365809,2.388329,4.194104,8.556349,5.504898,3.17055,3.39585,2.67481,8.115181,6.158876,6.701487,4.216648,2.377326,2.035233,5.620728,6.802277,5.936028,5.032309,5.560237,4.414707,7.507246,7.173455,8.453403,5.855536,4.555584,2.523636,5.557293,8.846335,7.143521,4.967918,3.213733,4.176455,10.4565,6.762304,6.481597,4.911381,4.257509,1.982171,5.254551,7.786572,5.990281,4.590474,2.315887,2.948551,8.632365,7.627226,8.566502,4.791947,4.326171,2.45942,4.694807,7.435572,3.664325,2.159873,1.688247,2.301804,5.778511,5.810995,7.869326,4.729264,2.662062,2.327482
27,4.226505,4.996874,3.633715,2.90571,1.941083,2.007743,4.761945,4.814089,4.838362,3.474863,2.881671,1.738828,5.681886,5.765141,5.578554,6.267315,3.766041,2.984912,8.052065,6.637961,6.628059,5.023401,2.639245,1.755855,6.572842,7.357817,7.395438,5.520082,3.77139,3.56654,10.19694,8.064411,8.000475,5.339847,3.618585,2.53457,4.5533,9.301679,5.678312,3.471463,3.662694,2.839824,8.777103,6.812051,7.315743,4.470957,2.506806,2.014132,5.929776,6.710213,6.25453,5.40206,5.881767,4.689738,8.348259,8.14013,9.278307,6.574049,4.977835,2.663678,5.76829,9.762946,7.655157,5.291512,3.571631,4.367647,11.09116,7.289958,6.791411,5.422114,4.55154,2.171421,5.401339,8.413909,6.458811,5.031429,2.541119,3.075421,9.199309,8.210568,9.071392,5.265371,4.613465,2.531694,4.916586,8.166437,3.674766,2.32714,1.767221,2.382957,5.868792,5.991951,8.094967,5.212544,2.914474,2.476265
