Elapsed,WT-UT,WT-UT,WT-UT,WT-UT,AXL KO-UT,AXL KO-UT,AXL KO-UT,AXL KO-UT,YAP KO-UT,YAP KO-UT,YAP KO-UT,YAP KO-UT,WT-E,WT-E,WT-E,WT-E,AXL KO-E,AXL KO-E,AXL KO-E,AXL KO-E,YAP KO-E,YAP KO-E,YAP KO-E,YAP KO-E,WT-EA,WT-EA,WT-EA,WT-EA,AXL KO-EA,AXL KO-EA,AXL KO-EA,AXL KO-EA,YAP KO-EA,YAP KO-EA,YAP KO-EA,YAP KO-EA,WT-R,WT-R,WT-R,WT-R,AXL KO-R,AXL KO-R,AXL KO-R,AXL KO-R,YAP KO-R,YAP KO-R,YAP KO-R,YAP KO-R,WT-ER,WT-ER,WT-ER,WT-ER,AXL KO-ER,AXL KO-ER,AXL KO-ER,AXL KO-ER,YAP KO-ER,YAP KO-ER,YAP KO-ER,YAP KO-ER,WT-C,WT-C,WT-C,WT-C,AXL KO-C,AXL KO-C,AXL KO-C,AXL KO-C,YAP KO-C,YAP KO-C,YAP KO-C,YAP KO-C,WT-EC,WT-EC,WT-EC,WT-EC,AXL KO-EC,AXL KO-EC,AXL KO-EC,AXL KO-EC,YAP KO-EC,YAP KO-EC,YAP KO-EC,YAP KO-EC,WT-ECA,WT-ECA,WT-ECA,WT-ECA,AXL KO-ECA,AXL KO-ECA,AXL KO-ECA,AXL KO-ECA,YAP KO-ECA,YAP KO-ECA,YAP KO-ECA,YAP KO-ECA
0,1028.775,1084.452,1070.182,1131.324,841.1526,889.7971,816.8472,729.3694,909.8699,825.5596,808.778,793.4,1225.35,1167.151,939.7034,1235.495,928.0829,1084.01,1032.708,836.864,867.5236,870.1791,1171.84,898.6555,1296.532,1037.302,1007.457,964.9489,872.1116,716.2438,870.3546,850.2867,837.884,720.4531,989.5212,985.2065,1324.564,1288.597,1110.636,1384.292,845.1265,1008.499,882.028,1071.933,989.7835,1159.928,1137.359,1275.271,2780.171,2369.278,2440.146,2661.186,1866.507,1605.618,1623.074,1810.044,1815.382,2130.547,2000.457,2184.243,1024.336,926.1101,980.9478,1026.478,710.3446,530.8694,752.9453,692.8347,742.8345,773.4175,732.5647,801.713,1336.12,1064.307,990.515,1078.958,836.8484,701.1367,808.5543,838.3059,894.5795,662.0468,697.5398,1640.432,1096.164,1205.461,1100.63,1206.228,733.3174,940.3556,1026.456,573.6523,787.3209,1015.628,1059.224,1091.645
4,1280.932,1146.187,1098.707,1335.51,888.0138,961.4485,896.4373,1035.047,1002.164,880.3315,960.6497,901.9093,1492.724,1612.528,1400.323,1509.743,1053.097,1084.646,1169.706,965.9727,1116.189,1133.913,1297.596,1277.043,1364.459,1336.909,1325.726,1506.977,1105.585,974.0079,1062.201,937.1232,981.2091,925.4987,1027.468,1159.058,1883.721,1757.616,1601.728,2001.609,1249.866,1236.188,1221.755,1326.745,1177.458,1350.243,1454.65,1762.609,2906.427,2525.927,2415.746,2556.064,1708.415,1607.868,1703.202,1654.787,1524.181,1749.774,1633.647,1948.318,1191.676,1149.147,1234.99,1238.391,885.251,767.2405,919.1236,1005.813,933.381,1018.656,1012.48,1128.634,1527.925,1470.754,1316.53,1321.015,1013.602,832.9667,976.458,968.1317,1102.266,673.137,907.6755,2107.973,1427.183,1640.002,1422.51,1431.298,956.2023,968.1465,1290.866,923.4223,959.6116,1080.451,1254.473,1182.451
8,1453.229,1091.398,1127.088,1464.803,849.7463,943.1141,975.5656,849.4856,880.4194,863.8641,902.5271,995.7874,1569.243,1612.751,1417.356,1490.679,1097.08,1053.366,1135.52,992.2137,981.9958,1044.753,1205.364,1205.594,1331.46,1297.825,1420.731,1372.4,1342.8,915.7479,1155.241,1076.683,813.816,815.0082,961.123,1146.956,1838.764,1807.846,1708.299,1896.986,1192.539,1238.216,1117.242,1433.815,1055.655,1327.623,1179.513,1851.357,2578.403,1967.362,2291.142,2492.479,1455.845,1465.857,1653.402,1456.4,1319.941,1267.516,1281.92,1602.797,1065.242,978.2365,1154.057,1229.635,927.262,818.256,918.967,938.0505,783.6162,852.6758,836.6807,1018.915,1367.909,1355.188,1350.913,1298.977,1108.031,948.4111,1052.805,1049.029,975.1362,653.6184,799.103,2126.692,1414.782,1460.248,1458.709,1336.142,983.1653,1170.172,1285.158,848.784,740.488,920.9936,1134.815,1030.01
12,1603.97,1112.407,1129.773,1255.648,787.6238,863.2891,918.3936,897.8774,927.5462,759.0612,790.3322,1137.258,1566.998,1530.008,1491.236,1466.92,1105.121,1164.129,1208.424,975.1775,856.9528,896.6478,958.1432,1162.989,1348.017,1209.206,1334.052,1380.811,1307.608,1003.134,1137.954,1040.035,796.8815,738.4747,834.7661,1050.824,2166.997,1797.093,1846.891,1951.407,1241.537,1339.666,1216.155,1320.768,1028.115,1258.341,1159.759,1559.799,2546.059,2045.431,2170.835,2296.583,1242.166,1410.946,1543.865,1548.618,1166.813,1079.601,1141.546,1329.244,1132.739,1085.584,1174.58,1156.926,850.1071,822.0768,930.9387,972.2273,765.928,736.199,804.2415,846.4753,1181.755,1459.508,1281.904,1260.399,1025.109,898.652,1033.032,1033.939,922.406,527.947,775.1331,1925.223,1199.505,1305.494,1181.052,1287.238,1047.508,1067.371,1214.234,713.2567,646.204,778.6523,912.7238,820.7816
16,1372.417,1008.923,1060.142,1216.398,884.9351,880.2053,779.4628,714.8649,821.4511,765.3137,897.6334,928.9966,1791.966,1765.625,1547.942,1592.2,1108.058,1151.258,1178.496,935.3074,941.6286,893.3914,998.1274,1119.946,1393.535,1359.062,1330.407,1349.074,1466.362,1078.836,1229.382,1064.416,762.679,666.7428,776.4866,930.5452,2087.675,1863.654,2001.278,1924.949,1261.791,1442.23,1188.394,1252.341,950.0893,1157.899,1040.623,1539.596,2728.714,1946.072,2159.233,2279.492,1196.153,1390.455,1562.604,1562.116,1091.758,1110.053,1050.379,1317.786,1077.812,1158.452,1301.524,1158.016,957.2529,847.0931,940.9831,884.0068,698.6762,784.3605,839.5921,898.0121,1185.596,1275.395,1308.161,1238.663,909.4955,808.7512,930.0895,864.4079,916.184,534.948,719.1263,1771.966,1102.145,1165.363,1177.933,1223.969,966.834,1050.191,1406.044,753.2651,637.3325,687.5983,787.5812,717.4001
20,1427.114,1122.2,1149.99,1255.976,787.0331,884.5883,865.048,797.8083,841.0333,739.1754,816.3733,853.592,1765.099,1904.079,1676.372,1677.769,1188.277,1203.198,1373.3,1083.923,851.6516,845.6376,940.9404,1008.234,1460.592,1387.231,1292.225,1488.837,1454.403,1124.015,1213.031,1156.001,690.0123,651.5833,797.0757,894.7417,2100.015,1978.12,1933.489,1947.048,1213.806,1423.054,1129.374,1238.996,921.6042,1114.718,1140.025,1631.978,2662.648,2068.643,2373.757,2191.314,1262.368,1373.189,1506.178,1577.793,1092.776,1033.135,1011.623,1164.31,1284.786,1124.611,1233.919,1153.342,844.3293,798.9951,989.3076,899.9949,681.0928,800.5909,798.6263,905.108,1033.146,1435.218,1250.172,1138.672,960.4418,914.4286,914.2346,964.9937,707.9741,526.3608,645.6162,1233.002,1137.338,1256.131,1184.583,1169.52,932.84,1033.731,1320.96,752.5588,625.4895,673.047,745.801,728.8017
24,1395.647,1090.672,1076.155,1281.163,768.9421,725.9947,762.139,806.6357,737.4847,693.0442,828.7903,862.5557,1811.417,1989.545,1743.461,1745.277,1268.322,1331.036,1409.842,1064.137,849.6855,859.624,1024.267,1113.929,1601.792,1479.639,1468.092,1542.257,1417.773,1228.418,1286.383,1136.117,664.03,648.9558,700.7238,875.2621,2087.122,1906,1635.887,1907.344,1248.012,1362.63,1038.655,1267.247,844.5468,1127.498,1054.428,1475.467,2869.442,2175.536,2422.114,2192.024,1368.578,1377.61,1507.206,1546.747,1046.229,1029.332,1022.737,1114.201,1217.667,1167.297,1405.413,1184.499,806.9747,798.7782,816.3288,806.1845,686.2709,796.0671,756.9168,808.0515,977.8665,1482.912,1185.863,1204.082,1060.394,903.3933,938.9375,910.6202,601.4183,444.5167,523.2219,1124.599,1214.776,1194.975,1261.041,1167.214,955.8252,1011.275,1360.057,795.0869,593.5908,565.8967,704.0285,677.6234
28,1203.909,944.7281,1033.161,1351.082,777.45,733.6947,763.8736,660.8616,786.9459,630.7335,679.028,753.8542,1942.187,2217.788,1950.747,1830.503,1308.07,1268.143,1464.568,1149.717,864.1085,823.5746,988.1596,1045.571,1677.567,1504.341,1618.068,1657.265,1417.834,1300.792,1222.401,1078.484,632.3601,589.4329,635.7712,763.0532,2100.304,1963.462,1713.037,1822.481,1122.541,1250.421,958.7615,1215.428,855.9409,1072.169,994.1282,1526.541,2911.03,1989.671,2515.218,2225.881,1340.637,1294.491,1563.567,1638.687,906.1843,985.7839,935.2083,1073.638,1218.289,1084.488,1147.239,1096.583,733.8953,823.0754,779.3743,763.4412,609.0433,653.5437,687.4553,759.9249,932.6374,1335.198,1209.589,1225.688,1002.322,837.8323,927.3874,874.7338,522.2594,346.3219,430.0803,955.4626,1164.156,1177.14,1264.147,1181.828,960.7275,928.4485,1197.283,774.8495,487.9557,459.4062,530.8709,532.7498
32,1238.139,954.6376,972.096,1124.141,789.1208,742.2709,802.9382,600.8684,683.2219,575.2629,620.1758,801.7808,1992.273,2411.946,2094.083,1987.969,1376.918,1308.351,1387.866,1131.757,890.0876,766.9891,939.9158,1066.725,1834.238,1584.15,1626.779,1716.951,1534.365,1193.332,1322.769,1185.388,619.6565,534.4175,607.7138,631.0286,2064.973,1746.738,1539.333,1709.052,1115.442,1225.462,993.1441,1101.762,787.1281,956.1924,928.162,1337.492,3017.708,2178.899,2592.751,2234.719,1335.402,1332.092,1553.773,1705.569,695.7354,835.1912,813.0467,764.1752,1154.728,1038.827,1133.884,991.3771,721.5281,687.7427,749.2697,729.9633,601.8347,620.5207,636.8011,713.841,959.5536,1299.54,1270.182,1181.684,901.7001,805.3795,904.6617,827.5127,399.7536,227.2047,287.3051,877.1249,1136.712,1263.978,1249.414,1206.349,886.191,927.6086,1241.647,769.0933,399.2021,310.6877,457.3977,377.256
36,1109.953,937.6224,1027.077,1125.585,695.0824,706.1594,725.4664,657.4443,636.5516,561.4045,534.3521,693.3372,2078.395,2381.294,2175.862,2081.296,1458.222,1165.958,1663.374,1231.2,705.0992,673.9431,814.1037,863.0552,1931.234,1639.504,1672.779,1772.606,1529.695,1271.783,1339.161,1116.985,557.219,551.2565,578.4619,641.0726,1974.838,1774.313,1500.226,1674.101,1102.816,1186.817,906.9254,1026.23,728.0026,925.1552,867.3747,1284.024,2991.81,2238.911,2491.644,2222.562,1262.603,1350.571,1606.901,1776.646,587.3633,577.4978,638.1221,482.5413,1135.217,929.5569,1057.222,932.0201,655.5715,677.9011,746.5433,630.0552,566.5867,593.5494,639.1251,705.2458,924.2943,1197.756,1207.322,1124.718,840.7776,745.4491,844.6568,789.2688,284.2531,163.757,205.8165,714.6509,1123.241,1161.51,1309.49,1216.166,842.7773,958.9622,1362.872,717.2209,314.7812,238.8614,298.8971,240.3071
