,Cell Lines,Treatment,CIP2A,CIP2A,CIP2A,CIP2A,MDC1,ATR,WEE1,PKMYT1,PKMYT1,PKMYT1,PKMYT1,ETAA1,MYC,MYC,MYC,MYC,MYC
0,KD,E,-1.1253948208051656,-1.0637689389899112,-0.9456841892504801,-0.5470304172378374,-0.9724928690556888,-1.09173904684964,-0.12370738840513175,-0.871468827607118,-0.4791136090590154,-0.8179269789437217,-0.6996573755987381,-0.09379583884645729,0.21269170867268714,-0.926850967791805,-0.6153714202241296,-0.5186347745133326,1.0732793168084342
1,KD,EA,-0.914668779980452,-0.7469099516293126,-0.799134784535254,-0.9730895941164655,-0.9250122095269904,-1.0183034030873435,-0.5902014402028167,-0.8418619226947477,-0.744272088523638,-0.7318054426927412,-1.025552401297494,0.08711777314306603,-0.29293914904830515,-0.9283010579907847,-0.68807699622896,-0.11450052586877589,-0.40743209614853476
2,KD,UT,0.3851319941213145,0.8725783394955066,1.957270105778408,1.2158079126291925,1.039519310755603,0.015780942438744235,-0.5518329039508366,1.3498321648658629,1.089746029670469,2.100384011601061,0.30751931191782755,-1.5688642318298556,0.48748048430294383,1.393045206798408,1.6236975415700998,0.9536775392805716,-0.40735993215474475
3,KI,E,-0.7690228812494709,-0.5474473302867038,-0.13104658344554687,-0.8877428060698062,-0.7436287049308064,-0.8194202955255688,-0.22789429136596237,-0.45496514172876695,-0.8699411889913283,-0.7345424576536967,-0.5180896679418594,-0.35111081527772864,0.06332595620953124,-0.70856974313362,-1.1237387571507176,0.2732483425604404,-0.40743209614853476
4,KI,EA,-0.30816867466237885,-0.3017237581695291,-0.5436472357571239,-0.5914520617709906,-0.4271499537397626,-0.7920722704798404,0.7973415696011915,-0.5267864111155417,-0.5667056625098223,-0.2657670227385917,-0.21097134720394112,0.1692919082226586,-0.35699976519711246,-0.5729979412685786,-1.2405275422789077,-0.9248460431851859,-0.40743209614853476
5,KI,UT,1.420840025828383,1.3572208182123568,0.7942578214934255,2.1281476523692153,1.4641834985882678,1.9590912553762296,0.22558915305904426,1.2700749592990335,0.9060812437532131,0.4122764145479625,0.5004768169930839,0.40426877218574453,-1.0335905067612052,1.1854264100738972,2.088500708352257,2.3575251188413633,-0.40038964592063697
6,KO,E,-0.5032671374051981,-1.2951855844394584,-0.7793799006716152,-0.672296006399271,-0.920293376643824,-1.1622070325395075,1.4376165183061207,-0.9787473991851741,-0.7115464230139853,-0.4042567785758558,-0.3712223454267513,-0.2184876846239207,1.0675446973484606,-0.5526811694967769,-0.9099674134380737,-0.1901579035297488,-0.40743209614853476
7,KO,UT,1.1516597737726162,1.277349571719915,0.8992838903715734,1.5909398641301469,1.2479664835666222,0.20546653294083958,-0.610508192102136,1.5276997371124978,0.6571230055313079,1.6635084060262162,0.6427271563588776,-0.9877219216182238,0.42448561846901045,1.4590436970845924,0.6077401724679755,0.9343817668047599,-0.3869594348396533
8,Y726F,E,-0.6491621966321085,-0.09752163065750542,-0.853476467563841,-1.2377825134112739,-0.8844505560222895,-1.1609955166972055,-0.630865965991153,-0.8713725075373864,-0.4267614985587308,-0.35067210789581404,-0.7483600431611436,0.04234115219560338,-0.41941946419444737,-0.5691362037333276,-0.13360295039159728,-1.7663122439105907,-0.4018193515839577
9,Y726F,EA,-0.4599421832641806,-0.278502802556628,0.08558594968454697,-0.9890949145733984,-0.39368578184251096,-1.1008476453153884,0.2137520514493901,-0.48016540345091957,-0.4912867648786341,-0.6106373101931738,-0.2646069386832102,0.025826008370810682,-0.5909742509910884,-0.5678799758604149,-0.09144545110310166,-0.977284388318787,-0.40743187160502153
