,0
0,DYRK1A
1,ELMO2
2,LPXN
3,EEF1A1
4,PSMB4
5,SRC
6,TNS3
7,ABL1
8,ATP8B1
9,LSR
10,ERBB2
11,PHLDB2
12,UMPS
13,KRT7
14,PDXDC1
15,ARHGAP32
16,ALB
17,TARS
18,HSP90AB1
19,RPL10A
20,MPZL1
21,DAPP1
22,EPS8
23,SCAMP3
24,PTK2B
25,CRK
26,ACTB
27,DOK1
28,PLEKHA6
29,SOS1
30,CBLC
31,WASL
32,TXNRD1
33,CLASP2
34,ZNF185
35,ZDHHC13
36,CGN
37,VASP
38,EIF2S2
39,BAG3
40,CD2AP
41,YES1
42,DSP
43,EPS15L1
44,KRT8
45,LCK
46,MET
47,SPTAN1
49,RIN1
50,FHL2
51,LPP
52,BCAR1
53,ARAP1
54,MEMO1
55,KIRREL
56,SDCBP
57,TWF1
58,PKP3
59,KRT19
60,KAT2A
61,PAG1
62,ESRP2
63,SLC35E1
64,TRIOBP
65,CNN3
67,ARHGAP35
68,MCM2
69,MAPK3
70,CTTN
71,ANXA5
72,ITGB1
73,TFRC
74,GPRC5B
75,CDK2
76,EPB41L1
77,GPRC5A
78,RPL35A
79,TNK1
80,CHMP1A
81,SLC38A2
82,SLC4A1AP
83,CBLB
84,RBM14
85,KRT18
86,ARHGEF5
87,INPPL1
88,ITGB4
89,PSMA2
91,NUCKS1
92,EPHA2
93,SGMS2
94,SRSF1
95,PTPN11
96,CRIP1
97,BAIAP2L1
98,ARPC3
99,HGS
100,PGAM1
101,VCL
102,ALDH1A3
103,ABLIM3
105,GOSR1
106,CAP1
107,NEDD9
108,PXN
109,KLC2
110,TMEM230
111,PDLIM1
112,PTPRK
113,SH2D3A
114,SRSF9
115,IRS2
116,ABI2
117,SLC35B3
118,EPHA5
119,PARD3
120,TWF2
121,TAGLN2
122,ANKS1A
123,NME2
124,LIMD1
125,GIT1
126,PSMC1
127,RAPGEF1
128,ADSL
129,LDLR
130,PIK3R2
131,MTOR
132,EFNB2
133,NARS
134,SIRPA
135,KIAA1671
136,PTK2
137,ARHGAP12
139,AFAP1L2
140,EPS8L1
141,DCBLD2
142,ARHGAP27
143,MLLT4
144,NSFL1C
145,GPRC5C
146,ITSN2
147,ITCH
148,MPP5
149,CFL1
150,ANXA8
151,TNK2
152,ARHGAP42
153,AHNAK
154,RPS3
155,FNBP1L
156,EZR
157,LMO7
158,DLG3
159,PARD3B
161,TUBA1C
162,DNAJB1
163,GOLGA4
164,FRK
165,ATIC
166,PKP2
167,PRKCD
168,CAV1
169,LYN
170,RNF113A
171,LCP1
172,TJP1
173,PGM1
174,PIK3R3
175,CTNND1
176,MAPK1
177,PITPNA
178,CASKIN2
179,TNS1
180,LAMTOR1
181,MCAM
182,RASA1
183,PEAK1
184,SYK
185,ROBO1
186,LDHA
187,ACTN1
188,GOLGA3
189,PFKP
190,ICK
191,AGTRAP
192,TMEM106B
193,GAB1
194,TOM1
195,CCDC120
196,TJP2
197,WWC1
198,HSPA8
199,ANXA2
200,ARAP2
201,SHB
202,EPB41L2
203,SLC12A4
204,MVB12A
205,SON
206,ANXA1
207,ARHGAP5
208,PKM
209,GAB2
210,ATP1A1
211,PFN1
212,PACSIN2
213,SRRM2
214,GRB2
215,WRNIP1
216,JAK2
217,MYH9
218,TLN1
219,PDLIM4
220,ASAP2
221,EGFR
222,RPS10
223,BCAR3
224,SPTBN1
225,AXL
226,SHANK2
227,TNKS1BP1
228,ADAM9
229,CDK1
230,G3BP1
231,SND1
232,TOM1L2
233,ACLY
