Sample,p-MEK,p-JNK,p-Erk,p-Src,p-Abl,p-mTOR,p-Stat3,Akt,p-YAP,tAXL,p-AXL
WT.0.UT,,,,,,,,,985,400,
WT.120.A,,,,,,,,,927,296,
WT.120.AE,,,,,,,,,1337,367,
WT.60.AE,,,,,,,,,945,299,
WT.30.AE,,,,,,,,,,,89
KD.0.UT,,,,,,,,,1956,487,
KD.10.A,2002,15.5,,84,98,78,41.5,1156,,,20
KD.10.AE,398,20,,116,100,86.5,62,171,2497,416.5,
KD.120.AE,,,,,,,,,1357,379,
KD.240.A,,,,,,,,,1591.5,332,25
KD.240.AE,44,18,,76,117.5,51,70,199,1297,367,
KD.30.A,743,15,,65,105,80,63,1152.5,1865,295.5,
KD.30.AE,,,,,,,,,,,20
KD.5.A,1663,15,,65,98,96.5,54,1294,,,22
KD.5.AE,565,16,,66,113.5,93.5,70,247,2044,362,20
KD.60.A,681.5,19,,90,115,100,65,1764,,,23
KD.60.AE,47,17,,89,106,61,61,153,1677,379,
KI.0.UT,467,17.5,,59,104,89.5,58,1921.5,,,
KI.10.A,2048,17,,69,103,90,58,1558.5,2140,240,
KI.10.AE,409.5,20,,82,109,98.5,59,394,,,
KI.120.AE,48,19,,82.5,122,65.5,65,686,,,
KI.240.A,323,15,,50,96,75,57,1992.5,,,
KI.240.AE,39,18,,60,112,56,71,675,,,
KI.5.AE,517,18,,58,118.5,102,61,375,,,
KI.60.A,423,17,,70,106,80.5,59,1891.5,,,
KO.0.UT,,,,,,,,,2051,24.5,
KO.10.A,1810.5,16,,61,111,78,61,1276,,,21
KO.10.AE,,,,,,,,,2373,23,20
KO.120.A,,,,,,,,,1680,22,
KO.120.AE,42,19,,74,115.5,59,62.5,160.5,,,18
KO.240.A,,,,,,,,,,,20
KO.240.AE,45,19,,57,117,50,70,233,,,16
KO.30.A,539.5,18,,61,110,78.5,56.5,666,2232.5,23,20
KO.30.AE,,,,,,,,,2705,22,18
KO.5.A,1310.5,16,,49,115,98,65.5,737,2410.5,22.5,20
KO.5.AE,,,,,,,,,2060.5,22,
KO.60.AE,77,21.5,,55,126,69,64,127,,,
WT.0.UT,357,19,,51,98,88,57.5,1689.5,,,
WT.240.A,331.5,12,,47,59,65.5,53,805,,,
WT.30.A,827,18,,50,98,89.5,56,2725.5,,,
WT.5.A,1827.5,22.5,,51,108,116,63,2220,,,
WT.60.A,653,21,,64,100.5,110,56.5,2923,,,
WT.60.AE,116,22,,52,110.5,94,65,2176,,,
