Sample,tAXL,pAXL
AXL KO UT,259.5,25
AXL KO UT,317,26
UT,1084,56
UT,1195.5,58
E,805,81
E,509,94
EA,724,109
EA,677.5,111
EA + 8nM Das ,362,101
EA + 8nM Das ,595,122
EA + 40nM Das,432,88
EA + 40nM Das,636.5,59.5
EA + 200nM Das,219,32
EA + 200nM Das,152,33
