Elapsed,UT,UT,E-500,E-500,E-67,E-67,E-500;R428-67,E-500;R428-67,E-125,E-125,E-500;R428-125,E-500;R428-125,E-250,E-250,E-500;R428-250,E-500;R428-250,E-500,E-500,E-500;R428-500,E-500;R428-500,E-1000,E-1000,E-500;R428-1000,E-500;R428-1000,AF154,AF154,E-1000,E-1000,E-67+AF154,E-67+AF154,E-1000;R428-67,E-1000;R428-67,E-125+AF154,E-125+AF154,E-1000;R428-125,E-1000;R428-125,E-250+AF154,E-250+AF154,E-1000;R428-250,E-1000;R428-250,E-500+AF154,E-500+AF154,E-1000;R428-500,E-1000;R428-500,E-1000+AF154,E-1000+AF154,E-1000;R428-1000,E-1000;R428-1000
36,0.1059326,0.1016841,0.2619885,0.2752082,0.2271645,0.2169157,0.2809149,0.225722,0.2188711,0.2180611,0.2268001,0.255798,0.2203008,0.2105437,0.2266019,0.2548252,0.2185842,0.2046482,0.2712175,0.2490356,0.2262986,0.2195627,0.3104888,0.3228636,0.08189039,0.09243685,0.2502849,0.2094161,0.1761229,0.1618248,0.2082947,0.1805962,0.2014582,0.171857,0.2250789,0.24505,0.1864351,0.1540028,0.2196676,0.2768839,0.1706143,0.1614993,0.2924367,0.2470309,0.2099735,0.198149,0.2883408,0.312071
39,0.1046344,0.1047486,0.2803126,0.2825333,0.2387614,0.226525,0.2974535,0.2344264,0.2298303,0.2330355,0.2323491,0.2688047,0.2262436,0.2256026,0.2403645,0.2753327,0.2284716,0.2144039,0.2880096,0.2692141,0.2312908,0.2228836,0.3358825,0.3390356,0.08050191,0.08619396,0.2522493,0.2208394,0.1860531,0.1698976,0.2184391,0.1937981,0.2131573,0.1753661,0.2452423,0.2656819,0.1943711,0.1639359,0.2341025,0.2897817,0.1844179,0.1682019,0.3113938,0.2624964,0.2246487,0.2077853,0.3183838,0.3417285
42,0.1069427,0.103572,0.2779078,0.2921236,0.2546365,0.2284056,0.3164429,0.2508293,0.23693,0.238833,0.2518803,0.286151,0.235263,0.2320654,0.2574062,0.290856,0.2386332,0.2282151,0.304308,0.2816972,0.2406042,0.2380995,0.3542119,0.3591707,0.08084615,0.08818448,0.2686441,0.2309485,0.192898,0.174513,0.2356187,0.2030199,0.2219064,0.1771801,0.2566024,0.2787478,0.1989375,0.1693855,0.246678,0.3106304,0.1926871,0.1778756,0.3307286,0.2727284,0.2336577,0.2156016,0.3374251,0.3561883
45,0.1070681,0.09983373,0.2918301,0.3084917,0.2606145,0.2317773,0.338223,0.2661521,0.2561226,0.2525609,0.2700674,0.2984347,0.2486312,0.2427783,0.2762156,0.3184503,0.2502112,0.2439754,0.3170946,0.3050417,0.251416,0.2495755,0.3861109,0.3944556,0.07981165,0.08637671,0.2804979,0.2467516,0.2002995,0.1824371,0.248658,0.2035128,0.2047566,0.1989472,0.2693886,0.3031197,0.20778,0.1708502,0.25338,0.3269019,0.1966362,0.1873848,0.3509029,0.289031,0.2505499,0.2405093,0.3596422,0.3700512
48,0.09397361,0.0966465,0.3052628,0.3161661,0.2704644,0.2375169,0.3533776,0.2793801,0.2701457,0.2575175,0.2856905,0.3101259,0.2624046,0.2515905,0.2814728,0.3320798,0.2595658,0.2532036,0.3319749,0.3225875,0.2593859,0.2569484,0.4056579,0.4149591,0.07545365,0.08116068,0.2945994,0.2643414,0.2029549,0.1810814,0.2578042,0.2091115,0.2377948,0.1973157,0.2784269,0.3083363,0.2183166,0.1761954,0.269898,0.3406159,0.2065785,0.1957183,0.3610049,0.3003097,0.2597743,0.2571296,0.3745691,0.3967423
51,0.09161656,0.09370686,0.319337,0.3313271,0.2860577,0.2430045,0.3708034,0.3009033,0.2847433,0.2656371,0.3013672,0.3298715,0.2709355,0.2648402,0.2927099,0.3554863,0.2664792,0.2610052,0.3482595,0.3380366,0.2651177,0.2723252,0.4281619,0.4283305,0.0701762,0.07518058,0.3074392,0.270043,0.2118965,0.1882125,0.2707911,0.2071673,0.2524242,0.1924598,0.2876063,0.3142717,0.229033,0.1831654,0.27504,0.3603861,0.2150226,0.2026705,0.3747532,0.3143284,0.2606625,0.274986,0.3836276,0.4060832
54,0.0891559,0.08901538,0.3339007,0.3474562,0.288611,0.252176,0.3906667,0.3096625,0.2906321,0.2742462,0.3105024,0.3453497,0.2804476,0.2759009,0.2981791,0.374523,0.2786748,0.2679175,0.3636034,0.3458234,0.2806868,0.282546,0.4471644,0.4457242,0.06650683,0.07400309,0.3205387,0.2768506,0.2154599,0.1935546,0.2758926,0.2189102,0.2567096,0.1967612,0.3010458,0.3250767,0.2401953,0.1962702,0.2882503,0.3831144,0.230651,0.2158138,0.3871004,0.3274537,0.2829185,0.2894836,0.41378,0.4267988
57,0.0895052,0.08465068,0.3427819,0.3607856,0.3027117,0.2586748,0.4063825,0.3275194,0.3041076,0.2843631,0.3259327,0.3578067,0.2903904,0.290208,0.3036045,0.4005976,0.2842195,0.28008,0.3763258,0.3634018,0.2895618,0.2967216,0.4644403,0.4569725,0.06356676,0.07014843,0.3186677,0.2819799,0.2293251,0.2015539,0.2929718,0.2279096,0.2684867,0.2056228,0.3140501,0.3519379,0.2475841,0.2044383,0.2967485,0.3938754,0.2477544,0.2258618,0.396187,0.3366568,0.3034794,0.3063476,0.4336203,0.4487917
60,0.08949153,0.08089988,0.3519565,0.3780237,0.3123514,0.2699813,0.4205619,0.3438655,0.3066275,0.2956165,0.3355357,0.3755489,0.2980479,0.3077843,0.3157805,0.4197055,0.3028272,0.2937567,0.3870713,0.381918,0.300703,0.3103645,0.4748451,0.4909476,0.0647666,0.06767879,0.3280349,0.3021672,0.239302,0.2180493,0.305674,0.229247,0.284226,0.2153522,0.3267997,0.3621296,0.255514,0.2156326,0.3060156,0.4006836,0.2609087,0.234646,0.4226802,0.3532332,0.3156255,0.3152867,0.4383101,0.4629055
63,0.09057315,0.08052836,0.362399,0.3853489,0.3234244,0.2779277,0.4257976,0.3607681,0.3041935,0.3042912,0.3455826,0.3878898,0.3128997,0.3135967,0.3338365,0.4338958,0.3090078,0.2997263,0.4003608,0.4044072,0.3072381,0.3180527,0.4948914,0.5006504,0.06136666,0.06411181,0.3325132,0.3182592,0.2434995,0.2309718,0.3045351,0.2317126,0.2924027,0.2232499,0.3356862,0.3725174,0.266629,0.2228346,0.3072932,0.4304487,0.2704925,0.2423867,0.4413766,0.3666874,0.3289575,0.3355478,0.4613904,0.4788383
66,0.08325489,0.07646786,0.367153,0.4029842,0.3291102,0.2840839,0.4316979,0.376357,0.3220691,0.3057646,0.3575768,0.4074276,0.3278947,0.3242732,0.3343426,0.4449899,0.3173526,0.3084984,0.4037737,0.4128447,0.3153255,0.3260249,0.5115995,0.5263954,0.0576449,0.06395402,0.3473832,0.3114223,0.2527962,0.2415497,0.3179668,0.2394549,0.303982,0.2317664,0.3456405,0.3802634,0.2691652,0.2319845,0.3189138,0.4420848,0.2834946,0.2497541,0.4454061,0.3748742,0.3425531,0.3567575,0.4725741,0.4985132
69,0.07972489,0.07439784,0.3612284,0.3934745,0.3274882,0.2911741,0.4347816,0.3695093,0.322277,0.3124498,0.3625737,0.4034632,0.3362235,0.3201652,0.3403853,0.456414,0.3217828,0.322096,0.4144939,0.4102865,0.3132214,0.3348865,0.5307898,0.5253278,0.05410276,0.06327717,0.3578813,0.3232311,0.2669602,0.2355555,0.3162149,0.2301648,0.3155673,0.2428831,0.3477816,0.3873428,0.272459,0.2336957,0.3217685,0.4311211,0.2945957,0.2535709,0.4680156,0.3817093,0.3528835,0.3727204,0.4614407,0.5057868
72,0.0754949,0.07454692,0.3547593,0.3773767,0.3477392,0.2962016,0.3950678,0.3451895,0.3200809,0.299804,0.3676375,0.3904189,0.3384828,0.3263508,0.3302178,0.4211272,0.3235289,0.3169074,0.3978973,0.3855468,0.3158948,0.3328628,0.494783,0.5052532,0.05099616,0.05909313,0.3600413,0.3266451,0.2728182,0.2479546,0.314732,0.2359492,0.3177356,0.250293,0.3503123,0.3792577,0.2699333,0.2386571,0.3321992,0.4361273,0.3074815,0.2700274,0.4491178,0.3698764,0.3794546,0.3726041,0.4571978,0.475639
75,0.07611801,0.07092675,0.3585865,0.3805938,0.3509119,0.3003387,0.4008076,0.3506374,0.3330272,0.3025945,0.3689859,0.3941576,0.3428938,0.3329046,0.3493871,0.4344237,0.3312681,0.3278475,0.4073803,0.383099,0.3227733,0.342277,0.501716,0.5110107,0.04796678,0.05487962,0.3666115,0.3277423,0.283035,0.2424868,0.3166514,0.240473,0.3324702,0.2522314,0.3545688,0.376103,0.2791395,0.2513311,0.3439323,0.4315595,0.3088999,0.2775949,0.4713719,0.3801891,0.3792377,0.3873134,0.4676498,0.4768141
78,0.07427052,0.06907548,0.3697351,0.40109,0.3604972,0.300913,0.4139902,0.3565052,0.3388865,0.3169273,0.379894,0.4074941,0.352801,0.3358609,0.357657,0.4469665,0.3380146,0.3285155,0.4155289,0.3960752,0.3280175,0.3540733,0.5124411,0.5268703,0.04566277,0.05389849,0.3746015,0.3432802,0.294225,0.2518414,0.3305015,0.2417103,0.3431462,0.2611592,0.3619557,0.4004683,0.2912813,0.2591102,0.3580629,0.4369985,0.3276523,0.281639,0.4853868,0.3902628,0.3838061,0.4093503,0.4726533,0.4983624
81,0.0713379,0.06695636,0.3807234,0.4100145,0.3550073,0.3139311,0.4207896,0.3706723,0.3433384,0.3284625,0.393387,0.4082115,0.3656901,0.3441837,0.371145,0.4762097,0.3382662,0.3373201,0.4285851,0.3874417,0.3403781,0.3539418,0.528052,0.5178194,0.04712723,0.05099311,0.3770259,0.3480381,0.295358,0.2589529,0.3317403,0.2467715,0.3554056,0.2666644,0.3656701,0.3932035,0.2915169,0.2679261,0.3652875,0.4492047,0.33482,0.2901331,0.4967951,0.4004958,0.3947499,0.4111636,0.4846298,0.5209821
84,0.06953228,0.06458765,0.3849331,0.4339825,0.369636,0.3129767,0.4234318,0.3710004,0.3467116,0.3441866,0.4018814,0.4212711,0.3702797,0.3493544,0.385204,0.4824175,0.3469251,0.3414542,0.4328829,0.4004354,0.3478799,0.3582918,0.5201818,0.5164627,0.04663271,0.04862785,0.3852637,0.356921,0.3126288,0.2691728,0.344377,0.257283,0.3626259,0.2706058,0.379942,0.3953709,0.2976024,0.2851988,0.3691129,0.4639596,0.3468614,0.3040937,0.5179989,0.415153,0.4059093,0.426226,0.490995,0.54745
87,0.06630625,0.06348274,0.3940117,0.4465419,0.3779593,0.3226132,0.4342639,0.3872208,0.3759143,0.3445827,0.4123849,0.4194198,0.371255,0.3622421,0.3913765,0.4939251,0.3542344,0.3494802,0.4442031,0.3995059,0.360709,0.3674416,0.5305387,0.5263742,0.04396845,0.04715506,0.398862,0.3588233,0.3221967,0.2760892,0.3477501,0.2606184,0.3745847,0.2744215,0.3922439,0.4129526,0.2991935,0.293789,0.3586304,0.4726943,0.3479306,0.3059055,0.5204283,0.4317548,0.41304,0.4460467,0.5018299,0.5653751
90,0.06469113,0.06183537,0.3977707,0.4399838,0.3845696,0.3336472,0.4592011,0.3896005,0.3795446,0.3441979,0.4152167,0.4176133,0.3879608,0.3648026,0.4073751,0.5078424,0.3558411,0.3576545,0.4511146,0.4129784,0.3577261,0.3806219,0.5457868,0.5321961,0.04025687,0.04623494,0.401125,0.3536363,0.3236559,0.2836121,0.3508669,0.2656532,0.3760683,0.2853484,0.4036434,0.4108569,0.3039114,0.3016931,0.3725952,0.471907,0.3645741,0.3085907,0.5303832,0.4403428,0.4165302,0.4534818,0.512257,0.5832261
93,0.06248461,0.05971167,0.3983253,0.4471761,0.3829131,0.3411689,0.4659813,0.3920928,0.3800658,0.3367917,0.4219158,0.4267584,0.3888275,0.3590087,0.413063,0.5194733,0.3521232,0.360838,0.4537416,0.4131201,0.3588513,0.3743109,0.5524942,0.5405312,0.03783319,0.04323142,0.4002568,0.3622665,0.3255845,0.2872616,0.3517242,0.2670059,0.3856812,0.2839885,0.4072306,0.4266213,0.2954385,0.3082529,0.3818622,0.4730662,0.3733822,0.3163567,0.5413783,0.4429316,0.4191717,0.4643546,0.4991525,0.6066558
96,0.06250206,0.05822093,0.4115515,0.4511088,0.3876163,0.3353429,0.4774503,0.3973614,0.3879319,0.3417049,0.4207032,0.4283036,0.3989134,0.3624519,0.4154136,0.5199728,0.3587236,0.356941,0.4616974,0.4187084,0.3685213,0.3810554,0.5502667,0.5390631,0.03732909,0.04377456,0.421038,0.3797454,0.3314406,0.2870416,0.3523089,0.2705311,0.3901414,0.2876872,0.4135973,0.4328002,0.3071837,0.3167821,0.3894471,0.483752,0.3749847,0.3171266,0.558273,0.454826,0.4184296,0.4845138,0.5007828,0.6282054
99,0.06319485,0.05980748,0.4112983,0.4617447,0.39398,0.34118,0.488249,0.3940353,0.3813638,0.3390471,0.4270554,0.4257522,0.4090909,0.3692279,0.4273136,0.5331275,0.3661023,0.3657301,0.4748177,0.4095312,0.3654218,0.3770026,0.5571147,0.5488353,0.0391737,0.04637612,0.428705,0.3773373,0.339994,0.2955237,0.3563306,0.2738066,0.3863428,0.2932765,0.4211143,0.4417681,0.3110213,0.3172432,0.3913946,0.4803788,0.3785909,0.3286267,0.5634351,0.4613448,0.4311527,0.4892225,0.5090207,0.63869
102,0.06576104,0.06080424,0.4129588,0.4661254,0.3938994,0.3505871,0.4822018,0.3980083,0.3740417,0.3299093,0.4293908,0.4433431,0.4114561,0.3819323,0.4396592,0.5344774,0.37271,0.3670336,0.4809171,0.4124208,0.3655853,0.3833106,0.5780742,0.5467528,0.04340126,0.04828652,0.4173273,0.371114,0.3410604,0.3020088,0.3574058,0.2816854,0.3957802,0.2972361,0.4129515,0.4411583,0.3104353,0.3224466,0.3960058,0.4939862,0.395007,0.3283081,0.5741076,0.4796062,0.4339618,0.5064921,0.5283578,0.6450582
105,0.07094868,0.06451534,0.4202233,0.4781401,0.4036055,0.3538062,0.4942059,0.4052319,0.3705641,0.339159,0.4332077,0.4537829,0.4247721,0.3907693,0.4396521,0.5512126,0.3713031,0.3603812,0.4828312,0.4314941,0.3721476,0.3876758,0.5758369,0.5371858,0.04647376,0.05213344,0.4218825,0.3798126,0.3459242,0.3050233,0.3618369,0.280819,0.4008802,0.296602,0.4248554,0.4531409,0.3270805,0.3305959,0.4060403,0.5031725,0.3819301,0.3333022,0.5895861,0.484136,0.4503695,0.5224201,0.5369082,0.6708642
108,0.07462712,0.06790937,0.4227444,0.4809433,0.4035922,0.3540752,0.4829916,0.3984604,0.3617595,0.3365908,0.4390644,0.4426417,0.4221064,0.3835211,0.4441056,0.5507292,0.3641024,0.3580602,0.4765482,0.4358302,0.3658614,0.3866831,0.5805369,0.5508398,0.04849733,0.05785565,0.4348964,0.3804349,0.3576474,0.3125317,0.3622557,0.2801051,0.4011791,0.3005163,0.432996,0.4540153,0.3318867,0.3338218,0.4057826,0.5200952,0.3866178,0.3365595,0.5970078,0.4854558,0.4729174,0.5461257,0.5674047,0.6873201
111,0.07861084,0.06967343,0.4320785,0.4834679,0.4120706,0.3682427,0.4737657,0.3967233,0.3729795,0.3405457,0.4351901,0.4423326,0.4300908,0.3921488,0.4536123,0.5499691,0.371507,0.3652541,0.4812416,0.4513028,0.3719947,0.3839976,0.5851121,0.5398315,0.05203025,0.06351514,0.4318968,0.3795836,0.3712414,0.3155084,0.3763899,0.2776198,0.4085887,0.2966556,0.445428,0.4580956,0.3289117,0.3452983,0.4150937,0.5134756,0.3974766,0.3387243,0.6006043,0.486396,0.4595096,0.5545814,0.5803717,0.6519302
114,0.08118586,0.07493102,0.4425612,0.5050598,0.4153203,0.3709944,0.4767852,0.3987741,0.3738839,0.3381496,0.4398902,0.444037,0.4316353,0.3914387,0.4606654,0.5286736,0.3672429,0.3711317,0.4954007,0.4506143,0.3717864,0.3955794,0.5874059,0.527804,0.05609028,0.06815939,0.4286648,0.3879413,0.3761647,0.3173093,0.3825043,0.2810746,0.421389,0.2974118,0.4516881,0.4656513,0.3241724,0.3474028,0.4168825,0.4998458,0.3891136,0.3466983,0.6065581,0.4894137,0.4781538,0.5618928,0.5901916,0.672002
117,0.08495653,0.07910686,0.4457478,0.4975809,0.4113143,0.3611459,0.4705654,0.3980204,0.3699221,0.3405944,0.4371797,0.4437981,0.4285417,0.3927899,0.4688909,0.5421551,0.3645161,0.3742402,0.4934574,0.4496279,0.3774292,0.3951269,0.5993413,0.5288171,0.06038789,0.07313683,0.4262217,0.3834081,0.3859776,0.3273244,0.3822426,0.2811452,0.423635,0.3012519,0.4600988,0.449593,0.3307141,0.357742,0.4243341,0.508285,0.3874988,0.3388444,0.6173803,0.4894637,0.4817977,0.5729524,0.5870058,0.6727828
120,0.09020211,0.08313268,0.4513398,0.509691,0.4257618,0.3739955,0.4786797,0.411005,0.375658,0.3413993,0.4393874,0.4379994,0.4379437,0.3773808,0.4852982,0.53326,0.3801193,0.3745151,0.4976299,0.4478839,0.3765441,0.3969849,0.6052244,0.5477863,0.0665886,0.08232969,0.4416032,0.3918484,0.3946719,0.3330479,0.3652964,0.2833081,0.4218758,0.2986848,0.4542333,0.4452071,0.351944,0.3569072,0.4359712,0.5160306,0.3992773,0.3409978,0.6273696,0.4909658,0.4826908,0.5695263,0.6013798,0.6917344
123,0.09509022,0.08971305,0.4558263,0.5255927,0.4190682,0.3707407,0.501016,0.4176123,0.3934263,0.356279,0.4428458,0.4490231,0.4434304,0.3896704,0.4901218,0.5804545,0.3796207,0.372644,0.4956689,0.4463424,0.3778612,0.3977502,0.6018639,0.5493947,0.07443078,0.08886968,0.4385147,0.395886,0.403391,0.3307578,0.3719985,0.284421,0.4278385,0.3014249,0.4638199,0.4576371,0.3423292,0.3655601,0.4549901,0.5049224,0.4036391,0.3383946,0.6391507,0.4951587,0.4995193,0.5784683,0.5991105,0.7011774
126,0.09916636,0.09457719,0.4671867,0.5332533,0.4219564,0.3793454,0.495359,0.4127156,0.3891014,0.3502699,0.4369846,0.4487373,0.4448591,0.3853087,0.4796497,0.554241,0.371703,0.3653588,0.5062301,0.4475679,0.3882739,0.3993133,0.6070371,0.5228513,0.08255193,0.09605019,0.4412528,0.3986489,0.4075344,0.3406939,0.3756162,0.2870941,0.4243916,0.3036656,0.4749326,0.4716631,0.3522746,0.3797373,0.4583038,0.5216331,0.4122902,0.349723,0.6377432,0.505166,0.5029901,0.5921433,0.5957766,0.699899
129,0.1050229,0.1007047,0.475927,0.5250887,0.4250421,0.3828877,0.5054905,0.4015934,0.3818313,0.3472387,0.4374895,0.446914,0.4456725,0.3822176,0.4913704,0.5411376,0.3794333,0.3632903,0.5087213,0.4607008,0.3879486,0.4017199,0.6075922,0.5319151,0.09062015,0.1051224,0.4557829,0.4011637,0.4122353,0.339829,0.3675393,0.2838662,0.4330336,0.3018751,0.4747797,0.4819559,0.3670292,0.3824675,0.4583661,0.5388886,0.4068099,0.3638491,0.6330367,0.5262012,0.5317437,0.5960168,0.6152502,0.6786497
132,0.1122521,0.1070135,0.4825816,0.5267788,0.4331037,0.3806064,0.5007136,0.3944483,0.3990052,0.3510336,0.4442714,0.4452298,0.448489,0.3912373,0.4835532,0.5380588,0.3846262,0.3712887,0.5175594,0.4500646,0.3859442,0.4007431,0.610138,0.5386237,0.09891355,0.1146276,0.4584762,0.4210079,0.4081408,0.3444995,0.3728183,0.2836767,0.4301919,0.2953418,0.4867296,0.4793628,0.3679971,0.3841013,0.4451931,0.5400336,0.4034859,0.3639677,0.6446809,0.5088558,0.5353839,0.6109976,0.6187845,0.7006916
135,0.1184934,0.1122623,0.4925482,0.5293469,0.431527,0.3840535,0.5069194,0.4113373,0.3924336,0.3602091,0.445734,0.462568,0.4476764,0.3852362,0.500001,0.5533341,0.387624,0.3683892,0.5143654,0.4662295,0.384295,0.4098598,0.6169927,0.5422604,0.1060859,0.1246238,0.4679978,0.4155945,0.4099767,0.3445257,0.3739744,0.2727629,0.4368199,0.3004245,0.4815921,0.4840325,0.3537312,0.3750531,0.4765819,0.5254218,0.4045966,0.3639747,0.6487508,0.5207858,0.5256795,0.592676,0.6278197,0.7008139
