Elapsed,UT,UT,E-500,E-500,E-67,E-67,E-500;R428-67,E-500;R428-67,E-125,E-125,E-500;R428-125,E-500;R428-125,E-250,E-250,E-500;R428-250,E-500;R428-250,E-500,E-500,E-500;R428-500,E-500;R428-500,E-1000,E-1000,E-500;R428-1000,E-500;R428-1000,AF154,AF154,E-1000,E-1000,E-67+AF154,E-67+AF154,E-1000;R428-67,E-1000;R428-67,E-125+AF154,E-125+AF154,E-1000;R428-125,E-1000;R428-125,E-250+AF154,E-250+AF154,E-1000;R428-250,E-1000;R428-250,E-500+AF154,E-500+AF154,E-1000;R428-500,E-1000;R428-500,E-1000+AF154,E-1000+AF154,E-1000;R428-1000,E-1000;R428-1000
0,0.1984206,0.1731667,0.1810224,0.2259404,0.1832512,0.1906444,0.2392535,0.1495708,0.1676689,0.1788462,0.1895779,0.1872779,0.203201,0.1551427,0.1691479,0.1976842,0.2026635,0.2032073,0.2093657,0.1346431,0.1964889,0.1840281,0.1857913,0.1781066,0.1551096,0.1868049,0.2362669,0.1573487,0.1683733,0.1622397,0.1887178,0.1490557,0.2042069,0.2624056,0.2014576,0.1608488,0.1930225,0.1457454,0.174334,0.1909042,0.1553988,0.1628607,0.1853649,0.1660448,0.2015001,0.1856151,0.1987218,0.1830391
3,0.1817118,0.1521185,0.190526,0.2069829,0.180452,0.1885141,0.2203388,0.1426136,0.1578282,0.1705704,0.1860971,0.1744212,0.1982603,0.1459105,0.1611181,0.1719854,0.1943594,0.1884302,0.2008886,0.1368632,0.1776431,0.1753711,0.1728973,0.1677489,0.1496581,0.177304,0.2221856,0.1378107,0.1595201,0.1479084,0.1719615,0.1379282,0.1835581,0.2310853,0.1853169,0.1510687,0.1827968,0.1318602,0.1639524,0.1884536,0.1444643,0.1553653,0.1746156,0.1520002,0.200846,0.1686858,0.194224,0.1645151
6,0.1520139,0.1450189,0.1771918,0.1800543,0.1573205,0.1664846,0.2038687,0.1386787,0.1418074,0.1529383,0.1604197,0.1580013,0.1690329,0.1306608,0.1449521,0.1516283,0.1784996,0.1665149,0.1754154,0.1247382,0.1604831,0.1593691,0.1602852,0.1459092,0.138191,0.1538464,0.1979467,0.1322839,0.1477655,0.1310788,0.1569652,0.122494,0.1669799,0.2068013,0.1696367,0.1327137,0.164053,0.1302705,0.1502847,0.1709665,0.1247551,0.1351143,0.1656484,0.1261116,0.1674608,0.1659756,0.1643982,0.1408391
9,0.14773,0.1384065,0.1588733,0.1762711,0.1423943,0.1462386,0.1826186,0.1229914,0.1310392,0.1394143,0.1449905,0.1504552,0.1516636,0.1191369,0.1275189,0.1367117,0.1536527,0.1446403,0.1592149,0.1025895,0.1462712,0.1364285,0.151773,0.1436651,0.1237113,0.1417879,0.1795918,0.1199734,0.1352697,0.1250356,0.1400238,0.1142652,0.1463077,0.19063,0.1510814,0.1188373,0.1561976,0.1176894,0.1353233,0.1554892,0.1133201,0.1306932,0.1474328,0.1150488,0.1552051,0.145909,0.1364398,0.1362206
12,0.1349007,0.1298401,0.1555312,0.1727963,0.1457674,0.1428531,0.1762625,0.1250602,0.1387849,0.1377482,0.1406938,0.1483316,0.1427329,0.1216822,0.1231173,0.1471034,0.1426528,0.1349415,0.1552062,0.09395166,0.1359151,0.1313421,0.1505325,0.140483,0.1136457,0.1307599,0.1755759,0.1139086,0.1346384,0.1200818,0.1393529,0.1155141,0.1422955,0.1396022,0.1512989,0.1224686,0.1481364,0.1114621,0.1361726,0.1552198,0.115754,0.1250011,0.1502067,0.1249422,0.1533912,0.1341974,0.1292015,0.1369061
15,0.1395854,0.1253556,0.1622481,0.1785985,0.1566357,0.1470677,0.1820282,0.1314826,0.1486806,0.1488015,0.1440242,0.155691,0.1472434,0.1288659,0.1340257,0.1682314,0.1498345,0.1354391,0.1615316,0.104687,0.1413639,0.1430028,0.1665591,0.1519507,0.1064215,0.1293008,0.1780614,0.121814,0.1404932,0.1332521,0.1438993,0.1194703,0.1454323,0.1594791,0.1510139,0.1317728,0.1543874,0.1169683,0.1452987,0.1579871,0.1219489,0.1308986,0.1759417,0.1429693,0.1603613,0.139518,0.1483921,0.1548972
18,0.1303511,0.1203884,0.1771309,0.1930608,0.1608966,0.1633474,0.2088273,0.1510357,0.1703358,0.1569411,0.1527024,0.168883,0.1681655,0.1431742,0.1592195,0.1769229,0.165098,0.1531329,0.1851764,0.1254943,0.155977,0.1539813,0.1849734,0.1780441,0.1010696,0.1317957,0.1783305,0.1356243,0.1460862,0.1404168,0.1496795,0.1274768,0.1561426,0.1485915,0.1642218,0.1519873,0.1600111,0.1191947,0.1576985,0.1651609,0.1266232,0.1248771,0.1934383,0.1633672,0.1721934,0.1531268,0.171255,0.1827751
21,0.1336544,0.1315862,0.1735139,0.2117153,0.1801472,0.1766469,0.217067,0.1685168,0.170021,0.1733544,0.1694714,0.1841961,0.1795763,0.1597369,0.1702658,0.1924158,0.1787518,0.1688069,0.2082739,0.1517384,0.1770651,0.1705045,0.1955224,0.1968649,0.1013445,0.1219377,0.1873634,0.1522518,0.1542651,0.1463477,0.1680237,0.1363924,0.1689878,0.1533348,0.1742829,0.1738971,0.1685013,0.1253913,0.1721439,0.1996214,0.1363316,0.1292371,0.2225188,0.1799784,0.1766488,0.1533837,0.1485134,0.2034042
24,0.1314063,0.1178196,0.2014844,0.2155059,0.1836439,0.186511,0.2318996,0.177203,0.1789495,0.1861568,0.1829209,0.1991986,0.1876011,0.1728077,0.1817535,0.1987328,0.1876316,0.1747666,0.2239419,0.1632597,0.1898498,0.1820773,0.2199972,0.2158195,0.1022831,0.1201481,0.1852696,0.1635273,0.1581631,0.1507256,0.1799838,0.1540893,0.1740746,0.1609058,0.188277,0.1863767,0.1731781,0.1282707,0.1795333,0.2021027,0.1472093,0.1371923,0.2298169,0.1881345,0.1858416,0.1579454,0.2089863,0.2279013
27,0.1235361,0.1176455,0.2187643,0.2283575,0.1982397,0.1923016,0.2397739,0.1878903,0.1826681,0.2030806,0.1875712,0.2033739,0.1978916,0.1784268,0.1900689,0.210048,0.1953126,0.1861696,0.2338795,0.1746864,0.2003622,0.1874462,0.2414577,0.2346487,0.09591148,0.1145278,0.2119696,0.1757813,0.1587082,0.1557047,0.1742341,0.1533881,0.1794935,0.1592631,0.1991034,0.2027319,0.1692156,0.1328972,0.1788087,0.2076645,0.1507198,0.1365414,0.2425033,0.2000265,0.1864007,0.1722923,0.2214606,0.236187
30,0.1116165,0.1115974,0.2352849,0.2382415,0.206531,0.1995551,0.255513,0.1986159,0.194102,0.2021082,0.1986365,0.21732,0.1984094,0.1898996,0.201954,0.2234785,0.2030276,0.1895762,0.2493448,0.2001965,0.2074653,0.1991976,0.2608395,0.2578679,0.08981639,0.1057148,0.2269282,0.1798771,0.1682811,0.1573354,0.1814704,0.1620535,0.1840594,0.1725265,0.2094197,0.2179319,0.1721901,0.1376031,0.1983688,0.227521,0.1584961,0.1425125,0.2550013,0.2176531,0.1892595,0.1839033,0.241061,0.2607479
33,0.1057218,0.1079046,0.2523919,0.2395416,0.2199434,0.2049586,0.2674573,0.2149106,0.206129,0.2087878,0.2150033,0.2353247,0.2134644,0.1994369,0.2234203,0.2331939,0.2108473,0.1943039,0.2554953,0.2287333,0.2154176,0.2100499,0.2983878,0.2891827,0.084718,0.09785079,0.2359195,0.1965468,0.1714107,0.1555741,0.1972529,0.1659367,0.1915518,0.1573645,0.2179203,0.2300191,0.1778149,0.1456069,0.2093977,0.2538311,0.1624986,0.1491706,0.2786282,0.2358989,0.2018105,0.1856389,0.2675747,0.2844703
