Elapsed,UT,UT,UT,UT,E-500;CX4945-05,E-500;CX4945-05,E-500;RXDX106-67,E-500;RXDX106-67,E-500;CX4945-1,E-500;CX4945-1,E-500;RXDX106-125,E-500;RXDX106-125,E-500;CX4945-2,E-500;CX4945-2,E-500;RXDX106-250,E-500;RXDX106-250,E-500;CX4945-4,E-500;CX4945-4,E-500;RXDX106-500,E-500;RXDX106-500,E-500;CX4945-8,E-500;CX4945-8,E-500;RXDX106-1000,E-500;RXDX106-1000,UT,UT,UT,UT,E-1000;CX4945-05,E-1000;CX4945-05,E-1000;RXDX106-67,E-1000;RXDX106-67,E-1000;CX4945-1,E-1000;CX4945-1,E-1000;RXDX106-125,E-1000;RXDX106-125,E-1000;CX4945-2,E-1000;CX4945-2,E-1000;RXDX106-250,E-1000;RXDX106-250,E-1000;CX4945-4,E-1000;CX4945-4,E-1000;RXDX106-500,E-1000;RXDX106-500,E-1000;CX4945-8,E-1000;CX4945-8,E-1000;RXDX106-1000,E-1000;RXDX106-1000
105,0.07418686,0.07187202,0.07969944,0.09961854,0.3236926,0.3058951,0.5574828,0.6439469,0.2477805,0.2477805,0.5924883,0.5924883,0.2314103,0.207277,0.6030641,0.6729451,0.1532047,0.1879095,0.6506108,0.6780295,0.04383344,0.05237969,0.7182551,0.7938126,0.06976211,0.06889351,0.0527235,0.06776772,0.2901505,0.3643168,0.5005625,0.4976155,0.2218268,0.2025633,0.6748102,0.5671858,0.2050563,0.2117114,0.604839,0.5518842,0.1511451,0.142745,0.6439318,0.6885888,0.03092132,0.01541102,0.7127547,0.5990382
108,0.07162966,0.07064591,0.08200912,0.09460217,0.3331113,0.3104086,0.5527797,0.6571203,0.253226,0.253226,0.6146307,0.6146307,0.2370694,0.204359,0.5874479,0.663319,0.1545008,0.1843173,0.6493704,0.6742765,0.04338221,0.04904101,0.7303462,0.7806411,0.06752557,0.06655687,0.05218145,0.0658381,0.2942588,0.3652557,0.5031589,0.4961739,0.2218876,0.2041672,0.6775814,0.5795705,0.2003413,0.2050437,0.624408,0.5516316,0.1483615,0.1407751,0.6306263,0.6974123,0.03472682,0.0154439,0.7063018,0.5930754
111,0.07083373,0.07048601,0.08007158,0.09502485,0.3286818,0.3132286,0.570269,0.6697888,0.2491228,0.2491228,0.6151533,0.6151533,0.2358545,0.2012611,0.615871,0.6782455,0.156035,0.1798882,0.6600779,0.6791977,0.04276616,0.05225384,0.7330601,0.7789162,0.06710212,0.06636208,0.05161516,0.06577338,0.2923646,0.3573781,0.5074308,0.5009965,0.2202957,0.2072028,0.6886209,0.5774294,0.1997623,0.2080504,0.6220053,0.5510824,0.151062,0.1428617,0.6518587,0.7124949,0.03171386,0.01694939,0.7129918,0.6018295
114,0.06868222,0.06936884,0.07616823,0.09316656,0.3312856,0.3139383,0.5749086,0.6693105,0.2551073,0.2551073,0.6116207,0.6116207,0.2334769,0.1994937,0.6135565,0.6879727,0.1554553,0.175596,0.6559812,0.6851264,0.04226572,0.05725037,0.7424146,0.7823318,0.06704877,0.06636872,0.05135037,0.06453776,0.2916968,0.3585267,0.5135648,0.4978116,0.221563,0.2055358,0.7008681,0.5774217,0.1944955,0.2006606,0.6123108,0.5631993,0.1495898,0.1394798,0.6398431,0.7259343,0.03353617,0.01576789,0.7172287,0.6125384
117,0.06879508,0.06612813,0.07469653,0.09205301,0.3345644,0.3149181,0.5634711,0.6674822,0.2523957,0.2523957,0.6103975,0.6103975,0.2340965,0.1949725,0.6005966,0.6971474,0.1505746,0.1803616,0.6620351,0.6929688,0.04257592,0.05481178,0.7498751,0.783638,0.06698458,0.06756222,0.05215882,0.06295604,0.2960925,0.3678586,0.5162253,0.4933675,0.2228335,0.2088932,0.692766,0.5962896,0.1905896,0.1980473,0.617416,0.552516,0.1461679,0.140727,0.6498712,0.7170928,0.0334906,0.01247137,0.7262958,0.6115391
120,0.06874196,0.06641146,0.07241379,0.08830063,0.3276836,0.3209316,0.5781132,0.6702008,0.2578061,0.2578061,0.6191047,0.6191047,0.2298735,0.1919398,0.6210236,0.6833602,0.1531584,0.1747886,0.6646525,0.6790433,0.04154017,0.05506942,0.7392094,0.7920424,0.06958453,0.06814843,0.05307551,0.06335156,0.2966208,0.3649882,0.5121601,0.5061336,0.223227,0.207842,0.701573,0.6033988,0.194865,0.1930076,0.6353937,0.5440693,0.1398593,0.1413359,0.6360902,0.728407,0.03421605,0.01326299,0.7107466,0.6134354
123,0.06955145,0.06624915,0.07197665,0.08837937,0.3252098,0.3266931,0.5761692,0.6740668,0.2571541,0.2571541,0.618601,0.618601,0.224196,0.1965567,0.6194682,0.7070013,0.1459853,0.1693249,0.6633939,0.695998,0.04428803,0.05218719,0.7370599,0.7872726,0.07069083,0.07087614,0.05382437,0.06048544,0.2941371,0.3597232,0.5253404,0.506578,0.2239666,0.2095288,0.7068252,0.6095582,0.1884951,0.1944122,0.6297553,0.5507318,0.137564,0.1396602,0.6222658,0.731439,0.03727536,0.01330931,0.7154275,0.6299922
126,0.07042535,0.06535856,0.07069461,0.08903445,0.3311768,0.3251777,0.5671403,0.6638762,0.2623736,0.2623736,0.6261262,0.6261262,0.2292829,0.1956501,0.6159291,0.6961234,0.1458796,0.1685555,0.6621481,0.690795,0.04474119,0.05342484,0.7577264,0.8149708,0.07265164,0.0742031,0.05646515,0.05925835,0.2939287,0.3606862,0.5230365,0.5235665,0.2219364,0.2168839,0.7097755,0.6243036,0.1885585,0.1923343,0.6401326,0.5584708,0.1386926,0.1410778,0.6132908,0.7255352,0.03751912,0.01248082,0.7131411,0.6087945
129,0.07337742,0.06649571,0.0720315,0.08565666,0.3136043,0.3343124,0.5904206,0.6821841,0.2577961,0.2577961,0.6186347,0.6186347,0.2186803,0.1977608,0.625245,0.7098227,0.1440388,0.164844,0.6670663,0.682453,0.04402039,0.05635363,0.7468683,0.8206927,0.07547109,0.07825004,0.06014021,0.05665312,0.2899554,0.36348,0.533668,0.511978,0.224448,0.2108293,0.7095915,0.6159874,0.1877382,0.1915314,0.634806,0.5592474,0.1304741,0.1401102,0.6141423,0.7359227,0.03742206,0.01519449,0.7071298,0.6058363
132,0.0759189,0.06619222,0.0742536,0.08506727,0.3281101,0.3316998,0.580294,0.6953611,0.2562104,0.2562104,0.6201395,0.6201395,0.2256779,0.192376,0.6266069,0.6944363,0.143104,0.1588225,0.6678653,0.6752319,0.04828715,0.05316876,0.7367306,0.8142568,0.08192805,0.08447709,0.06503459,0.05703747,0.2893758,0.3674233,0.5314444,0.5116647,0.2220141,0.2134283,0.7126294,0.6251849,0.1834323,0.1841308,0.6463024,0.575148,0.1212583,0.1345831,0.6203095,0.7287626,0.03904125,0.01645703,0.7183704,0.6238194
135,0.08083336,0.07057196,0.07418258,0.0814058,0.3248717,0.3431214,0.5739678,0.6878473,0.2557372,0.2557372,0.6268061,0.6268061,0.2250225,0.1936857,0.6321371,0.7009245,0.1434118,0.1582772,0.6662356,0.6901002,0.04561367,0.0537688,0.7326092,0.8161712,0.08819618,0.09262519,0.0705599,0.05623431,0.2844823,0.3583391,0.5375906,0.5160507,0.2191899,0.2119744,0.7231669,0.6511741,0.1824937,0.1857656,0.6453966,0.5765764,0.1231932,0.1378522,0.6305894,0.7206664,0.04056833,0.01665336,0.7192458,0.6292385
