Elapsed,UT,UT,UT,UT,E-500;CX4945-05,E-500;CX4945-05,E-500;RXDX106-67,E-500;RXDX106-67,E-500;CX4945-1,E-500;CX4945-1,E-500;RXDX106-125,E-500;RXDX106-125,E-500;CX4945-2,E-500;CX4945-2,E-500;RXDX106-250,E-500;RXDX106-250,E-500;CX4945-4,E-500;CX4945-4,E-500;RXDX106-500,E-500;RXDX106-500,E-500;CX4945-8,E-500;CX4945-8,E-500;RXDX106-1000,E-500;RXDX106-1000,UT,UT,UT,UT,E-1000;CX4945-05,E-1000;CX4945-05,E-1000;RXDX106-67,E-1000;RXDX106-67,E-1000;CX4945-1,E-1000;CX4945-1,E-1000;RXDX106-125,E-1000;RXDX106-125,E-1000;CX4945-2,E-1000;CX4945-2,E-1000;RXDX106-250,E-1000;RXDX106-250,E-1000;CX4945-4,E-1000;CX4945-4,E-1000;RXDX106-500,E-1000;RXDX106-500,E-1000;CX4945-8,E-1000;CX4945-8,E-1000;RXDX106-1000,E-1000;RXDX106-1000
30,0.1302303,0.1158654,0.1313153,0.1342534,0.1831916,0.1650605,0.2608187,0.2671765,0.1582543,0.1582543,0.2623535,0.2623535,0.1336034,0.1337553,0.2461472,0.2889514,0.1004525,0.1128253,0.2412989,0.2778617,0.08435228,0.06807886,0.3038917,0.3183924,0.13078,0.1326293,0.1046563,0.1229366,0.1781096,0.1869481,0.224632,0.2286328,0.1355232,0.1382861,0.2805949,0.2252663,0.1385845,0.1375757,0.2155087,0.2736432,0.08986101,0.1113433,0.276468,0.3159226,0.1011495,0.05776521,0.2826716,0.3031986
33,0.1252745,0.1123233,0.1250303,0.1324572,0.1901115,0.1724694,0.2828678,0.2661461,0.1652649,0.1652649,0.2852063,0.2852063,0.1406822,0.1342181,0.2719105,0.307404,0.1045418,0.1129262,0.2515042,0.2990801,0.07530542,0.05875227,0.3296379,0.3392732,0.1214603,0.1283083,0.0981849,0.1132143,0.1903867,0.197716,0.2273173,0.2389474,0.1418695,0.1450887,0.2917177,0.2424893,0.1447986,0.1435227,0.2285583,0.28973,0.09228635,0.1088638,0.3050083,0.3406598,0.09615263,0.04809409,0.3161766,0.3217351
36,0.1225763,0.1046977,0.1309622,0.1290674,0.2035774,0.1764298,0.3006185,0.3057815,0.1728097,0.1728097,0.3046769,0.3046769,0.1530181,0.1400696,0.2927787,0.3233486,0.1131235,0.1174862,0.2788867,0.310853,0.06740404,0.05446517,0.3618966,0.3812435,0.1188579,0.1240417,0.09067875,0.09546906,0.1983802,0.2070463,0.25714,0.2573898,0.1471577,0.153652,0.3137672,0.2590337,0.1492227,0.1456504,0.2532859,0.3169804,0.09469134,0.114589,0.3265778,0.3573139,0.08213432,0.03989577,0.3421665,0.3381349
39,0.1209329,0.1065548,0.1279145,0.1317658,0.2125857,0.1924944,0.3160463,0.3294551,0.1759573,0.1759573,0.3236398,0.3236398,0.1603984,0.1483732,0.3172486,0.3466216,0.1145798,0.122526,0.2984171,0.3385957,0.06823829,0.05331616,0.3883439,0.4072561,0.1193703,0.1182896,0.09234726,0.09313019,0.204609,0.2279802,0.2774881,0.282914,0.1318621,0.149712,0.3379645,0.2857058,0.1488858,0.148072,0.2740381,0.3315149,0.1011268,0.1095586,0.3557776,0.3851913,0.07149728,0.03788059,0.3812202,0.3635859
42,0.12216,0.1103241,0.1298474,0.1326132,0.2183843,0.2009819,0.3411766,0.3570212,0.1843897,0.1843897,0.3475292,0.3475292,0.1673884,0.1561069,0.3415572,0.3717749,0.1180233,0.1263057,0.3204908,0.368251,0.06560049,0.0499308,0.417257,0.4320198,0.1188501,0.1138813,0.09400189,0.09129973,0.210261,0.238,0.2962107,0.2947727,0.1639762,0.1679969,0.3578271,0.3088777,0.1565766,0.1581283,0.2973019,0.3519586,0.1069075,0.1150149,0.3772674,0.4009128,0.06668262,0.03472393,0.3958223,0.3887997
45,0.1188754,0.1062148,0.1310826,0.1267958,0.2251927,0.2046244,0.3610743,0.3833494,0.2017729,0.2017729,0.3695019,0.3695019,0.1729882,0.1579109,0.3543986,0.3906924,0.1276584,0.1398936,0.3411842,0.3921322,0.06090018,0.04816452,0.4537726,0.4598504,0.1055063,0.1096165,0.09407695,0.09107267,0.2237105,0.248069,0.3151784,0.3120464,0.1713158,0.172949,0.385229,0.3187721,0.1681499,0.1671754,0.3252644,0.3631839,0.1097564,0.1211482,0.3994388,0.4125466,0.0540837,0.03141472,0.4321058,0.4130977
48,0.1121325,0.1021564,0.133462,0.133169,0.2481021,0.2172139,0.386194,0.3940181,0.2095799,0.2095799,0.3198759,0.3198759,0.192706,0.1603617,0.3743592,0.4192309,0.1318739,0.1395072,0.3592674,0.4179169,0.0615132,0.04709233,0.4723676,0.4999419,0.1061335,0.1094521,0.09083408,0.09112181,0.2291184,0.2664566,0.330359,0.3189692,0.1789509,0.1749088,0.4100618,0.3314759,0.1724372,0.1725287,0.344694,0.3918598,0.1127615,0.1141584,0.4244551,0.4438362,0.0505714,0.03181791,0.4648821,0.431896
51,0.1112937,0.0973658,0.1251907,0.1285853,0.2509236,0.2292831,0.4003292,0.430295,0.2097775,0.2097775,0.4229793,0.4229793,0.1875226,0.1713186,0.3969446,0.4479291,0.1403867,0.1376867,0.378907,0.4326464,0.05920091,0.04723575,0.4984592,0.5371312,0.1019699,0.1073317,0.09021272,0.09343327,0.2358752,0.2631503,0.3420429,0.3413535,0.184133,0.1775802,0.4244112,0.3510027,0.1738979,0.1710053,0.3654827,0.4152907,0.1188854,0.1195998,0.4553718,0.4503292,0.04796334,0.03055022,0.4925765,0.4483113
54,0.1156345,0.1006689,0.1225054,0.1295539,0.2496945,0.230815,0.4194406,0.4357218,0.213285,0.213285,0.4397872,0.4397872,0.1967773,0.1758979,0.4180481,0.4547352,0.1390564,0.1451567,0.4067405,0.457379,0.05940203,0.04569683,0.5262343,0.5666353,0.1033612,0.1061572,0.08276105,0.09461883,0.2417125,0.273024,0.3559657,0.3594499,0.1901112,0.1813532,0.4519722,0.3727373,0.1801541,0.177675,0.3867893,0.4425353,0.1230459,0.1183373,0.4750748,0.4688338,0.0477432,0.02856925,0.5173179,0.4741587
57,0.1121515,0.09552497,0.1124174,0.1320543,0.2562394,0.2306947,0.4385237,0.4692837,0.2249345,0.2249345,0.4586475,0.4586475,0.2012035,0.1781994,0.4284069,0.4706725,0.1415725,0.1536858,0.4288399,0.4779369,0.05798321,0.04655951,0.5511475,0.5997524,0.1021075,0.1040099,0.08217685,0.09853984,0.2528882,0.2819283,0.377131,0.3826191,0.1945942,0.1849259,0.478673,0.3835736,0.1869488,0.1781651,0.4128846,0.4525305,0.1255749,0.1198658,0.4813239,0.4940598,0.04744222,0.02722901,0.5461142,0.4850692
60,0.109759,0.0965857,0.1113182,0.1255111,0.2647886,0.2371067,0.4553805,0.4976203,0.229316,0.229316,0.4777834,0.4777834,0.2091208,0.1816254,0.4405119,0.4865756,0.1458822,0.1596729,0.4572212,0.4883365,0.05442657,0.04815713,0.574051,0.6351329,0.100075,0.09727246,0.08088256,0.08811605,0.2573332,0.2939654,0.3898933,0.3978601,0.1966309,0.1904056,0.506754,0.3984632,0.191498,0.182302,0.4317459,0.4667732,0.1279516,0.1275466,0.5040228,0.5091881,0.04251534,0.02436887,0.5572101,0.4877819
63,0.1044277,0.09329708,0.1170467,0.1244458,0.2682565,0.2416989,0.4762753,0.5091347,0.2350916,0.2350916,0.4925575,0.4925575,0.2071623,0.1836661,0.4508006,0.4970508,0.1489938,0.1648054,0.4799716,0.5111279,0.05214905,0.04770546,0.5869845,0.6462867,0.09671119,0.09354988,0.07999388,0.08616226,0.2642461,0.3042406,0.3973072,0.4165732,0.2027764,0.1923714,0.5299309,0.4094692,0.1917969,0.1913388,0.4488686,0.4823217,0.1336017,0.1269386,0.5188794,0.5281368,0.04354922,0.0215291,0.5904428,0.5223811
66,0.1020549,0.09286721,0.1110564,0.1164047,0.2785721,0.2533903,0.4757862,0.5277065,0.2435929,0.2435929,0.4985116,0.4985116,0.2209653,0.1858678,0.4584208,0.5263358,0.1517444,0.1701891,0.4889345,0.5198284,0.04288896,0.04703781,0.5940823,0.6644725,0.09765284,0.09313035,0.07679077,0.08115355,0.2640116,0.312037,0.4041739,0.4381283,0.2041769,0.1960513,0.5474132,0.4367681,0.1962943,0.1981849,0.4721394,0.4903552,0.1376199,0.129078,0.5440702,0.5476639,0.03837962,0.02047202,0.6024377,0.544822
69,0.1000209,0.09436666,0.1094183,0.1157359,0.289033,0.2520703,0.4951325,0.5247152,0.2523513,0.2523513,0.4963668,0.4963668,0.2290078,0.1938257,0.4708325,0.5361012,0.1569739,0.1737934,0.5030602,0.5515527,0.04290375,0.04638355,0.6146623,0.7260866,0.09383993,0.08745451,0.07534406,0.08714581,0.2669373,0.3180752,0.4101341,0.4405977,0.2128106,0.1976049,0.5667647,0.4495482,0.1982268,0.2000979,0.4835091,0.5091263,0.1438795,0.1307318,0.5623821,0.5678829,0.03872393,0.01954779,0.5870515,0.5267327
