Elapsed,UT,UT,UT,UT,UT,UT,UT,UT,E-500;CX4945-05,E-500;CX4945-05,E-500;CX4945-05,E-500;CX4945-05,E-500;RXDX106-67,E-500;RXDX106-67,E-500;RXDX106-67,E-500;RXDX106-67,E-500;CX4945-1,E-500;CX4945-1,E-500;CX4945-1,E-500;CX4945-1,E-500;RXDX106-125,E-500;RXDX106-125,E-500;RXDX106-125,E-500;RXDX106-125,E-500;CX4945-2,E-500;CX4945-2,E-500;CX4945-2,E-500;CX4945-2,E-500;RXDX106-250,E-500;RXDX106-250,E-500;RXDX106-250,E-500;RXDX106-250,E-500;CX4945-4,E-500;CX4945-4,E-500;CX4945-4,E-500;CX4945-4,E-500;RXDX106-500,E-500;RXDX106-500,E-500;RXDX106-500,E-500;RXDX106-500,E-500;CX4945-8,E-500;CX4945-8,E-500;CX4945-8,E-500;CX4945-8,E-500;RXDX106-1000,E-500;RXDX106-1000,E-500;RXDX106-1000,E-500;RXDX106-1000,UT,UT,UT,UT,UT,UT,UT,UT,E-1000;CX4945-05,E-1000;CX4945-05,E-1000;CX4945-05,E-1000;CX4945-05,E-1000;RXDX106-67,E-1000;RXDX106-67,E-1000;RXDX106-67,E-1000;RXDX106-67,E-1000;CX4945-1,E-1000;CX4945-1,E-1000;CX4945-1,E-1000;CX4945-1,E-1000;RXDX106-125,E-1000;RXDX106-125,E-1000;RXDX106-125,E-1000;RXDX106-125,E-1000;CX4945-2,E-1000;CX4945-2,E-1000;CX4945-2,E-1000;CX4945-2,E-1000;RXDX106-250,E-1000;RXDX106-250,E-1000;RXDX106-250,E-1000;RXDX106-250,E-1000;CX4945-4,E-1000;CX4945-4,E-1000;CX4945-4,E-1000;CX4945-4,E-1000;RXDX106-500,E-1000;RXDX106-500,E-1000;RXDX106-500,E-1000;RXDX106-500,E-1000;CX4945-8,E-1000;CX4945-8,E-1000;CX4945-8,E-1000;CX4945-8,E-1000;RXDX106-1000,E-1000;RXDX106-1000,E-1000;RXDX106-1000,E-1000;RXDX106-1000
0,1.514669,48.01925,1.560192,1.518302,1.914376,1.965131,1.119796,0.7420918,1.288735,2.18444,1.514341,1.926587,2.134615,1.923787,1.620711,0.5901579,1.922175,1.79189,71.84885,1.583301,2.049238,2.211101,1.327237,20.35709,19.61159,1.66719,1.577934,1.990384,1.971277,1.8268,1.536399,0.7559823,1.170154,1.505682,1.753729,1.638481,1.933976,2.023027,1.660033,0.657848,1.175686,1.285265,1.359361,1.455092,1.358132,1.605196,1.507334,0.6384124,1.13101,1.995315,1.93287,2.226371,1.752663,1.762361,1.882771,0.6108637,1.303936,2.09909,1.811284,1.916644,1.538953,1.915483,1.427584,0.8560423,1.372637,1.834107,1.751216,1.915578,1.698823,1.804086,1.450789,0.8225115,1.473899,1.845334,1.748962,1.722451,1.921452,1.723448,1.273424,0.6579436,1.130641,1.755204,1.746476,1.357517,1.626994,1.508564,1.313989,0.7771115,1.107203,1.140693,1.117242,1.07736,1.409159,1.190723,0.8945311,0.5748333
3,1.693359,54.91002,1.832004,1.714762,2.202114,2.263726,1.358023,0.8293679,1.43724,2.45557,1.738636,2.152261,2.422216,2.229076,1.788352,0.6469077,2.101494,1.98458,65.14761,1.908927,2.331512,2.45658,1.427161,22.84024,22.42787,1.87724,1.813552,2.25015,2.205324,2.084053,1.740111,0.8588287,1.3156,1.706471,2.020432,1.798842,2.201404,2.053117,1.955747,0.7381583,1.267619,1.493239,1.62123,1.620233,1.538899,1.70404,1.654078,0.7201841,1.286481,2.195709,2.193673,2.498648,1.974323,1.969911,2.074136,0.6457468,1.511746,2.405471,2.081403,2.119728,1.757266,2.082892,1.685997,1.000232,1.517346,2.102505,1.958151,2.132348,1.909856,1.994537,1.634206,0.9505572,1.610864,2.056722,1.922339,1.941051,1.936838,1.995875,1.172387,0.7260162,1.278272,1.920304,2.021348,1.611861,1.828303,1.718695,1.510367,0.8773628,1.25321,1.227696,1.378933,1.09431,1.534651,1.268657,0.7661406,0.6140188
6,1.2528,41.24543,1.956512,1.879797,2.493731,2.513316,1.474514,0.9082713,1.625519,2.948727,1.979485,2.490384,2.963273,2.616095,2.156018,0.7859347,2.359648,2.322744,72.00133,2.246722,2.726166,2.989073,1.717589,17.02084,10.58794,2.223817,2.032971,2.528873,2.703794,2.416835,1.990657,0.9332112,1.54387,1.865125,2.240917,2.064152,2.479731,2.406701,2.310519,0.8691133,1.349418,1.62093,1.722738,1.790428,1.803185,2.136132,1.994373,0.8454162,1.423391,2.401415,2.3806,2.678472,2.121217,2.160689,2.435792,0.7347164,1.683116,2.733528,2.397645,2.485727,1.976754,2.421711,1.941147,1.151429,1.69015,2.476289,2.177079,2.432228,2.288134,2.346222,1.896812,1.118963,1.870438,2.356944,2.177939,2.123402,2.50784,2.304032,1.658749,0.8689084,1.414295,2.107763,2.15569,1.767633,2.070367,2.061462,1.777972,1.028546,1.398465,1.267838,1.308648,1.220252,1.706075,1.471072,1.096727,0.7252649
9,2.013645,48.56032,2.256993,2.208547,2.773478,2.830447,1.646075,1.020801,1.951773,3.848311,2.47506,2.977409,3.473025,3.159432,2.533544,0.9417475,2.798227,2.686831,74.62921,2.655157,3.27408,3.528135,2.156783,18.19388,16.6958,2.466783,2.321869,2.993444,3.191502,2.892346,2.437527,1.087057,1.636446,2.243608,2.562404,2.415524,3.051054,3.003674,2.854007,1.098093,1.508044,1.806299,1.966578,1.884342,2.063278,2.482476,2.483378,1.005969,1.580392,2.752718,2.636391,3.002704,2.379671,2.389464,2.903955,0.8305561,1.983474,3.143316,2.879521,2.982695,2.369031,2.877267,2.314207,1.364524,2.055548,2.852027,2.628865,2.759342,2.780075,2.790838,2.401224,1.318127,2.144244,2.734115,2.514191,2.505409,3.052748,2.812213,2.011978,1.018152,1.649011,2.446774,2.555958,1.971605,2.425167,2.520897,2.085336,1.167259,1.581785,1.539035,1.44997,1.371954,1.996613,1.831826,1.291316,0.8200393
12,2.265912,41.68174,2.54163,2.456635,3.087972,3.274967,1.809345,1.108446,2.349308,4.03629,2.81881,3.403805,3.985905,3.60805,2.934236,1.076349,3.345444,3.033585,74.79561,3.075926,3.581976,3.953658,2.555302,12.57788,22.8029,3.000901,2.689357,3.513262,3.696651,3.335118,2.765707,1.28181,1.92544,2.422695,3.032998,2.680302,3.566146,3.420974,3.355564,1.221768,1.63844,2.198331,2.296561,2.282301,2.439043,2.921683,2.98346,1.165046,1.708438,3.095485,2.961197,3.477751,2.655143,2.764464,3.222028,0.8975906,2.307911,3.604458,3.419157,3.494714,2.773915,3.255163,2.706922,1.576732,2.273178,3.293624,3.062335,3.251871,3.231315,3.346796,2.782493,1.559782,2.372132,3.336579,2.916931,3.092848,3.576964,3.18093,2.371094,1.243212,1.889109,2.793788,2.851945,2.300603,2.817212,2.969979,2.39505,1.478857,1.847547,1.751475,1.789131,1.705939,2.287874,2.170686,1.544512,1.022932
15,2.543583,54.58287,2.938046,2.745424,3.315422,3.432856,1.989497,1.254876,2.554455,4.499345,3.273191,3.824615,4.438838,4.009451,3.417873,1.216319,3.738226,3.33464,78.65144,3.366709,3.966359,4.30787,2.884684,25.95874,25.51559,3.152863,2.998921,3.856616,4.072361,3.69549,2.990794,1.436448,2.022304,2.770528,3.485126,2.972697,4.072675,3.62007,3.583534,1.37388,1.771006,2.473817,2.583165,3.1054,2.799921,3.176041,3.365385,1.244701,1.9145,3.326022,3.249099,3.850879,2.818633,3.098421,3.436557,1.017523,2.698617,3.996175,3.687131,3.85693,3.159214,3.713901,2.997282,1.703917,2.554018,3.632389,3.449328,3.694015,3.49948,3.674388,3.073836,1.75097,2.999249,3.52886,3.289746,3.316816,3.96121,3.623852,2.611888,1.440054,1.994455,3.099309,3.182965,2.549784,3.185451,3.295291,2.67294,1.649202,1.801259,1.915852,2.056791,1.960241,2.510093,2.380149,1.819711,1.174156
18,2.697771,55.74805,3.150459,2.904802,3.60021,3.778791,2.131624,1.342043,2.811189,4.906741,3.668419,4.096509,4.848189,4.359088,3.609867,1.343258,4.033367,3.677666,79.44981,3.600278,4.224582,4.607831,3.055862,17.36628,13.93619,3.340062,3.420755,4.177093,4.373908,3.948809,3.278764,1.5423,2.250533,2.951213,3.749221,3.358023,4.337317,4.102149,3.791699,1.500464,2.138958,2.319233,2.678868,3.062322,3.057282,3.453876,3.578289,1.391253,2.213887,3.570394,3.411208,4.154243,3.138371,3.195886,3.714625,1.12963,2.94243,4.312363,4.064071,4.049074,3.268138,3.91439,3.24003,1.795318,2.774639,3.945449,3.724063,4.034924,3.769572,4.067403,3.347806,1.900076,2.880299,3.722383,3.565792,3.618935,4.305807,3.885202,2.803062,1.523861,2.035101,3.226727,3.377745,2.668952,3.407848,3.480592,2.857722,1.745247,1.900473,1.987407,2.113226,2.13579,2.660757,2.535538,2.018288,1.167545
21,2.942513,53.0006,3.331731,3.126174,3.903027,4.028641,2.276087,1.443004,2.980728,5.150063,3.862216,4.331881,5.062377,4.555015,3.837262,1.390884,4.242843,4.042081,79.72285,3.832058,4.445121,4.847397,3.327169,17.47626,29.37862,3.592452,3.539076,4.514287,4.617788,4.065081,3.458397,1.713164,2.291494,3.068209,3.901114,3.67193,4.422175,4.040852,4.020992,1.613841,2.080734,2.37164,2.765775,3.38157,3.165455,3.809277,3.831498,1.49735,2.340609,3.854471,3.945258,4.472205,3.216046,3.397659,3.953971,1.181081,3.040893,4.737939,4.374618,4.456785,3.516431,4.08367,3.442021,1.946869,2.935792,4.175699,4.005517,4.33912,3.905307,4.362229,3.564166,2.097929,3.262525,3.915114,3.752841,3.958356,4.538038,4.150199,3.031072,1.646307,2.23025,3.378892,3.61701,2.831403,3.551451,3.75056,3.129848,1.858651,1.865658,1.908012,2.143452,1.969679,2.882007,2.579982,2.173773,1.231957
24,3.215609,42.62755,3.549552,3.268671,4.304837,4.267906,2.463082,1.446419,3.205584,5.455966,3.985262,4.70486,5.263617,4.78995,4.015351,1.555807,4.589734,4.342206,81.62424,4.225552,4.717152,5.191788,3.411044,20.57274,28.64442,3.945968,3.884779,4.760243,4.831717,4.322429,3.775992,1.810356,2.445982,3.29641,4.008413,3.892947,4.664172,4.20815,4.329094,1.712167,2.055192,2.505067,2.805412,3.146416,3.308867,3.951268,3.961334,1.590882,2.400104,4.048514,4.003947,4.864127,3.486888,3.710049,4.242665,1.259998,3.264231,4.938224,4.72536,4.71304,3.638686,4.24089,3.578261,2.085801,3.173172,4.549265,4.31571,4.783052,4.159214,4.600115,3.70557,2.261569,3.481234,4.260558,4.107149,4.208397,4.74298,4.342357,3.204135,1.713833,2.403204,3.44646,3.890693,3.088369,3.734921,3.953166,3.246271,1.970047,2.078343,1.933553,2.218245,2.132703,3.067103,2.708342,2.294102,1.293228
27,3.373634,53.37022,3.81911,3.660252,4.723188,4.61268,2.77845,1.647645,3.349036,5.655594,4.408708,5.125464,5.55231,5.051164,4.214939,1.598708,4.80455,4.707809,77.33702,4.589284,4.95053,5.409323,3.560738,10.61735,30.09853,4.213355,4.088628,5.230906,5.035197,4.486369,3.987584,1.85958,2.703316,3.564617,4.227805,4.031442,4.871462,4.414198,4.608228,1.781509,2.188264,2.625874,2.935028,3.281837,3.470266,4.063251,4.106725,1.690327,2.488063,4.334285,4.468203,5.194356,3.795878,3.989415,4.540742,1.35775,3.530908,5.30018,5.019968,5.08998,3.786727,4.534282,3.838341,2.272782,3.361656,4.77315,4.676027,5.054223,4.279119,4.715526,3.967124,2.337249,3.935165,4.597847,4.301082,4.359074,4.987121,4.538079,3.368294,1.806272,2.418556,3.704777,4.006993,3.280349,3.920482,3.986697,3.513849,2.09248,1.880709,1.935287,2.065273,2.122705,3.158203,2.849719,2.337549,1.328985
