Elapsed,UT,UT,E-500,E-500,E-67,E-67,E-500;R428-67,E-500;R428-67,E-125,E-125,E-500;R428-125,E-500;R428-125,E-250,E-250,E-500;R428-250,E-500;R428-250,E-500,E-500,E-500;R428-500,E-500;R428-500,E-1000,E-1000,E-500;R428-1000,E-500;R428-1000,AF154,AF154,E-1000,E-1000,E-67+AF154,E-67+AF154,E-1000;R428-67,E-1000;R428-67,E-125+AF154,E-125+AF154,E-1000;R428-125,E-1000;R428-125,E-250+AF154,E-250+AF154,E-1000;R428-250,E-1000;R428-250,E-500+AF154,E-500+AF154,E-1000;R428-500,E-1000;R428-500,E-1000+AF154,E-1000+AF154,E-1000;R428-1000,E-1000;R428-1000
33,4.734101,4.200284,3.468681,2.980072,3.919922,3.788366,3.947306,3.038065,4.438319,3.651948,4.454696,3.442294,4.232886,4.451322,3.365985,2.384042,4.698249,5.502144,4.473954,2.955133,4.238431,4.065341,3.41174,3.061202,5.480414,5.676054,4.687118,2.948167,4.495752,4.746038,4.351084,2.772563,4.740562,4.625491,4.011733,2.804496,4.511773,4.213218,3.63538,2.886595,4.883632,4.272659,4.288653,3.113923,3.659269,2.463956,2.545031,1.972151
36,5.20221,4.682979,3.622528,2.940723,4.22618,4.103993,4.21636,3.179701,4.605401,3.885599,4.787068,3.499891,4.592657,4.702168,3.633113,2.438838,4.944848,5.789622,4.590171,3.018083,4.463641,4.309044,3.458998,3.047421,5.97536,6.152097,4.9459,3.048896,4.917641,5.054346,4.505204,2.848284,5.154379,4.925836,4.299539,2.944616,4.785511,4.514422,3.726344,2.972014,5.20744,4.501557,4.481288,3.234826,3.805138,2.653819,2.559003,2.016595
39,5.912041,5.034528,3.703439,3.161016,4.472342,4.292777,4.433498,3.302448,4.78995,4.078166,5.003606,3.715062,4.87041,4.905526,3.759219,2.532616,5.203617,6.094283,4.715568,3.095484,4.742706,4.648246,3.573822,3.082919,6.585925,6.936748,5.19646,3.16536,5.139668,5.24858,4.713341,2.932528,5.40726,5.223285,4.385872,3.009492,5.079012,4.67869,3.900035,3.074724,5.338724,4.744988,4.590144,3.352368,3.861915,2.792996,2.572306,2.030021
42,6.322415,5.345294,3.884096,3.256597,4.648041,4.537301,4.576131,3.437309,5.085568,4.280034,5.101207,3.768302,5.068946,5.166179,3.847998,2.595498,5.393889,6.237844,4.879302,3.149284,4.969952,4.770638,3.663694,3.027945,7.025649,7.491914,5.320504,3.256297,5.506747,5.62007,4.821596,2.989292,5.753346,5.581785,4.589843,3.091209,5.421765,4.94086,3.953275,3.1393,5.647549,4.953589,4.708506,3.436011,4.081458,2.945299,2.67671,2.12922
45,6.715472,5.863458,3.93444,3.35932,4.870438,4.772796,4.712713,3.542845,5.350265,4.431313,5.174306,3.9092,5.188237,5.356247,3.921684,2.641444,5.55466,6.394681,5.048855,3.177666,5.174703,4.941761,3.770842,3.199765,7.930438,8.353338,5.579873,3.472779,5.828439,5.861478,4.998128,3.20027,5.96173,5.73178,4.745356,3.183089,5.621831,5.328275,4.134082,3.298978,6.034419,5.127881,4.835241,3.570312,4.18806,3.112912,2.715035,2.180439
48,7.754219,6.554031,4.017428,3.441474,5.082824,4.971372,4.811407,3.656304,5.441761,4.64632,5.296315,4.028969,5.33505,5.574286,4.069861,2.733706,5.754398,6.574286,5.117966,3.254179,5.358569,5.137961,3.866204,3.171889,8.885899,9.237818,5.660566,3.530785,6.307036,6.378455,5.159814,3.189439,6.370246,6.112052,4.847574,3.247842,5.914622,5.628196,4.209954,3.382826,6.276428,5.255695,5.016499,3.631283,4.368649,3.171533,2.764914,2.214625
51,8.615179,7.042299,4.069356,3.515024,5.209886,5.197361,4.919321,3.757922,5.67936,4.751625,5.367174,4.096427,5.521101,5.707358,4.155349,2.756133,5.894586,6.791766,5.195039,3.300003,5.596086,5.180124,3.972396,3.325462,9.92204,10.57711,5.752062,3.708493,6.634451,6.719693,5.212098,3.445873,6.595102,6.385079,4.971086,3.391799,6.14195,5.879753,4.308143,3.51792,6.582878,5.433102,5.146962,3.733433,4.615808,3.202428,2.783504,2.203248
54,9.421329,7.945885,4.204108,3.6051,5.561503,5.40767,5.014887,3.85144,5.799211,4.882115,5.536658,4.059508,5.72689,5.8159,4.24806,2.789623,6.019435,7.031263,5.249918,3.300945,5.650417,5.359224,3.993294,3.335705,11.22076,11.79391,5.864892,3.761801,6.93429,7.072853,5.357708,3.429018,6.864264,6.733842,5.083192,3.517237,6.386214,6.053854,4.386446,3.486342,6.667094,5.630108,5.209694,3.747787,4.721345,3.301286,2.732039,2.245684
57,10.52314,8.773355,4.259328,3.727887,5.700707,5.580256,5.095402,3.923787,5.85469,4.95576,5.657793,4.133222,5.941201,5.943646,4.362584,2.805192,6.172121,7.111068,5.348134,3.342097,5.810178,5.451486,4.062445,3.321569,12.26475,13.30179,6.035716,3.825215,7.171655,7.445544,5.431217,3.4742,7.096782,7.040469,5.183553,3.521593,6.565901,6.256638,4.447935,3.536167,6.811653,5.700215,5.357408,3.844241,4.707127,3.395897,2.739019,2.302065
60,11.5,9.933075,4.289308,3.749645,5.864564,5.774502,5.114482,3.913502,6.042436,5.012333,5.68526,4.178854,6.093804,5.935656,4.417218,2.801122,6.191829,7.205473,5.404078,3.305999,5.953971,5.553759,4.12515,3.387729,13.00889,14.9018,6.106507,3.837972,7.53629,7.492173,5.399024,3.630067,7.227847,7.090499,5.219938,3.643397,6.808771,6.353065,4.514382,3.68511,6.944042,5.779734,5.360194,3.823781,4.889627,3.451349,2.79458,2.256406
