Date Time,Elapsed,WT-UT,WT-UT,WT-UT,AXL KO-UT,AXL KO-UT,AXL KO-UT,WT-E,WT-E,WT-E,AXL KO-E,AXL KO-E,WT-R,WT-R,WT-R,WT-R,AXL KO-R,AXL KO-R,AXL KO-R,AXL KO-R,WT-C,WT-C,WT-C,WT-C,AXL KO-C,AXL KO-C,AXL KO-C,AXL KO-C,WT-X,WT-X,WT-X,WT-X,AXL KO-X,AXL KO-X,AXL KO-X,AXL KO-X,WT-T,WT-T,WT-T,AXL KO-T,AXL KO-T,WT-D,WT-D,WT-D,AXL KO-D,AXL KO-D,AXL KO-D,AXL KO-D,WT-ER,WT-ER,WT-ER,AXL KO-ER,AXL KO-ER,AXL KO-ER,AXL KO-ER,WT-EC,WT-EC,WT-EC,WT-EC,AXL KO-EC,AXL KO-EC,AXL KO-EC,AXL KO-EC,WT-EX,WT-EX,WT-EX,AXL KO-EX,AXL KO-EX,AXL KO-EX,AXL KO-EX,WT-ET,WT-ET,WT-ET,WT-ET,AXL KO-ET,AXL KO-ET,AXL KO-ET,AXL KO-ET,WT-ED,WT-ED,WT-ED,WT-ED,AXL KO-ED,AXL KO-ED,AXL KO-ED,AXL KO-ED
1/12/23 8:44,40,7.00984,5.483484,4.784849,14.50238,7.75534,11.24164,12.92906,9.716148,12.0879,13.37095,11.16435,6.606121,10.26079,12.63605,14.29745,17.93156,13.68772,12.58548,4.206816,6.699099,12.65731,13.41676,13.13994,26.54056,24.68533,21.47133,11.60754,3.127954,12.233,13.5168,12.00335,20.18409,17.24964,12.23727,5.466291,13.29817,15.33394,20.31032,31.89202,28.61796,5.364657,5.33075,5.438326,8.381433,7.321128,6.819889,3.906813,8.466232,12.43639,9.940364,16.79464,16.85279,13.06473,4.588717,2.587771,10.50805,12.0187,9.393097,15.41675,9.590322,12.31203,7.204026,8.486038,13.6051,11.98679,16.79237,15.00232,11.27679,10.09965,4.444128,9.156315,8.573671,11.56431,10.76114,9.77423,8.032329,8.038031,1.69956,1.956966,3.635118,1.587392,4.347017,4.24103,4.334265,2.783152
1/12/23 12:44,44,8.051826,5.999798,5.265328,16.54759,9.466305,13.25603,13.2685,10.87259,12.3761,14.76187,10.64221,7.581028,12.27894,14.01362,16.16446,20.95645,16.44929,14.34912,4.439569,7.947682,14.86294,15.51131,15.27315,30.20616,27.46708,24.85247,14.39371,3.535549,12.57372,15.4834,12.60384,21.51534,18.23549,13.67913,6.798139,15.55724,15.87841,21.299,33.74371,32.51926,5.50759,5.57064,5.710073,8.735897,7.888439,7.150469,4.224589,8.761182,12.67749,9.587966,17.77422,16.82482,12.96385,4.582229,2.915124,10.76703,12.33856,9.883102,15.35199,9.354733,11.95203,7.098141,8.470587,13.38999,12.49307,18.04802,15.86079,12.43384,10.11104,4.598363,9.196487,8.9315,11.92818,10.88225,9.738735,7.775691,7.322495,1.926389,2.315136,3.669724,1.485399,3.554141,4.395948,3.798743,2.643275
1/12/23 16:44,48,8.658763,6.639481,6.043693,18.86808,10.59989,14.59717,13.27498,11.18574,12.59924,14.24521,11.20727,8.415014,14.05313,17.26009,18.00655,25.24286,18.5307,17.56763,5.119202,8.451533,17.86824,18.12831,17.57946,33.01546,30.20834,26.74701,15.70842,3.685345,14.10006,16.56726,14.70693,24.50754,21.75839,16.81835,7.025735,16.94947,18.19821,24.31919,37.40137,35.82,6.199122,5.760865,6.11632,9.394156,8.446275,7.493922,4.624638,8.687446,12.83466,9.508133,17.88221,16.93284,13.05819,4.365866,3.006327,11.16754,12.86696,10.85925,15.44635,9.332727,11.74369,6.739357,8.658644,13.77769,12.17994,18.41181,15.349,12.41484,9.313145,4.600667,9.350876,8.628988,12.23573,10.20486,9.350021,7.931498,7.244744,1.744342,2.818066,2.686588,1.229291,3.084845,3.932064,3.207291,2.173517
1/12/23 20:44,52,10.23084,8.562352,6.717879,21.97474,14.71176,18.56061,13.73532,11.77463,12.4157,14.66667,10.53294,9.298088,17.15827,19.22309,19.60039,28.39798,22.91108,19.68958,6.276924,9.81423,19.62431,19.82973,20.30222,37.02413,32.98528,30.27585,17.49334,4.4612,15.67893,19.2355,15.30944,27.70501,23.99071,19.77618,8.628221,18.6181,19.81872,24.99612,39.47166,39.94106,6.795321,5.843838,6.548705,9.781229,8.819725,7.591357,4.693748,8.671755,12.79937,9.389016,18.27382,17.26182,12.926,4.527887,3.181784,11.36714,12.57183,11.11897,15.38192,9.084455,11.96176,6.621742,8.502616,13.64777,12.32103,18.92901,15.01702,11.98795,9.030027,4.568656,9.328391,9.296482,12.00175,10.27762,8.700727,7.378561,6.621947,1.655291,6.845704,2.290585,1.120196,2.901159,3.231671,3.389491,1.86153
1/13/23 0:44,56,12.0045,10.69553,8.308054,27.36103,17.97804,22.01672,13.95841,12.21062,12.8826,14.19968,10.22854,10.69351,18.82393,21.86513,22.17362,33.23575,26.16961,23.3231,7.557433,10.26686,22.04801,20.81102,22.27604,41.4476,35.85251,35.58231,21.31337,4.751147,17.0326,20.89606,16.89991,31.38079,28.18038,22.70913,10.7429,20.07543,21.99434,27.50686,42.90802,40.69235,6.978597,6.557463,6.911809,10.39906,8.834151,8.184072,4.555527,8.802072,12.48054,9.257897,18.54941,17.61811,12.37283,4.163178,3.281813,11.23438,13.22424,11.03225,15.82268,9.288544,11.99524,6.585702,8.476237,13.60785,12.56897,19.99049,16.63028,11.84382,8.008273,4.578695,9.182179,9.106275,11.95403,10.04707,8.196978,6.744376,6.301713,1.769849,9.442472,2.718856,0.8685772,2.521221,2.540496,3.283435,1.754108
1/13/23 4:44,60,13.36016,11.47459,9.00633,31.94585,23.35044,25.60169,14.36158,11.44473,13.6924,13.27977,11.44128,11.18101,21.40442,24.70912,24.89186,37.45055,31.08462,26.05416,9.573812,11.27023,23.91043,23.36557,24.23897,43.88026,40.1698,40.88812,25.14838,5.659589,18.65212,22.84721,18.44805,34.7876,32.21258,25.2607,12.14034,19.40378,23.09475,30.35274,45.18546,43.21816,7.087658,7.012623,7.262603,10.2817,9.3561,8.990965,4.634199,8.364394,12.29902,9.175367,19.04585,18.84252,11.92024,4.095177,2.82189,11.47012,14.16637,11.67025,15.81039,9.451025,11.72112,6.056429,8.442076,13.74952,12.4189,24.70853,18.12565,11.115,8.158341,4.525104,9.205006,9.136391,11.85021,9.395061,8.546833,7.211299,6.700926,1.931545,9.707184,2.246282,0.8994278,2.418221,3.076718,4.14042,1.433993
1/13/23 8:44,64,15.40775,13.36707,9.991019,37.69513,28.40298,29.24883,14.1543,11.87941,13.53948,13.53556,10.73992,12.54161,24.17153,27.47359,28.47641,40.9356,36.03823,31.95048,10.98874,13.75584,26.4338,26.56545,25.49434,48.29942,45.44558,45.31693,28.96093,6.107083,19.755,25.30728,19.69327,39.82637,37.11914,29.92147,14.15179,20.22985,24.31306,31.9458,47.52194,46.86182,6.830611,7.979898,8.047028,11.48164,9.992197,9.176768,4.906544,8.362601,11.79105,9.332455,19.08855,18.65272,12.28872,4.005477,3.149346,11.82576,14.58276,12.15733,15.8716,9.549227,11.19957,5.929014,8.138368,14.11811,12.65628,21.47698,19.08078,12.53268,7.915465,4.386422,9.048038,8.589055,11.55348,9.612926,8.676808,6.644535,6.28633,1.479065,8.201708,1.39867,0.7370998,2.34573,5.439898,5.527941,1.380812
1/13/23 12:44,68,17.12348,14.79349,10.59246,42.07789,36.9463,35.40944,13.91407,12.4293,13.31691,14.00956,10.14276,14.71377,28.14559,30.43214,31.2772,47.12163,43.69096,36.36116,13.98303,15.17776,31.2583,30.58329,29.55386,50.97118,50.34167,51.98703,32.09251,6.399523,21.98783,27.24797,21.72671,45.72544,40.70471,34.99594,16.8694,21.95003,26.82786,32.63025,49.7679,49.20319,7.682405,7.985072,9.654055,12.60317,10.98737,10.03794,5.197122,8.518783,12.28364,9.24185,20.79204,21.19693,12.0171,4.055312,3.343378,12.55829,14.34811,12.77211,16.53395,9.746418,11.16402,5.77145,8.378103,15.92478,12.7172,25.66447,18.28284,13.96257,7.380439,4.352208,8.807877,8.843013,11.0923,9.887797,8.323898,6.609894,5.587064,1.359129,8.611916,1.124379,0.7613943,2.037038,5.909791,5.595857,1.444442
1/13/23 16:44,72,23.85944,20.66625,13.87381,49.00626,40.38045,37.3861,13.92194,11.25119,12.87551,7.607421,7.540855,19.48425,36.87389,41.45504,40.17771,56.17831,52.48799,44.48176,23.33325,18.03972,34.85781,34.28866,35.12257,54.8637,52.9666,55.81058,35.45311,8.203979,27.21348,34.84858,25.6784,50.31286,47.44165,42.12922,22.18746,21.8745,26.35744,34.03561,48.94275,49.56891,6.260055,4.997268,5.327388,12.44129,9.602733,9.975568,5.422209,7.110228,11.14299,7.611997,8.845095,8.334483,6.029983,2.535119,3.495684,10.5873,13.06415,10.85589,8.751809,6.38776,6.358822,3.516752,5.979772,8.602167,6.805838,3.097803,4.601675,3.057801,2.581522,4.207072,7.702585,7.090356,9.71538,3.137548,3.510503,2.29161,2.549869,0.6469384,0.3506235,0.3237168,0.3506747,0.5957714,0.5005736,0.4110611,0.2521819
1/13/23 20:44,76,26.01899,25.04512,15.23352,54.40379,45.63727,42.29637,14.00249,11.77111,12.52822,8.318177,6.840889,22.20377,45.81589,48.19053,47.22808,63.60399,57.89839,50.49573,24.67475,21.80625,40.70026,41.31662,40.721,58.50555,57.08935,59.76147,38.97459,8.886804,27.06988,34.74099,26.85743,50.36964,48.51773,42.30712,21.6416,24.41188,29.3205,35.82896,51.55167,52.47919,5.879384,4.822136,5.80061,13.73224,10.52987,10.96762,5.688544,7.070466,10.73377,7.361693,8.685055,8.222264,6.138002,2.675133,3.633871,10.13257,12.55723,10.99321,8.907753,6.664988,6.560161,3.380767,5.582762,8.379913,6.536686,3.289701,4.554862,2.797152,2.385237,4.144705,7.673101,7.945309,9.694961,3.282854,3.295113,2.157042,2.662498,0.618905,0.3328678,0.3229144,0.2164315,0.6468873,0.4031394,0.4893739,0.225685
1/14/23 0:44,80,28.36793,25.70164,16.43824,57.21003,49.49622,43.50541,13.65504,11.46503,12.91436,8.009178,7.053632,20.7122,42.41656,41.7496,42.65941,62.56675,55.85515,49.95204,25.16174,22.46789,42.51604,43.32547,40.53646,64.66772,63.8112,67.45516,45.5846,9.085702,26.70762,31.83245,27.60901,51.84227,51.54562,46.55359,23.7155,24.46977,28.90649,36.73806,51.29633,53.52197,6.033056,5.354925,6.573614,14.28428,11.20561,11.32275,6.274909,6.776985,10.73584,7.447073,9.641027,8.37976,5.995837,2.536963,3.198515,10.41722,12.83294,10.21834,9.313622,6.194223,6.258092,3.633086,5.604257,7.86971,6.581434,3.309454,4.588717,3.181374,2.539096,4.209377,7.278668,7.239521,9.921994,3.088293,3.307422,2.177034,2.496056,0.6455556,0.32119,0.3887811,0.2238923,0.84319,0.6052126,0.3660402,0.2991661
1/14/23 4:44,84,26.42453,26.87339,15.89296,61.14401,55.56379,49.70995,14.1009,10.66785,13.12146,7.11255,7.362649,19.36829,38.39873,40.56989,40.35933,62.74743,57.40958,53.96416,26.99786,23.08764,44.78396,44.8137,43.55445,71.80966,71.34514,74.41737,52.64468,8.944151,28.38217,35.10331,27.87751,57.86848,58.88536,51.38494,26.34093,23.41099,29.10943,38.08094,51.45055,53.66108,6.646242,6.232159,6.703316,15.06928,11.65701,12.19187,6.653293,6.892158,10.35354,7.957414,9.696427,8.189723,6.424023,2.651777,3.241044,10.23011,12.97925,11.10427,9.159644,6.576432,6.707226,3.029017,5.722298,8.17113,6.530335,4.335767,4.748108,2.441645,2.136162,4.098472,6.761773,7.600575,9.438408,2.995025,3.271399,2.171349,2.73697,0.6598797,0.3384677,0.4064344,0.3902665,0.8332878,0.5558382,0.698908,0.2600866
1/14/23 8:44,88,28.219,29.88321,17.05141,68.7605,63.52575,57.03716,14.29078,11.03999,12.60189,8.200103,7.024387,21.90979,40.87066,44.96455,41.15562,68.90561,66.06927,59.403,31.05885,28.61229,49.7025,47.60691,48.31742,77.05116,77.44443,79.95731,58.72299,10.89729,32.07581,38.18279,31.2381,64.44512,65.204,59.38214,30.42251,25.17023,31.1253,39.01244,52.80468,52.8435,7.111304,6.049872,7.715048,16.64412,13.10286,13.20785,7.162369,7.449737,10.47397,7.411768,10.37908,8.368629,6.232449,2.707844,3.401545,9.750977,12.52645,11.76964,9.041347,6.788253,6.394607,3.603755,5.647707,7.987086,6.68877,3.404105,4.575622,2.779874,2.037516,4.024359,6.895197,6.606462,9.264779,3.142363,3.172069,2.250003,2.365091,0.6421922,0.3292825,0.3977785,0.3286338,0.8128346,0.678045,0.7864913,0.2517551
