Date Time,Elapsed,YAP Reporter-ECR,YAP Reporter-ECR,YAP Reporter-ECR,YAP Reporter-ECR,YAP KO-ECR,YAP KO-ECR,YAP KO-ECR,YAP KO-ECR,YAP Reporter-EXR,YAP Reporter-EXR,YAP Reporter-EXR,YAP Reporter-EXR,YAP KO-EXR,YAP KO-EXR,YAP KO-EXR,YAP KO-EXR,YAP Reporter-EDR,YAP Reporter-EDR,YAP Reporter-EDR,YAP Reporter-EDR,YAP KO-EDR,YAP KO-EDR,YAP KO-EDR,YAP KO-EDR,YAP Reporter-ETR,YAP Reporter-ETR,YAP Reporter-ETR,YAP Reporter-ETR,YAP KO-ETR,YAP KO-ETR,YAP KO-ETR,YAP KO-ETR,YAP Reporter-ETC,YAP Reporter-ETC,YAP Reporter-ETC,YAP Reporter-ETC,YAP KO-ETC,YAP KO-ETC,YAP KO-ETC,YAP KO-ETC,YAP Reporter-ETD,YAP Reporter-ETD,YAP Reporter-ETD,YAP Reporter-ETD,YAP KO-ETD,YAP KO-ETD,YAP KO-ETD,YAP KO-ETD,YAP Reporter-ETX,YAP Reporter-ETX,YAP Reporter-ETX,YAP Reporter-ETX,YAP KO-ETX,YAP KO-ETX,YAP KO-ETX,YAP KO-ETX,YAP Reporter-EA,YAP Reporter-EA,YAP Reporter-EA,YAP KO-EA,YAP KO-EA,YAP KO-EA,YAP KO-EA,YAP Reporter-EA,YAP KO-EA,YAP KO-EA,YAP KO-EA
1/12/23 9:31,40,0.8669553,4.116159,2.001304,2.711634,1.592548,2.844887,2.027699,2.482756,3.717408,5.975863,5.784204,6.607538,3.09135,5.449355,4.148341,2.819124,2.9302,5.697115,3.095601,3.793092,6.340554,8.141713,7.446272,5.539874,3.234795,6.132522,4.925511,5.698225,8.219908,7.794676,10.21163,4.007355,3.197371,4.38905,5.177249,8.704415,11.54201,8.859163,4.211972,4.361052,3.257928,3.159794,5.834227,4.095075,12.2673,9.013723,4.200294,1.740296,5.169823,9.80694,7.205256,6.813094,14.19632,14.91073,7.950688,4.494697,7.878059,9.431477,10.01806,6.905645,10.06182,9.342049,4.069073,5.704695,5.847185,7.457318,5.871548
1/12/23 13:31,44,0.8524434,4.23205,2.020255,2.573464,2.614559,2.621114,1.864329,2.621541,3.403149,5.949622,5.735477,6.573665,6.916214,7.686569,8.13929,2.266547,4.024496,5.465967,3.812059,3.62699,7.442209,14.08232,10.38217,3.769958,3.234163,6.231783,4.921004,6.014156,13.14639,15.28834,19.19982,3.08674,3.153955,4.415992,5.104639,9.056473,17.77754,10.62234,5.236082,4.37389,2.589444,3.533261,8.075386,5.815549,16.93175,14.7899,4.175351,1.649742,4.967408,9.39313,7.485215,6.645235,18.65409,25.53431,13.30131,5.847047,9.088313,9.872534,10.42788,7.612679,11.57239,8.96679,4.245964,6.393599,6.760015,8.18764,5.792211
1/12/23 17:31,48,0.7953179,3.970307,1.981039,2.640235,1.895795,2.333711,1.738845,2.473349,3.239882,5.863523,5.559526,6.394435,11.32413,11.52757,11.33004,1.922394,6.670793,5.992526,3.794355,3.212054,9.584259,17.9415,9.291924,5.103444,3.100842,6.322542,5.007563,5.981001,12.50697,19.83301,18.29107,2.697464,3.053807,4.508372,5.127482,8.788396,23.16473,8.137395,5.976613,5.02718,2.111321,4.891212,9.543235,6.558795,17.77769,14.11145,6.218534,1.046373,5.020761,9.667883,7.428038,6.630176,31.85263,29.86951,9.618544,6.124635,9.606832,10.52343,11.25121,7.587651,13.29429,9.316355,3.472584,6.549541,8.007642,8.549463,10.56953
1/12/23 21:31,52,0.7273512,3.991494,1.992034,2.491822,1.882341,2.157315,1.83015,2.061144,2.985447,6.108398,5.017584,6.348117,16.5921,16.35756,12.74921,1.649469,6.342141,7.526838,4.427772,3.381911,14.70596,21.18854,7.236516,3.777743,2.945173,6.17126,4.65303,5.834892,14.83042,26.4197,13.70211,2.69731,3.107313,4.371449,4.781332,9.053041,26.13354,6.532588,4.997371,4.728013,1.861478,7.329852,13.56707,9.715004,23.63748,11.24017,5.770033,0.8029495,5.197839,8.552417,7.516765,6.953364,34.18316,26.40147,7.772583,4.123586,9.894337,11.11748,11.5262,7.29709,18.37237,9.314118,3.660829,7.206263,6.382263,14.22759,9.551003
1/13/23 1:31,56,0.7156222,3.871575,1.994185,2.35582,2.038438,2.069869,1.54442,2.241894,3.454146,6.321979,5.632631,6.583789,20.99572,18.56618,10.4668,1.403945,4.669404,6.323054,5.125228,3.865822,16.27337,22.50935,6.671099,3.629961,2.837085,5.991313,4.593975,5.19323,13.32648,30.40456,10.0709,2.830699,3.142517,4.057122,4.776773,9.631142,26.62763,4.830689,4.744694,3.610088,1.700926,10.66775,19.65994,11.74473,25.11904,8.041445,8.539475,0.6486458,4.632765,8.129729,8.146818,7.549818,34.1789,24.05533,6.194463,3.44747,9.89886,11.48115,11.70473,9.384543,18.16196,9.593958,3.817625,7.07803,6.683648,16.15863,7.067614
1/13/23 5:31,60,0.7802427,3.794731,2.025189,2.495203,1.689334,1.869451,1.479868,2.720905,2.831416,7.940051,5.825639,6.750472,17.67703,21.45122,6.513313,1.47478,3.081805,7.174626,5.088709,3.585521,17.95458,23.10979,5.967052,4.432296,2.928851,6.089788,4.565395,5.457277,15.62641,31.1472,7.965847,5.614739,2.803998,4.20224,4.722533,10.55618,26.11052,4.364141,4.178663,3.115644,1.492075,15.15839,22.87958,15.76184,28.86693,6.894632,5.584725,0.900435,4.445408,8.266686,9.273877,7.287888,35.34371,21.72331,5.806808,2.945873,10.62175,11.49146,12.27025,10.28534,16.49772,8.422954,4.567649,7.267042,6.659712,9.485991,8.182245
1/13/23 9:31,64,0.8286099,3.885114,2.105294,2.598202,1.467507,1.807597,1.319145,2.781018,2.404751,10.94819,7.232606,7.467134,18.33735,21.22525,4.076807,1.274994,2.248296,6.696948,7.103688,5.762146,16.69232,19.70918,5.498319,4.260544,2.766523,5.99372,4.540623,5.159733,16.51995,32.13063,5.953446,7.966018,3.065382,4.228294,4.877417,11.79947,23.6371,3.817932,3.863688,2.285805,1.415333,20.75486,26.32994,18.1322,29.31961,5.234836,5.153519,0.9903573,4.135008,8.794645,13.4136,9.384628,33.17371,18.48566,4.987998,2.287342,10.70128,11.57694,12.15066,10.65684,16.64874,10.22029,3.698184,7.264498,5.102198,10.59364,8.403167
1/13/23 13:31,68,0.7287683,3.647546,2.114292,2.58142,1.58256,1.635213,1.458612,2.5869,1.772956,12.86247,7.830069,7.413219,21.56554,20.11371,3.176594,1.289028,1.789705,10.25824,5.219829,7.040554,18.69269,18.6513,4.631176,3.904388,2.772498,5.903473,4.528347,5.165367,19.39781,31.03125,5.423182,4.279888,2.693434,5.026479,5.261315,12.94905,24.3758,3.303649,3.298169,1.965195,1.259595,18.64233,29.59195,23.87285,28.35905,3.993201,4.666739,0.9196759,3.828774,8.074226,14.0724,12.0686,31.19828,16.24228,5.085381,1.991078,11.41014,11.88448,13.23314,9.003258,14.26408,9.293562,2.988435,7.689832,5.383198,7.372346,4.788502
1/13/23 17:31,72,1.298196,2.781888,1.660959,2.170171,0.2755545,0.7166296,1.387521,2.32234,1.74342,2.536228,1.948993,3.174494,0.2084585,0.6053663,0.5185854,1.103567,0.1971734,0.2816836,0.3213608,0.211156,1.246364,0.5151367,0.8523751,2.783818,2.220655,4.921465,3.876851,4.514774,0.8485508,1.303045,1.41255,2.524465,2.720683,2.872938,2.929585,6.440754,0.8642578,1.014618,1.685134,3.392035,0.1249044,0.2960248,0.3097171,1.677417,0.5677891,0.6076369,0.2808471,2.182941,1.099862,2.295997,1.871807,3.292757,0.9972718,1.593146,1.031998,0.2136316,10.87291,12.47863,12.66236,1.064351,1.420301,3.974797,2.311926,7.627209,3.418464,2.943977,2.663472
1/13/23 21:31,76,1.586009,2.844614,1.621794,2.303765,0.4422189,0.9078104,1.526476,2.993915,1.660532,2.451547,1.952374,3.27944,0.172435,0.7667211,0.5563333,1.259407,0.2345457,0.2944029,0.445992,0.2319336,1.517428,0.5774865,0.9860889,4.888941,2.266905,4.987195,3.746312,4.548391,0.9736942,1.656332,1.739681,2.614541,2.830358,2.828753,2.939402,6.354366,0.9660798,1.284589,1.733859,4.05591,0.1459551,0.3426163,0.4266315,1.531427,0.7701869,0.728478,0.3755497,1.579129,1.1232,2.395856,1.617594,3.202374,1.297343,1.261746,1.548005,0.2402993,10.94066,12.55713,12.64102,1.054705,1.666149,4.388334,2.196924,7.677539,3.746295,2.421141,4.380105
