Date Time,Elapsed,WT-UT,WT-UT,WT-UT,YAP KO-UT,YAP KO-UT,YAP KO-UT,WT-E,WT-E,WT-E,YAP KO-E,YAP KO-E,YAP KO-E,YAP KO-E,WT-R,WT-R,WT-R,WT-R,YAP KO-R,YAP KO-R,YAP KO-R,YAP KO-R,WT-C,WT-C,WT-C,WT-C,YAP KO-C,YAP KO-C,YAP KO-C,YAP KO-C,WT-X,WT-X,WT-X,YAP KO-X,YAP KO-X,YAP KO-X,YAP KO-X,WT-T,WT-T,WT-T,YAP KO-T,YAP KO-T,YAP KO-T,WT-D,WT-D,WT-D,YAP KO-D,YAP KO-D,YAP KO-D,YAP KO-D,WT-ER,WT-ER,WT-ER,YAP KO-ER,YAP KO-ER,YAP KO-ER,YAP KO-ER,WT-EC,WT-EC,WT-EC,YAP KO-EC,YAP KO-EC,YAP KO-EC,WT-EX,WT-EX,YAP KO-EX,YAP KO-EX,YAP KO-EX,YAP KO-EX,WT-ET,WT-ET,YAP KO-ET,YAP KO-ET,YAP KO-ET,YAP KO-ET,WT-ED,WT-ED,WT-ED,WT-ED,YAP KO-ED,YAP KO-ED,YAP KO-ED,YAP KO-ED
1/10/23 17:31,0,1.568288,1.155075,1.804455,0.9597288,1.54739,1.690785,2.802461,2.720051,2.171998,2.345406,2.281673,1.917204,0.8886548,1.891304,2.569913,2.718531,1.936735,2.158613,2.201551,2.207116,0.8858035,1.188879,2.215875,3.178728,2.548982,3.021317,3.022034,2.433467,1.531291,2.18779,2.675849,2.98852,3.846819,2.222858,3.040012,1.416545,2.039735,3.664465,2.977884,3.478423,4.429923,2.220211,2.487878,1.649879,1.821869,2.021143,2.465632,1.522396,0.8726918,2.468876,3.255777,2.318072,2.86715,2.597929,2.211231,1.248054,3.233156,36.38105,2.692581,3.09024,3.096232,1.474319,2.277149,2.474442,2.009499,3.151753,2.504354,1.883861,2.2821,1.297275,2.68763,3.021146,1.999887,2.02425,0.9432023,1.485963,1.126547,0.4019272,1.139863,0.9196759,0.7440313,0.5072491
1/10/23 21:31,4,1.925262,1.066109,2.014314,0.9975961,1.692902,1.845089,2.6976,2.855335,2.382693,2.53785,2.676362,2.137425,0.9713724,1.804763,2.81897,2.841763,2.12037,2.658879,2.615002,2.10007,0.8438216,1.343081,2.419058,3.234266,2.966069,3.131573,2.933358,2.379381,1.814682,2.419945,3.093005,3.105929,3.803148,2.828138,3.298066,1.427488,2.734887,4.070268,3.520747,3.904064,4.581648,2.9155,2.971123,1.897741,2.261886,2.22757,2.526531,1.447651,1.108159,2.76135,3.66928,2.541521,3.35567,2.965164,2.502305,1.363653,3.430073,20.53557,3.041275,3.443851,3.559092,1.583277,2.556169,2.821036,2.04373,3.578982,2.762938,1.609843,2.34177,1.325001,2.825765,3.331,2.085951,2.281366,0.9807794,1.724862,1.189579,0.49902,1.225774,1.238305,0.6827401,0.5760694
1/11/23 1:31,8,2.248313,1.199072,2.410761,1.331522,1.79959,2.347472,3.331154,3.469033,3.223595,3.105981,3.298545,2.276398,1.209879,2.326831,3.061608,3.451705,2.605493,3.094149,3.012968,2.709278,1.064999,1.529362,2.819721,3.845659,3.526791,4.152491,3.811155,3.153221,2.158032,2.873313,3.733661,3.84221,4.139361,3.403337,4.097482,2.069442,3.557351,4.947518,4.494868,4.457479,5.954897,3.713771,3.27215,2.184307,2.749911,2.400858,2.816922,1.550549,1.209896,3.588953,5.036348,3.093928,4.522116,3.933208,3.135909,1.719757,4.209531,35.39679,3.701667,4.197187,4.073751,2.033965,3.388518,3.78628,2.667552,4.142434,4.198775,2.322477,3.091094,1.598302,3.972048,4.230615,2.796093,2.830631,1.18794,1.777002,1.37837,0.4835009,1.424142,1.288345,0.9941132,0.6532042
1/11/23 5:31,12,2.520675,1.462061,2.713973,1.602962,1.976173,2.624922,4.334162,4.576937,3.958288,4.10677,3.643568,3.030109,1.410569,2.613739,3.655553,3.906386,2.946077,3.689357,3.433402,3.321234,1.392609,1.752332,3.779348,4.307102,3.519876,4.688064,4.415035,3.198498,2.130016,3.250212,4.1746,4.064087,4.758198,4.354667,4.910504,2.2786,4.11942,6.11043,5.783793,5.478055,7.240716,4.959145,3.584957,2.276244,2.836675,2.595403,2.663762,1.671919,1.072016,4.650315,6.620718,4.107521,5.114849,5.06573,3.848066,1.935625,5.067745,40.96207,4.549228,4.480715,4.593873,2.528272,4.383246,4.601624,3.530683,4.813531,4.337115,3.858053,3.653812,2.041903,4.914021,4.811055,3.446327,3.259397,1.405413,1.878551,1.656383,0.552031,1.791804,1.493645,1.440037,0.8257758
1/11/23 9:31,16,2.683362,1.817038,2.933392,1.741166,2.076578,2.795751,5.250782,5.225394,4.704761,4.923804,4.270105,3.246387,1.397611,2.980855,3.89225,4.403478,3.499491,3.826844,3.788567,3.798692,1.487499,2.137852,4.0702,5.285371,4.079709,5.171188,4.881498,3.865378,2.920792,3.739295,4.828197,4.581853,5.852973,4.774281,5.720608,2.829385,4.381675,7.620363,6.80075,6.646959,8.624634,5.783998,3.686097,2.655499,2.889088,2.860321,2.87864,1.787246,1.085521,5.32329,7.802273,4.685315,5.720539,6.054397,4.394326,2.105619,5.822498,50.05214,5.536221,4.741928,5.423985,2.726675,4.759734,4.861983,3.961736,5.21032,4.715516,3.414639,4.291258,2.551048,5.321326,5.577418,4.096782,3.941146,1.55019,1.87949,1.605728,0.6054516,1.673627,1.866976,1.502489,0.8981643
1/11/23 13:31,20,2.900117,1.839864,3.274114,2.104714,2.689849,3.134219,5.074403,6.099145,5.321566,5.195397,4.489575,3.8446,1.524155,3.466507,4.116228,4.975552,3.828535,4.369861,4.669129,4.510319,1.660583,2.592517,4.884827,5.91633,5.052499,6.898373,5.749153,4.610058,3.596174,4.232033,5.544006,5.157684,6.487789,5.590034,6.397388,3.045304,5.202994,8.719662,7.559379,7.713222,9.899099,6.223503,3.670901,2.609231,3.150234,2.749502,3.045612,1.79766,1.243837,6.178226,8.762992,5.116828,6.720934,6.672363,4.716063,2.346089,6.397918,47.2934,5.367133,6.005791,6.855247,2.701954,5.707086,5.539465,4.493075,5.871087,5.261708,4.84293,4.986239,2.646467,5.947931,6.47379,4.152986,4.269029,1.543361,2.257088,1.618567,0.6491238,1.553998,1.716821,1.690921,0.9595238
1/11/23 17:31,24,3.521259,2.387269,4.298326,2.979113,2.757816,3.245141,6.005296,7.186561,5.935451,5.702322,5.350743,4.222489,1.6697,4.09458,5.161593,5.94759,4.206099,5.688596,5.61701,5.356992,1.78267,3.190593,5.275264,6.913481,5.535555,8.490545,7.909149,6.395887,4.019289,5.331058,6.661744,5.978321,8.283895,5.548086,6.479834,3.831164,6.042719,9.686698,9.328237,8.538177,11.1062,7.580173,3.652702,2.874047,3.136012,2.872118,3.340629,2.282766,1.312879,6.934037,9.83412,6.080963,6.405994,6.859839,5.294283,2.455167,7.455166,55.61065,5.869465,6.618857,6.983616,3.207939,6.359693,6.337651,4.947689,6.831243,5.481111,4.504975,5.913052,3.308908,6.681958,7.130272,4.77003,4.841053,1.407411,2.376256,1.982815,0.7948741,2.03125,2.229908,1.82933,1.106111
1/11/23 21:31,28,3.925833,2.456584,4.835845,3.351231,2.729953,3.935222,6.588861,7.800515,6.961763,6.31544,5.762282,4.459681,1.881505,4.109433,5.740838,7.081956,4.717958,6.443485,5.946104,6.059484,2.670113,3.483221,5.43037,7.516407,6.857961,9.195752,7.974196,7.869455,4.716045,5.613271,7.892742,6.889015,9.14059,6.878431,8.130002,4.284036,7.298387,10.50894,10.54312,9.673193,12.05539,8.615774,4.067571,3.419215,3.062752,2.878452,3.339263,2.084073,1.340912,7.238735,10.33777,6.48079,7.156666,7.881747,5.203405,2.753633,8.521019,66.40704,6.93443,6.887411,6.772358,3.803045,7.290329,6.981056,4.839072,7.241075,5.381064,6.337447,6.619506,3.654922,7.454125,7.236721,5.253957,4.944155,1.334869,2.578569,2.38073,1.047602,2.344006,3.069206,2.023943,1.465339
1/12/23 1:31,32,4.739657,2.82976,5.709664,3.63341,3.508881,4.14969,7.339942,8.479942,7.319626,6.797899,5.865009,4.509038,2.206451,5.052191,6.281003,7.462576,5.483074,7.036269,6.436281,6.215427,2.921749,4.360829,6.683084,8.503247,7.61997,10.53255,9.108802,7.787231,4.778788,6.451202,8.664994,7.774376,10.10307,8.751826,8.869253,4.963925,8.169337,11.92168,11.89883,10.1373,13.33849,9.424101,4.38509,3.399803,3.404037,2.942868,3.341244,2.006324,1.06768,7.938121,10.86006,6.967107,7.333267,7.443642,5.50438,2.74974,9.296499,61.4953,7.013033,7.163888,6.758786,3.890799,7.359781,7.685546,5.068991,8.187572,5.829856,6.225296,6.85033,3.893428,9.016898,8.13608,5.702868,5.148909,1.41914,2.879784,2.641875,1.155639,2.683037,3.716947,2.511558,1.158422
1/12/23 5:31,36,4.646781,3.448546,6.23192,5.404351,4.354734,4.384748,7.828685,8.903381,7.76794,6.598182,5.772526,4.544396,2.145706,5.470219,6.874538,8.268104,6.259953,8.716673,7.68722,6.855434,3.346997,4.873764,7.597332,9.354548,9.262285,11.81091,9.064343,10.01041,5.181892,7.262841,9.901711,8.350906,12.17913,9.654584,9.388163,4.950454,9.155888,13.06398,13.11168,10.87684,14.06293,9.963994,4.324362,3.813169,3.791948,3.258646,3.293081,1.971581,1.10722,8.52177,11.06112,7.01416,8.677151,8.598564,5.397164,2.747845,9.552454,68.87553,7.512873,10.30034,7.732906,4.3785,8.002947,7.978925,5.522102,8.253045,5.854697,4.891127,7.43386,3.982497,11.12438,9.82526,7.195114,5.554267,1.603423,2.753889,2.955399,1.245578,1.984556,5.263364,4.331259,1.563268
1/12/23 9:31,40,5.278525,3.974763,6.674276,7.091653,5.662611,5.331656,8.285671,9.925562,8.090394,7.202541,6.312196,4.540059,2.224957,6.710777,7.909831,9.293921,7.512702,10.35952,8.161842,7.183574,3.5496,4.954808,7.869096,10.59832,10.29169,12.18482,10.3015,10.73749,5.552338,7.89923,11.42076,9.640685,12.14169,10.35851,10.0133,5.690252,8.880829,15.27347,13.24835,10.92896,14.87009,8.441785,5.794498,3.877892,3.927096,3.290162,3.649032,2.002687,1.232039,8.58004,11.27631,6.971546,7.910002,8.261565,5.756682,2.716841,9.678929,66.51955,7.42336,15.3512,9.471035,4.416897,7.990381,8.277443,5.694452,9.442318,5.372937,6.737461,7.929329,4.394104,14.99235,11.66676,10.84556,5.68764,1.555807,5.792894,4.103475,1.201906,3.039602,3.774687,12.95337,1.508635
