Date Time,Elapsed,WT-ECR,WT-ECR,WT-ECR,WT-ECR,AXL KO-ECR,AXL KO-ECR,AXL KO-ECR,WT-EXR,WT-EXR,WT-EXR,WT-EXR,AXL KO-EXR,AXL KO-EXR,AXL KO-EXR,AXL KO-EXR,WT-EDR,WT-EDR,WT-EDR,WT-EDR,AXL KO-EDR,AXL KO-EDR,AXL KO-EDR,AXL KO-EDR,WT-ETR,WT-ETR,WT-ETR,WT-ETR,AXL KO-ETR,AXL KO-ETR,AXL KO-ETR,AXL KO-ETR,WT-ETC,WT-ETC,WT-ETC,WT-ETC,AXL KO-ETC,AXL KO-ETC,AXL KO-ETC,AXL KO-ETC,WT-ETD,WT-ETD,WT-ETD,WT-ETD,AXL KO-ETD,AXL KO-ETD,AXL KO-ETD,AXL KO-ETD,WT-ETX,WT-ETX,WT-ETX,WT-ETX,AXL KO-ETX,AXL KO-ETX,AXL KO-ETX,AXL KO-ETX,WT-EA,WT-EA,AXL KO-EA,AXL KO-EA,AXL KO-EA,AXL KO-EA,WT-EA,WT-EA,AXL KO-EA,AXL KO-EA,AXL KO-EA,AXL KO-EA
1/10/23 16:44,0,0.7641943,1.029095,1.070838,1.354093,2.448543,3.103949,2.67363,1.603833,2.343818,2.033862,2.784347,5.304373,4.684205,2.960948,1.481729,1.059485,1.679329,2.719282,2.624033,2.892349,2.239879,2.31768,1.211108,1.500372,1.502404,2.481579,2.29441,3.929025,3.313978,3.557044,0.9339317,0.9913133,2.565047,2.216285,2.940375,5.821883,3.79497,3.743717,1.370619,0.9298343,1.304172,2.667279,2.059096,4.159456,3.235119,3.303052,1.14321,1.260653,2.008902,2.033213,2.224633,5.80802,5.079781,3.767722,1.798258,3.578401,3.697535,5.424497,4.133352,4.423367,1.857466,2.358347,2.323451,5.604154,3.899831,3.411294,3.023297
1/10/23 20:44,4,0.9700235,1.019057,1.345642,1.481456,3.124676,3.805077,3.199557,1.696248,2.466793,2.270508,3.076325,5.69715,5.193161,3.516615,1.901497,1.063036,1.959459,2.864504,2.738592,3.122234,2.593302,2.456738,1.3558,1.780331,1.623996,2.604571,2.908739,4.491675,3.708411,3.943554,1.197843,0.9756746,2.814993,2.483593,3.19324,7.612219,4.164442,4.627916,1.461549,1.18106,1.581673,2.946043,2.415575,4.472058,3.521942,3.622791,1.240337,1.498631,2.153884,2.194978,2.316519,6.198081,5.768702,4.353625,2.166517,3.661477,3.95098,6.228112,4.989312,5.319773,2.135052,2.631785,2.64587,6.626369,4.827889,3.913096,3.708018
1/11/23 0:44,8,0.9767844,1.153829,1.423476,1.652678,2.91451,4.304797,3.544615,2.076134,3.207239,2.879203,3.73349,6.660088,6.371336,4.072726,3.030007,1.115108,2.276534,3.208435,3.087559,3.560543,2.764867,2.748801,1.539742,2.358245,2.097219,3.305305,3.618215,5.434109,4.58969,4.631108,1.377158,1.207216,3.2203,2.80323,3.733439,8.631823,4.679049,5.572979,1.728516,1.207864,1.714021,3.188203,2.644675,5.088659,3.881699,4.063746,1.526937,1.916196,2.585517,2.822573,2.900698,7.65526,7.433672,5.160773,2.754862,4.922985,4.80986,7.702346,6.357439,6.254012,2.579201,2.942697,3.399018,8.205584,5.815703,4.967698,4.663257
1/11/23 4:44,12,1.223708,1.405806,1.48487,1.847598,3.33619,4.978745,4.321681,2.634414,4.154642,3.799169,5.099875,9.200464,7.786686,4.572207,3.426556,1.104284,2.387115,3.465312,3.425959,3.531366,2.809614,2.885315,1.723582,2.952616,2.449465,4.507997,4.450582,6.607964,5.803342,5.596215,1.76191,1.651091,3.647136,3.533176,4.371159,9.756371,5.576923,6.671355,2.054674,1.111779,1.830986,3.426932,2.745523,5.526678,3.879907,4.001584,1.811985,2.228372,3.419983,3.676365,3.354987,9.345243,8.650483,6.615118,3.553612,6.053766,5.942878,10.13552,7.299139,6.978904,3.036341,4.367846,4.676676,9.757208,6.919747,6.03379,5.499959
1/11/23 8:44,16,1.352454,1.551966,1.669819,2.37641,4.147317,5.819664,4.43682,3.255897,4.52717,4.930258,5.658155,10.56881,8.046277,4.98822,3.985399,1.127144,2.348052,3.652053,3.419949,3.765519,3.144121,2.977645,1.648598,3.40863,3.202835,5.625136,4.998139,7.886477,7.02804,7.222397,2.023584,1.979195,4.361085,3.935956,5.14645,12.08402,6.500338,7.451069,2.412126,1.091804,2.079412,3.64338,3.373375,5.788864,3.772075,4.122715,1.610423,2.671854,3.842432,4.461166,4.282688,10.53738,10.0567,7.732037,3.958338,7.799201,7.152279,11.1505,8.462118,8.14045,3.60466,5.124905,5.820791,10.81458,7.520522,6.796875,5.685966
1/11/23 12:44,20,1.422384,1.612028,1.866464,2.888218,4.427174,6.212201,5.086678,3.460753,5.138938,5.215509,6.424706,10.8058,9.487305,5.50759,4.235993,1.01624,2.482466,3.616696,3.409296,4.046724,3.296103,3.100774,1.532622,3.771307,3.592196,6.042173,5.559867,8.929281,8.060994,7.848626,2.142735,2.22325,4.765079,4.80018,5.785142,13.80038,7.199877,9.16468,3.097752,1.264665,2.184615,3.663663,3.446395,6.699321,4.173729,4.889318,1.566495,2.65514,4.703941,5.065628,4.563723,12.3901,11.09006,8.847674,4.461234,8.254343,7.934536,12.32205,9.415036,9.682104,3.822201,5.720624,6.380555,11.58084,8.974762,6.651654,6.295328
1/11/23 16:44,24,1.671219,1.708523,2.352372,3.158326,4.92196,7.143469,5.406707,3.839598,5.700274,6.011049,7.238889,12.23957,10.93368,6.35201,4.933075,1.238834,2.575632,3.809362,3.824591,4.916394,3.989838,3.482094,1.667668,3.892079,4.444042,6.730838,6.145429,9.889318,8.414144,8.408288,2.374156,2.591288,5.830556,5.267223,6.63832,15.43356,7.988281,9.964028,3.420973,1.409374,1.968047,3.676229,3.446822,8.933737,4.859235,6.077872,1.746459,3.006276,5.315777,5.462604,5.34644,13.28055,12.42648,9.354496,5.111007,9.402349,9.552847,13.46891,10.13713,9.674047,4.236028,6.151558,7.309109,12.4804,10.0217,7.541555,6.911553
1/11/23 20:44,28,1.82636,1.791839,2.666767,3.088464,5.405888,7.351518,5.451865,4.271948,6.114681,6.347588,7.826516,13.28477,11.97585,6.676307,5.408107,1.269599,2.768316,3.993082,3.792528,5.969101,4.819933,5.046643,2.026794,4.16398,4.717394,7.033469,6.405413,10.54196,9.345771,9.111157,2.814583,2.810707,6.266219,5.948836,7.411801,16.02232,8.39451,10.45559,3.650927,1.374204,2.17111,3.85242,3.461726,11.81115,6.31404,7.128036,2.682952,3.661409,6.051478,6.128681,5.999866,14.89212,13.20408,10.12711,5.846399,10.65995,10.35358,14.61728,10.82446,10.13346,4.570517,6.947713,7.915107,13.4601,10.41769,8.208024,7.016635
1/12/23 0:44,32,2.097748,1.874317,2.879306,3.018893,5.58102,7.122896,5.694384,4.671264,6.791309,6.342568,7.628353,13.83652,13.15542,6.788629,6.190023,1.694882,2.948075,4.155512,4.198502,6.877936,6.084086,5.752004,2.395566,4.40597,4.891058,7.333523,7.07523,10.72662,9.469993,9.298667,2.866945,2.874781,6.75322,6.192977,7.633679,15.9636,8.964296,10.42482,3.525783,1.645679,2.544167,4.689975,4.238469,13.70163,9.070865,8.545639,3.073833,3.829013,6.555125,6.105667,6.308354,15.79832,14.79268,10.85282,5.97284,11.48446,11.2782,15.21602,11.46005,10.36773,5.025079,7.692052,8.569507,13.92909,10.91536,8.337659,7.577851
1/12/23 4:44,36,2.110092,2.029457,2.695364,3.415083,5.22099,7.216284,5.542248,4.461679,6.986877,6.120708,8.179206,14.5073,13.011,7.209592,5.979157,1.552905,2.598817,3.854007,4.791183,7.329409,6.126444,5.826082,2.510841,4.511804,4.302236,7.832919,7.032086,10.76945,9.233313,9.238315,2.84936,2.847875,6.869092,6.705023,7.714809,15.78787,8.222946,9.75183,3.450629,1.762456,2.619731,4.55563,4.506955,14.90914,9.227234,8.019762,2.568564,4.002096,6.560724,6.41523,6.537591,16.57764,14.5248,11.51522,5.391786,12.29741,11.39401,15.62922,11.85887,10.61781,4.945025,8.66146,9.867413,13.91881,10.99082,8.447931,7.102734
