Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,SRC UP.V1 DN,0.4305658002862257,1.559693625817678,0.0851063829787234,0.1310731189027335,0.55,24/179,19.61%,ATAD2;E2F8;CENPH;GINS1;SUV39H2;MCM3;MCM5;CHAC2;PLK4;DPYD;PC;CDCA7;EIF3CL;EMB;EZH2;RACGAP1;FANCL;SOAT1;DTWD1;MCM4;PHLDA2;S1PR3;COMMD9;LIG1
gsea,MTOR UP.N4.V1 UP,0.4072972764972216,1.5221495625538877,0.06,0.16518668770190068,0.64,61/196,29.90%,PAK1IP1;ELOVL6;IDH3A;ISOC2;SLC7A11;RABEPK;SLC7A5;SLC31A1;NANS;RBM28;GFPT1;SLC39A14;COQ2;MIPEP;LPCAT4;NQO2;SLC3A2;SARS;GOT1;ARG2;GALE;LDLR;ADAM9;LGMN;LARS2;MARS;SAR1B;BSPRY;MSMO1;ASCC1;DHCR7;SLC1A5;MAST2;ENST00000618924.4;VEGFA;SLC25A32;TUBB2A;ACACA;PIR;BCAT1;PHGDH;IFRD1;PANK3;NUP155;PDHX;SDF2L1;SLC6A6;GTF2E2;CNIH4;TRAF3IP2;SLCO4A1;CLIC4;TBRG4;LIMA1;IDH1;PYCR1;TRIB3;CHORDC1;IFI30;CCDC86;CHUK
gsea,RB DN.V1 UP,0.4255528034114407,1.5213486438479455,0.058823529411764705,0.15745436105476673,0.64,29/137,20.18%,BAZ1B;TUBG1;MCM6;PCNA;GCLM;RAD54L;DNAJC9;RFC3;POLE2;DSN1;AHCY;SLBP;UBE2T;NANS;DNA2;RPA1;TIMELESS;ID1;ZBTB2;TIPIN;STUB1;CTDSP1;MCM7;VPS16;NUDT5;ZW10;RP9;SFRP1;PRIM1
gsea,PRC1 BMI UP.V1 UP,-0.3801853013235631,-1.491437455891365,0.024390243902439025,1.0,0.63,17/190,22.05%,TRPM4;MAPK3;BBC3;MFSD6;PYCARD;PRRG2;SLC9A3R2;SPINT1;ZXDC;DCC;MLLT1;ARSD;PDGFB;GALK1;AP1G2;PRSS8;PACSIN3
gsea,E2F3 UP.V1 UP,0.4947482334339091,1.4782445983111614,0.125,0.21283591191716714,0.75,22/196,13.43%,DTL;ATAD2;E2F7;TMEM106C;PCNA;GINS1;POLE;ZNF367;PXMP2;BRI3BP;POLE2;FOXD1;MANEAL;FEN1;TMEM97;DCK;SNX10;DDAH1;UNG;ABHD15;CRY1;FANCA
gsea,NFE2L2.V2,0.35569953432287277,1.4545263938735316,0.1276595744680851,0.2476648386046628,0.78,72/481,26.65%,ORC1;ME1;PSAT1;DHFR;NAP1L1;NEIL3;UCHL1;GCLM;ZNF326;SUV39H2;ZNF367;GRPR;MCM3;ABCC2;SLC7A11;UGDH;MCM10;EIF2S2;ATPAF1;TFRC;CCND3;IDE;GPX2;PFN2;MTHFD2;SHMT1;DBF4B;NQO2;WDHD1;PA2G4;P2RY6;HJURP;NRCAM;LRPPRC;PPAT;PALLD;CDC45;ASF1A;FERMT1;EIF1AX;MARS;ELAVL1;METAP2;SMC5;JDP2;CKAP4;SUB1;SLC48A1;GLA;ANKS6;PIR;BCAT1;DGKG;PHGDH;UGT1A3;NFE2L2;MAP2;CYCS;GPT2;SLC6A6;EMP2;UBE2N;SMG6;SRXN1;KCNE4;SPP1;STC2;METTL3;SFN;HMOX1;DBF4;NLN
gsea,TBK1.DF DN,0.3521678409544258,1.444040600026307,0.10256410256410256,0.24990806970095963,0.79,64/287,19.90%,NAA15;MIS18BP1;HOOK1;UGGT1;LMNB1;COPS4;CHMP2B;DSN1;BLMH;NAA35;RFWD3;MSH2;DCK;BPHL;ELL2;GALNT7;ROCK2;IDE;SLK;NSMAF;CDK6;CBX5;SEC63;AMMECR1;SCAF11;BNIP2;OSBPL3;IRF2;EHF;HMGCS1;CDC27;APPL1;DNAJC3;SLC39A8;LMO4;ZWINT;ANKFY1;ARMC1;PCBD1;KCTD3;TBK1;GALNT3;TMOD3;NEK7;BPTF;ATP6V1C1;CRK;KIF14;RPAP3;TFAM;UFL1;ALDH9A1;PRRC2B;SMC5;ZNHIT6;CD2AP;TSPAN5;ACAP2;DCAF16;MTAP;CUL5;PLEKHA2;GEMIN4;ESF1
gsea,CTIP DN.V1 DN,0.4014079192273369,1.4402674596159613,0.020833333333333332,0.2446698219517692,0.79,12/141,25.01%,MYH14;CYBRD1;ANO1;KLK5;DDAH2;EDEM1;ARL5A;FOXRED2;KPNA1;IL1RN;CTNNBIP1;HIP1
gsea,KRAS.600.LUNG.BREAST UP.V1 DN,-0.36986232090181503,-1.4352974472702742,0.0392156862745098,1.0,0.76,22/289,26.14%,NYNRIN;SNN;DYRK1B;DTX2;MXD3;DENND1C;GPRC5B;PROC;GAMT;THNSL2;LGALS9;MEGF8;IFT140;KRT16;PSORS1C1;PBX1;ALDH5A1;RARRES3;DGCR6L;MYL9;GBP2;PTPRU
gsea,BCAT BILD ET AL DN,0.4111761564692442,1.4131305392106535,0.12195121951219512,0.2848557047340009,0.82,7/46,8.81%,PRKDC;GCLM;ARPC2;CTBP2;ARHGAP29;ASH1L;SRSF1
