Gene,Cluster,WT/KO
AXL,3,8.374731757761776
CBLB,3,5.379592017566665
CTNND1,3,4.155356849165567
ANXA2,3,3.6591190036339465
SOS1,3,3.624485804881573
MAPK1,3,2.9408176679085214
MAPK3,3,2.933745890046035
GAB1,3,2.8094760909643215
GAB1,5,2.6866790258992577
CDK1,3,2.684428524809095
ACTN1,3,2.558844801460209
ARHGEF5,3,2.465842174623523
PKP3,3,2.397142825467399
BAIAP2L1,3,2.3924976791269987
ZNF185,3,2.345686307755342
GAB2,5,2.3269609747150213
TNK2,3,2.2183876739695823
RIN1,3,2.2149864673015376
AFDN,3,2.1208546166151088
SIRPA,3,2.0625496503996548
IRS2,3,2.0173113546587995
ANXA8,3,1.9496049697461384
MAPK10,4,1.8752525579388175
PAG1,3,1.8718436106904779
ARAP1,3,1.8254452359854154
INPPL1,3,1.6267279299826196
TJP1,4,1.4750086475894157
TJP2,3,1.4703708017372428
ACTB,3,1.4599368869590599
ARHGEF5,1,1.4537821975395815
PRKCD,3,1.450852224151312
SDCBP,3,1.4116225340763613
PTPN11,3,1.3723156506569438
RPS10,3,1.3660508850714805
TCP1,5,1.3495422865213502
ARHGAP27,3,1.327347815537271
PITPNA,3,1.2934543177320101
DYRK3,4,1.2918408356363393
TJP1,3,1.2484853625843009
SRRM2,5,1.2404486681904157
SRRM2,1,1.239882638165783
G6PD,4,1.2141721654772166
GRB2,3,1.2081368285504102
ICK,1,1.192387998675276
BCAR1,3,1.1779740834835195
RBM14,1,1.1374826218339518
MPZL1,3,1.1289326429319644
YES1,3,1.1076802329508144
AHNAK,1,1.0877341510640086
GPRC5A,3,1.0579292444962363
NEDD9,4,1.0574520956183655
C11orf52,1,1.0556969496156228
TNK2,5,1.0526371269171566
G3BP1,3,1.0503989162311491
TNS1,3,1.0446152723754847
SHB,4,1.0384904585780608
RASA1,3,1.016658124399127
CDK2,5,0.9943849758797842
PHLDB2,3,0.9878783660808228
ATP1A1,3,0.9657519243909825
SIPA1L1,5,0.9629432738277703
AFAP1L2,5,0.943722424207305
PEAK1,5,0.936557474737727
ADAM9,5,0.9327156026335235
SHB,3,0.9123050675673383
HNRNPA1,4,0.8961316524319933
LIMD1,3,0.8805906456549639
GOLGA3,3,0.8759925521975909
ICK,4,0.8737588755904238
LARP1,5,0.8605313389404526
ZRANB2,5,0.8540918722300432
HNRNPUL1,5,0.852572158681733
TJP2,5,0.815801092226538
EPHA2,5,0.8021293813431143
TUBA1C,3,0.8000697589539971
NEDD9,1,0.7934452512818453
MRE11,5,0.7919800237540304
ICK,3,0.783804474957897
SLC12A4,3,0.7647054015110033
DOK1,1,0.7517197424826492
PLCB3,4,0.7323996702689097
PARD3,3,0.7281244068511594
GPRC5A,4,0.7215183577664372
PQBP1,4,0.7199493773687973
GOLGA5,5,0.7134185214354591
EPB41L1,3,0.7129007397662365
SH2D3A,3,0.7098193457332309
AHSA1,4,0.6900827337652675
MCAM,3,0.6872826397545779
EPS15L1,3,0.667859593400788
PKP2,5,0.6428166733358349
FLNB,4,0.6356017765759006
SLC35B3,3,0.6350912264995863
DSP,5,0.6312392669857907
FRK,4,0.6272782957423246
HGS,3,0.6227470690574552
TWF1,3,0.6113255848602073
ARHGAP32,3,0.6069284091294591
RNF113A,5,0.5901396934545318
SHC1,5,0.5890483081799047
ANXA1,3,0.5871515192692369
TMEM106B,3,0.5826051840656756
BAIAP2,4,0.5825058600912836
EPHB4,5,0.5799631008433472
HNRNPA2B1,4,0.5784497503268149
ASAP2,3,0.5752538344995717
CFL1,3,0.5682758473605631
RANBP2,5,0.5586545625533361
EPHB2,4,0.5584275763684445
EFNB2,3,0.5536702823091026
KIRREL1,3,0.5425137402921898
MYH9,3,0.5351927703210198
ARHGAP35,5,0.5294932108595614
LIMD1,4,0.5284276937925547
PKP4,4,0.5276565863818696
LTV1,5,0.5211517875745404
WWC1,3,0.5084003849718322
EEF1A1,4,0.5043420937326868
PACS1,5,0.5032930905325115
ESRP2,3,0.49095604046612173
TNS3,4,0.486449754134411
CTNND1,4,0.48112923759310533
PAG1,1,0.47869737905698706
SLC35E1,3,0.471323734647223
SPTBN1,1,0.47084164539320916
PRPF4B,4,0.45468627922957816
PTK2B,4,0.4413338747236703
KRT18,4,0.44003269517539556
PGM1,3,0.42701127047994153
TRIOBP,4,0.4251554097309125
EPHB3,5,0.4186214715071177
SCAMP3,5,0.4162215496474335
SH2D3A,1,0.41388133546865724
PSMB4,3,0.4051669803897351
AFAP1L2,4,0.40503090299413813
LPP,5,0.40278484646848806
FLNA,4,0.4002015241276915
LDLR,1,0.3996029798915366
ELMO2,3,0.39583077262770183
DOK1,3,0.3943772190245003
ABLIM3,3,0.3930743286514984
SLC38A2,3,0.3916010766508418
CASKIN2,3,0.38893386766584115
DBN1,5,0.3791011753002955
ARAP2,3,0.3749411142673935
TGM2,4,0.3678048951796651
ARAP2,4,0.3643121859489806
CTTN,3,0.35962640570363114
ATP8B1,3,0.35675513905430734
KRT19,3,0.34989031345914096
ITSN2,3,0.3490026557263356
PTK2,4,0.3425905601737007
ARHGDIB,4,0.3370823392601867
AGTRAP,3,0.3354961464063706
MCM2,1,0.3327053708564467
KRT8,3,0.3297400829638004
ITCH,3,0.32752091149992424
PARD3,4,0.32340079304470254
LMO7,4,0.32230779182691194
NEDD9,3,0.3201304126148026
FNBP1L,3,0.31549341366831385
BRK1,4,0.31230408240075436
PI4KA,4,0.3072567190645312
YES1,4,0.3064360947235212
PTK2,3,0.3050934243708149
RBM14,4,0.30453303872411297
MISP,4,0.3037567426438841
KRT18,3,0.3023549102803784
GOSR1,1,0.30229024849113273
CGN,3,0.3021248208738223
GOLGA4,3,0.3000531204030892
TUBB4B,4,0.29699193942772517
DYRK1A,4,0.2966302752689334
PIK3R2,3,0.29140015201765657
CTPS1,4,0.2845444366831913
KRT7,4,0.28430227475593917
C11orf52,3,0.2824404901251203
CDK5,5,0.28192847502991825
TNKS1BP1,5,0.2792079194391963
LDHA,3,0.27862555975287545
JAK2,3,0.277124002591171
MAPK9,4,0.2747316525848049
RPLP0,4,0.2704858477348946
HSP90AA1,4,0.269259120484044
PLEC,5,0.26894778326614777
KRT18,5,0.26606121693426665
ZYX,4,0.2625161749242917
TYK2,4,0.2616540811999476
HSPA8,3,0.25860354738136593
ARHGEF5,4,0.2545862370633868
PSMB4,4,0.25436177358679934
TUBA1B,4,0.2531570116097468
SHC1,4,0.24347569806646696
SLAIN2,5,0.2407496076519937
TEC,4,0.23602876274477735
SEPT2,3,0.23537588145246957
PGAM1,3,0.23020573355283425
HIPK1,5,0.2230471002488983
SLC4A1AP,1,0.2143450854062028
ANXA2,5,0.21365309162264978
C20orf27,1,0.21348257232858892
RPS27,5,0.21013082291744212
KAT2A,3,0.2096975666066534
HNRNPU,5,0.20916294793522106
VCL,3,0.20905601433481058
NUCKS1,1,0.20486069236276105
PHLDB2,4,0.2020784420238808
TFRC,1,0.20154978640635157
CASKIN2,4,0.20049301466386935
DYRK2,4,0.1995145898933517
SCAMP3,3,0.19795859130518956
SGMS2,3,0.1944150907493416
ERBB3,4,0.18877256404685738
RBM5,5,0.18852331929467425
LMO7,3,0.18387682770931768
GMDS,4,0.17491544959559963
HIPK3,4,0.1746259168442504
MAPK13,4,0.1740505929443993
STAT6,4,0.17360369667710884
AFAP1L2,3,0.16744901299893478
VTA1,4,0.16400403831555366
DSP,4,0.1596879895515122
PTK2B,3,0.1592891605441693
DIAPH1,5,0.15575911689141128
PACSIN2,3,0.153595375148889
AKR1B1,4,0.15339968455106734
KRT8,4,0.14745868746548219
ZDHHC13,3,0.14710231468030877
PDXDC1,3,0.14348653784663767
NARS,3,0.1417384170048397
MET,1,0.13862391144540176
TRIOBP,3,0.1309912488590097
FYB1,3,0.1281397579677126
ALB,4,0.12770613428146405
NME2,3,0.12430329882497126
FHL2,3,0.12188414896748156
FER,4,0.11405991523495136
LSR,3,0.1130049437741878
LSR,4,0.1105045158097635
RNF113A,3,0.10147717201887829
ERBB2,3,0.08967255911323413
LPP,4,0.08603985875832207
ARHGDIA,4,0.08146692189813187
ALDOA,4,0.07184488500870323
EGFR,4,0.07041684101183421
BCAR3,5,0.0686166276507496
UMPS,3,0.06208760637787325
GSTP1,5,0.053883622158581446
LAMTOR1,3,0.04664202794305439
GSK3A,5,0.04472699437181582
SRSF1,3,0.04466410892053396
TLN1,3,0.03635817451736578
MAPK14,4,0.03585738597545665
PDLIM5,4,0.03494983971351514
ACP1,4,0.026031818276392116
ERBIN,3,0.023180742574508167
SRSF9,3,0.019532379410097892
SF3B4,4,0.01878339048622024
WRNIP1,3,0.016246684208827133
ROBO1,3,0.012928079878420817
GIT1,3,0.007131204087681198
PEAK1,4,0.001867064592370113
TMEM230,3,0.0005494226179862949
