Cell Line,AXL Signal,Rhodamine Signal
PAR,241089,156769
KO,470,170292
WT,330427,184671
KD,339923,154946
Y634F,213599,161466
Y643F,345385,131454
Y698F,358091,176484
Y726F,373983,176985
Y750F,427001,160016
Y821F,233273,132843
