Gene_ID,PC9_CTRL_NOTX_1,PC9_CTRL_NOTX_2,PC9_CTRL_NOTX_3,PC9_CTRL_OT_1,PC9_CTRL_OT_2,PC9_CTRL_OT_3,PC9_YAP14_NOTX_1,PC9_YAP14_NOTX_2,PC9_YAP14_NOTX_3,PC9_YAP14_OT_1,PC9_YAP14_OT_2,PC9_YAP14_OT_3,s4006_CTRL_NOTX_1,s4006_CTRL_NOTX_2,s4006_CTRL_NOTX_3,s4006_CTRL_OT_1,s4006_CTRL_OT_2,s4006_CTRL_OT_3,s4006_YAP30_NOTX_1,s4006_YAP30_NOTX_2,s4006_YAP30_NOTX_3,s4006_YAP30_OT_1,s4006_YAP30_OT_2,s4006_YAP30_OT_3
MIR6877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CXorf58,0.259883,0.0437972,0.128113,0,0,0.109448,0.135399,0.172214,0.221806,0.1243,0.0855582,0.179582,0,0.0887951,0,0.151985,0.0416748,0,0.0360509,0,0.0760201,0.0406755,0,0.12519
LINC00346,1.45517,1.1997,1.54779,2.26898,1.99006,1.80819,1.23192,1.48497,1.57326,2.61926,2.60022,3.08086,0.138919,0.135885,0.263619,0.666111,0.636412,0.529972,0.197056,0.285635,0.2576,1.12933,0.937624,1.10259
OR4D5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC613037,2.76217,2.58812,2.32074,2.76779,3.02623,2.66474,2.62119,2.61025,2.35489,2.69217,2.6734,2.65392,2.90404,2.72588,2.56159,5.11769,3.91001,3.68549,3.08152,3.16038,2.68728,5.46353,5.62205,5.92874
MIR4713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCF19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIK3C2G,0.145668,0.139223,0.209029,0.0681038,0.0343259,0.0315098,0.126709,0.205436,0.238387,0.0715832,0.0246645,0.0806301,0,0,0,0.00878085,0,0,0.0103906,0.0209225,0.0106831,0.0234493,0,0.0360456
HTRA1,6.46374,5.82897,5.39496,2.73745,3.57821,3.15751,15.4994,14.4806,14.6227,6.07332,5.86001,5.563,22.2028,22.4952,22.1291,7.66525,8.7475,9.49317,23.7848,24.0179,23.7481,8.07315,7.52281,8.03922
TMEM229B,0.224481,0.258408,0.251048,0.209741,0.398558,0.403711,0.202914,0.297706,0.306671,0.630489,0.57773,0.509048,0.031431,0,0.0309275,0.189896,0.100794,0.142533,0.049935,0.0376986,0.0263219,0.338013,0.282149,0.346365
PLCZ1,0,0.0300891,0.0292334,0.0276786,0,0,0,0.0883956,0.0252938,0,0,0,0,0.0304313,0,0,0,0,0,0,0,0,0,0
EDF1,405.833,410.396,419.625,442.581,470.629,472.912,393.144,403.194,377.183,367.081,392.208,405.604,444.927,453.869,418.065,325.707,395.108,419.377,458.678,456.927,489.373,371.739,376.151,388.224
SLC35G5,0,0,0,0,0.0533824,0,0,0.0578179,0,0,0,0.0964516,0,0,0,0,0,0,0,0,0,0,0,0
TAS2R41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TATDN1,41.6843,41.6304,40.9008,34.8205,37.6904,33.6315,35.2604,42.2958,42.8155,35.7334,34.4862,32.7307,53.2685,50.5311,55.9505,30.5717,35.8086,32.583,55.1642,54.3224,55.5569,33.3439,36.4531,37.0525
TTC12,13.5818,12.417,12.5913,12.7029,14.5999,14.7892,10.3491,10.1148,9.99348,12.2566,12.6979,13.1213,4.77818,4.16729,4.53189,5.66157,6.40868,5.65632,4.82452,4.67226,5.03823,5.41733,6.01095,6.529
MIR181C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3464,0,0,0,0,0,0,0,0
NXT2,9.83914,11.9364,12.2609,6.56475,5.98757,7.19856,12.5998,10.9985,11.7434,7.85582,6.90343,7.42616,6.40231,6.94832,6.96464,3.97228,4.24635,4.64336,8.31782,7.83869,8.04191,5.77884,6.7674,5.52823
MIR4697HG,0,0,0,0.0105879,0,0.0191056,0,0,0,0,0,0,0.761594,0.512167,0.70255,1.48584,1.23205,0.899393,0.510452,0.513823,0.508239,1.07709,1.06823,1.08187
TRHDE,0.497278,0.538029,0.448026,0.242414,0.347468,0.31896,1.03731,0.709667,0.830725,0.590001,0.395927,0.511214,1.5212,1.37695,1.29575,1.56224,1.44578,1.12112,1.93882,1.66115,1.71123,0.864745,0.890339,0.802725
PORCN,4.18071,4.37522,4.56518,8.24492,8.32305,6.96655,5.15897,6.27339,6.10626,12.2506,11.8339,11.8224,3.51691,4.29585,3.19619,5.94417,7.09024,5.73097,3.261,3.33181,3.20598,4.46398,4.45483,4.62455
AUNIP,8.95177,8.76376,9.48292,3.04389,3.26035,3.32442,6.88665,7.61242,7.38397,1.67954,1.37502,1.5815,8.46169,9.51573,7.7732,0.562573,0.749193,0.926129,8.90419,8.68844,8.98816,0.868699,0.571886,0.75303
CCDC113,2.85539,2.92706,3.12192,2.75327,3.25156,3.05219,3.0913,3.01051,3.01828,3.00742,3.34653,3.15104,0.707647,0.563145,0.719907,0.966183,0.868159,0.821902,0.533543,0.642562,0.642834,0.806147,0.793338,0.671876
SNORA11E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49024,8.23821,0,0,0,0,23.1742,0
