Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
CSR LATE UP.V1 UP,-0.5479455334225904,-1.9722613743860082,0.020833333333333332,0.00985520430596619,172,130,ALKBH7;NOC2L;ASB6;ACTL6A;SLC25A11;ARHGEF1;FAM83D;IMP4;CDK5;PSMD2;MT1F;YIPF3;DNAJB11;SLC16A3;AHSA1;PDLIM5;WSB2;TIMP3;KRT18;PREB;SRM;IGFBP3;KISS1;MT1X;KCNC4;NUDC;MT2A;CIAPIN1;MRAS;MT1G;EIF3B;DRAP1;EIF5A;RRM2;CBFB;ITGA6;PDCL3;LTBP2;TPM2;POLR3K;CDH2;DCBLD1;MET;CLSPN;SLC16A5;FARSA;UHRF1;MTHFD1;UMPS;TSPAN13;NMB;POLE3;TRNP1;HAT1;GYS1;EXOSC9;NUF2;VEGFC;DCTPP1;EEF1E1;MAZ;RPF2;PAICS;YEATS4;ZWILCH;CHEK2;HERC4;TIMP1;HIP1;PPP5C;NETO2;UTP18;TOMM34;PSMC3;DTYMK;CRISPLD2;ST3GAL4;POLD1;NUP88;MZT1;BIRC5;RAD18;NUDCD1;FANCA;CDC7;LMNB2;TUBA4A;PBK;ZWINT;FKBP1A;PA2G4;LYAR;HAUS2;MAPRE1;EZH2;PGM2;CASP2;AP1S2;FABP5;CCND3;DIAPH3;CDK1;ILF2;PRMT5;GMNN;FEN1;PRIM1;GINS3;GTF3C6;ANLN;PSMD14;FOXM1;CKAP2;HMGB1;SMS;SNRPA1;MCM3;ZNF367;UBE2C;KIF22;SHCBP1;COPS3;MYBL2;GINS2;TUBG1;FARSB;CDCA8;CDC6;TRIP13;CCDC34,ST3GAL4;POLD1;NUP88;MZT1;BIRC5;RAD18;NUDCD1;FANCA;CDC7;LMNB2;TUBA4A;PBK;ZWINT;FKBP1A;PA2G4;LYAR;HAUS2;MAPRE1;EZH2;PGM2;CASP2;AP1S2;FABP5;CCND3;DIAPH3;CDK1;ILF2;PRMT5;GMNN;FEN1;PRIM1;GINS3;GTF3C6;ANLN;PSMD14;FOXM1;CKAP2;HMGB1;SMS;SNRPA1;MCM3;ZNF367;UBE2C;KIF22;SHCBP1;COPS3;MYBL2;GINS2;TUBG1;FARSB;CDCA8;CDC6;TRIP13;CCDC34
E2F1 UP.V1 UP,-0.5142861978314688,-2.048984789984701,0.0,0.011826245167159426,189,148,VEGFA;ADCY6;MAP3K11;FRAT2;KLHL21;ARHGEF1;BOK;VPS37B;CYBA;GATA6;ARHGAP8;UPK2;USF2;ARF3;TRAF3;SIRPA;PTPRU;CDV3;ERCC2;RELL1;EIF6;ZFPM1;CDR2L;GRSF1;SLC35E1;CHEK1;PARP16;GPN2;ZSWIM7;RBM15;PIM1;INO80C;MTSS1L;MXI1;MSH3;INO80E;MCM4;CASP7;PSME3;IVNS1ABP;MRPL46;ADA;TINF2;HSPBP1;NBL1;SLC9A3R1;UBR2;NOP56;NAB1;TPM2;LARP4B;PPM1M;RDH13;PACS1;LPIN2;USP39;STIL;PITPNM1;NASP;MAP3K3;TYRO3;UBN1;MPG;TAF6;MED20;MAPK14;RBM22;CLN6;ARHGAP39;PBX3;DCTPP1;UCK2;HES1;CAD;DDB1;GUF1;CAPRIN2;DNAJC21;TPD52;ITSN1;GPR19;CRYZ;DBF4;HMGB3;TRNT1;BOLA3;TAF9;EFNB2;SLC7A1;KPNA3;TBP;KPNA1;PHF12;E2F3;THOP1;TK1;AURKB;RB1;CNOT7;TFAM;ELAVL1;DLGAP5;SRSF4;SLC20A1;SOCS2;SHBG;SMAD1;CSTF2;NOLC1;PRIM2;SMC2;EZH2;SSX2IP;PKP4;DNAJC2;NDUFAF4;GRWD1;ERMP1;DNA2;UBE2T;KIFC1;PRADC1;SLBP;E2F8;NCAPH;NUP43;PARP1;CHAF1B;FEN1;POLA2;DDX46;PLK4;MCM10;BRCA2;KIF2A;TYMS;RRP1B;FNBP1;LMNB1;WBP11;USP10;PRC1;WDHD1;ADIPOR2;PIP4K2A;TOP2A;RRM1;BUB1,KPNA3;TBP;KPNA1;PHF12;E2F3;THOP1;TK1;AURKB;RB1;CNOT7;TFAM;ELAVL1;DLGAP5;SRSF4;SLC20A1;SOCS2;SHBG;SMAD1;CSTF2;NOLC1;PRIM2;SMC2;EZH2;SSX2IP;PKP4;DNAJC2;NDUFAF4;GRWD1;ERMP1;DNA2;UBE2T;KIFC1;PRADC1;SLBP;E2F8;NCAPH;NUP43;PARP1;CHAF1B;FEN1;POLA2;DDX46;PLK4;MCM10;BRCA2;KIF2A;TYMS;RRP1B;FNBP1;LMNB1;WBP11;USP10;PRC1;WDHD1;ADIPOR2;PIP4K2A;TOP2A;RRM1;BUB1
HOXA9 DN.V1 DN,-0.48907790306667687,-1.9744741107169288,0.0,0.011826245167159428,195,135,EXOSC5;CRIP1;MEX3D;NUTF2;TEX264;H1FX;TRMT2B;ALDH1A3;ARRB1;SPRY2;RBM38;ECH1;ADM;WBP2;TMEM45A;TMCO6;GRB10;ALDH5A1;ITGB5;MACROD1;RHOBTB3;BFAR;TSC22D3;PTER;HIST1H1E;SLC25A1;PER2;MEN1;TBC1D30;ZNF395;KLHL7;SLC29A2;METTL16;MT1G;EPS8;TES;KCTD20;SNAPC3;SREBF1;PHLPP1;INTS9;GADD45GIP1;GMCL1;MPI;IGFBP2;HHEX;CBS;CD3EAP;CCNK;GINS4;GNA13;EGR1;SAR1A;KCTD15;FANCG;VEGFB;SLC38A1;ALDOC;SMAGP;BHLHE40;NME4;PSIP1;PARVB;ATF5;FADS2;SERINC5;NOTCH2;LSS;MYO1B;CDT1;CPNE3;RNASEH2A;SP1;EXOC1;DUSP7;ALOX12;SAV1;TRIB3;DCTN4;SPP1;FADS1;MVD;TOMM34;LPCAT3;ALKBH1;BCAT1;APOBEC3B;CDC45;SLC29A1;STAM;SCAMP4;TBL1XR1;HELLS;RB1;SLC1A5;DHCR7;MSMO1;PFAS;NRGN;SQLE;HIST1H3B;TIPIN;CYP51A1;FZD6;LMAN1;FANCL;HMGCS1;PRIM2;SHMT1;UBE2E3;STAG3L1;SSR3;E2F8;ARHGAP11A;EPB41L2;RFWD3;PLK4;MCM10;AIDA;GINS3;HMGCR;BRCA2;FKBP5;ELOVL6;GINS1;PDK1;FANCI;TMEM106C;NET1;ATAD2;CDC6;NCAPD2;ORC1;CEP55;NFATC3,LPCAT3;ALKBH1;BCAT1;APOBEC3B;CDC45;SLC29A1;STAM;SCAMP4;TBL1XR1;HELLS;RB1;SLC1A5;DHCR7;MSMO1;PFAS;NRGN;SQLE;HIST1H3B;TIPIN;CYP51A1;FZD6;LMAN1;FANCL;HMGCS1;PRIM2;SHMT1;UBE2E3;STAG3L1;SSR3;E2F8;ARHGAP11A;EPB41L2;RFWD3;PLK4;MCM10;AIDA;GINS3;HMGCR;BRCA2;FKBP5;ELOVL6;GINS1;PDK1;FANCI;TMEM106C;NET1;ATAD2;CDC6;NCAPD2;ORC1;CEP55;NFATC3
GCNP SHH UP LATE.V1 UP,-0.5270706847451166,-1.9861558747978663,0.0,0.014782806458949284,183,135,ARIH1;NAA30;P2RY2;PLEKHA7;LRRC23;ZNF638;TOP2B;GBP2;BOK;ZKSCAN1;DIDO1;ZFX;EIF3A;TEAD3;FRMD6;POLRMT;CFDP1;SARDH;ENST00000383207.6;CHEK1;SMC4;MAGOH;MCM4;ARL5A;NXF1;PAN2;IVNS1ABP;CASP4;COIL;HNRNPA3;NOP56;MATR3;PLK2;RRM2;MRPL18;ZNF281;PSMC3IP;CKS2;TM9SF3;CASD1;SRSF10;IDH2;CLIP4;DDX3X;USP39;FTSJ3;GFM2;LUC7L3;CUL4A;HIGD1A;AURKA;LARP7;PTCD3;DDX39A;TNFSF10;MPHOSPH10;MIOS;EIF2A;ZNF644;YTHDF3;NPTX1;GNL3;MDN1;SIX4;COPB1;TARDBP;PIK3CA;LOXL2;CLIC4;TIMM8A;SLC23A2;LLGL2;STRN3;COX7B;RLIM;METAP1;SFRP1;SLC29A1;MUC1;LIG1;THOP1;TK1;PHTF2;AURKB;FBXO11;CREM;SLC7A6;MBD2;FANCC;DLGAP5;MAP3K7;SPOP;MOB1A;TMOD3;SOCS2;GALNT3;UNG;CDC25C;MRTO4;VPS4B;SLTM;PCNT;PSME4;SMC2;SRSF1;FOXA1;ASB3;SSX2IP;LBR;SACM1L;DNM1L;NPM1;CDCA7;KIFC1;CDK1;E2F8;INCENP;POLA2;MCM10;RYK;GART;ABCE1;XPO1;MCM5;NUSAP1;PRC1;YWHAE;MIS18BP1;CDC25A;TOP2A;MCM6;NAA15;TRIP13;RRM1;KIF2C,RLIM;METAP1;SFRP1;SLC29A1;MUC1;LIG1;THOP1;TK1;PHTF2;AURKB;FBXO11;CREM;SLC7A6;MBD2;FANCC;DLGAP5;MAP3K7;SPOP;MOB1A;TMOD3;SOCS2;GALNT3;UNG;CDC25C;MRTO4;VPS4B;SLTM;PCNT;PSME4;SMC2;SRSF1;FOXA1;ASB3;SSX2IP;LBR;SACM1L;DNM1L;NPM1;CDCA7;KIFC1;CDK1;E2F8;INCENP;POLA2;MCM10;RYK;GART;ABCE1;XPO1;MCM5;NUSAP1;PRC1;YWHAE;MIS18BP1;CDC25A;TOP2A;MCM6;NAA15;TRIP13;RRM1;KIF2C
PRC2 EZH2 UP.V1 UP,-0.5533142692229921,-2.076969261108553,0.0,0.01773936775073914,195,101,MED18;HCFC1R1;MXD3;ZNF219;VPS37B;TBC1D2;LRRC20;FOSL2;OXNAD1;TRPM4;DDHD2;LRP12;GNB1L;PILRB;DPY19L4;DNMT3L;OXTR;GNA15;CASC3;CORO1A;MST1R;LRRC61;ENST00000625501.3;PAN2;ZNF446;METTL16;TPD52L1;INHBB;PCK2;CUL9;RAD54L;OCEL1;EPHX2;NGF;HOXA10;DEF6;CD320;PITX1;SKP2;TACC3;XRCC3;ZNF574;PSPH;CYB5B;CDT1;HMMR;CHM;GTPBP4;PLCD1;POLR3G;PEAK1;HP1BP3;MRPS18B;HMOX1;PTGDS;ECT2;LEMD3;CDC45;THOP1;BCCIP;HAUS5;AURKB;HELLS;KCTD2;RFC4;TFAM;DLGAP5;PUS7;NUP37;KLHL11;HJURP;DDB2;LPGAT1;EZH2;PSRC1;WDR76;LBR;DNA2;OIP5;ELL2;NCAPH;NUP43;PRIM1;MCM10;FKBP5;KIF15;MCM2;LMNB1;MYBL2;EXOSC8;ETS1;MIS18BP1;CDC25A;KNTC1;TTK;DEPDC1;CENPF;RNF19A;BUB1;DSCC1;KIF4A,THOP1;BCCIP;HAUS5;AURKB;HELLS;KCTD2;RFC4;TFAM;DLGAP5;PUS7;NUP37;KLHL11;HJURP;DDB2;LPGAT1;EZH2;PSRC1;WDR76;LBR;DNA2;OIP5;ELL2;NCAPH;NUP43;PRIM1;MCM10;FKBP5;KIF15;MCM2;LMNB1;MYBL2;EXOSC8;ETS1;MIS18BP1;CDC25A;KNTC1;TTK;DEPDC1;CENPF;RNF19A;BUB1;DSCC1;KIF4A
PIGF UP.V1 UP,-0.4975055801459633,-1.8690082344003656,0.02,0.01839638137113689,191,136,MAFK;UFL1;SREK1;DNASE2;HSD17B4;PTGS2;RNF13;ADAM9;ARL4A;ANAPC13;ZNF451;BPGM;OPA1;AGA;ZNF354A;SLC4A7;TSPAN8;REV3L;SP3;PEX1;BACH1;MKLN1;LTBP1;SMC4;MAGOH;HS2ST1;CREB1;NAT1;BAZ2B;ZNF268;SYNE2;HNRNPA3;ZNF117;PDCD10;SAT1;ATP13A3;ARMC6;SLC38A6;RFK;PPID;SOCS5;CCPG1;TDRD3;PISD;STAU2;IL1RL1;TDG;THOC2;TOPORS;ITGA2;LARP4;CPD;TFPI2;SUCLA2;STXBP3;IL6ST;GGCX;UGP2;AKAP9;COL8A1;NUCB2;PHF3;TNFSF10;PSPH;DCP2;ITSN2;RIF1;DNAJB9;SGMS1;STK38L;ACADM;SPRYD7;IREB2;CRYZ;MAPK6;PPIG;RAP1A;MBTPS2;MTM1;TAF9;ATR;OSBPL8;AHCYL2;RRS1;NUP155;EIF2S3;TDP2;RIPK2;SLC33A1;HIF1A;MARK2;ZC3H14;PRKACB;CD2AP;CRYBG3;DMTF1;AGL;ENST00000635371.2;MAST2;LGALS8;NECAP1;RNF6;CEP350;TTC37;NEK7;MTF2;CEBPZ;PPAT;SMC3;RDH11;NRCAM;DNAJC3;BCAS2;CDC27;HSPA13;LPCAT4;TWISTNB;MIPEP;SCAF11;TRMU;STAM2;KIF5B;BCLAF1;GMFB;ASCC3;PAPOLA;UPF2;N4BP2L2;ABCE1;ROR1;DHX29;AIMP1;RECQL;TMED5;TWF1;MAP2K4,MAPK6;PPIG;RAP1A;MBTPS2;MTM1;TAF9;ATR;OSBPL8;AHCYL2;RRS1;NUP155;EIF2S3;TDP2;RIPK2;SLC33A1;HIF1A;MARK2;ZC3H14;PRKACB;CD2AP;CRYBG3;DMTF1;AGL;ENST00000635371.2;MAST2;LGALS8;NECAP1;RNF6;CEP350;TTC37;NEK7;MTF2;CEBPZ;PPAT;SMC3;RDH11;NRCAM;DNAJC3;BCAS2;CDC27;HSPA13;LPCAT4;TWISTNB;MIPEP;SCAF11;TRMU;STAM2;KIF5B;BCLAF1;GMFB;ASCC3;PAPOLA;UPF2;N4BP2L2;ABCE1;ROR1;DHX29;AIMP1;RECQL;TMED5;TWF1;MAP2K4
RPS14 DN.V1 DN,-0.5390022124298075,-1.871108710585293,0.046511627906976744,0.020695929042528996,187,135,ZNHIT2;ELMO3;REPS2;USP5;PES1;MYH10;SRR;STEAP3;LRRC20;TPRA1;SH3TC2;PSAT1;TLN2;SSSCA1;RPUSD2;ERCC2;RAP1GAP;MRPL12;NMU;ZNF74;GCDH;MACROD1;BYSL;ALAD;RPS28;SRM;VARS;GTF2H4;KLHL7;SLC29A2;KCTD20;IL15RA;MDM4;TRIM29;SLC6A8;KRT13;B3GALNT1;PCSK7;MRPS2;MYLIP;CBS;AGFG2;KIF23;PCOLCE;GPATCH4;MAMLD1;BAG3;EIF2B3;CD320;KANK2;LLPH;NLE1;RGS5;TGM2;TUBGCP4;LGR4;ASNS;PRMT3;SPHK1;AGAP1;EPCAM;APOOL;CAD;PYCR1;GUF1;ZWILCH;S100A3;LARS2;TBRG4;IPO4;MTPAP;EMP2;RRS1;NUP155;EYA3;EPB41;ECT2;GAL;BCAT1;DOCK9;TUBB2A;CDC20;FOXRED2;SLC29A1;GEMIN4;TK1;POLD1;ENG;DLGAP5;CNN3;PBK;MRTO4;NEFH;SHMT1;TWISTNB;MIPEP;ESPL1;ID1;CYBRD1;CCNB2;MYO19;GATC;CDCA3;SLC31A1;E2F8;NCAPH;PC;ARHGAP11A;NOC3L;INCENP;MSH2;MANEA;MCM10;FBXO5;MCM5;EXO1;SUV39H2;ISOC2;KIF15;BAG2;MYBL2;PRC1;GINS2;CENPE;TUBG1;ATAD2;CDC6;MKI67;PLK1;DEPDC1;ORC1;TRIP13;KIF20A;KIF2C;ERCC6L,RRS1;NUP155;EYA3;EPB41;ECT2;GAL;BCAT1;DOCK9;TUBB2A;CDC20;FOXRED2;SLC29A1;GEMIN4;TK1;POLD1;ENG;DLGAP5;CNN3;PBK;MRTO4;NEFH;SHMT1;TWISTNB;MIPEP;ESPL1;ID1;CYBRD1;CCNB2;MYO19;GATC;CDCA3;SLC31A1;E2F8;NCAPH;PC;ARHGAP11A;NOC3L;INCENP;MSH2;MANEA;MCM10;FBXO5;MCM5;EXO1;SUV39H2;ISOC2;KIF15;BAG2;MYBL2;PRC1;GINS2;CENPE;TUBG1;ATAD2;CDC6;MKI67;PLK1;DEPDC1;ORC1;TRIP13;KIF20A;KIF2C;ERCC6L
RB P107 DN.V1 UP,-0.6374717529722965,-2.1658406452548387,0.02127659574468085,0.023652490334318852,140,103,ETHE1;PML;TSSC4;DUSP1;H1FX;LGALS3BP;SPIRE2;COL6A1;DYNLT1;SNCG;CDC25B;CDKN1C;MFGE8;TAGLN;SRPX2;S100A4;LCK;COL5A1;COL16A1;SIVA1;CD81;COL6A2;FSTL1;NAA40;RFC2;RRM2;ABAT;EDN2;CDH2;CA2;LOXL1;DCLRE1A;PCOLCE;GINS4;STMN1;SERPINF1;VEGFB;PTMA;H2AFV;PAQR4;TCFL5;COL1A1;FKBP10;SAMD10;WDR90;HMGN2;NXT1;RBPMS2;GSTM2;RPA1;CCNE1;CDC45;LIG1;POLD1;HAUS8;PRDX4;MCM7;LYPD1;FANCA;RPL39L;BLVRB;NSMCE2;FANCL;PRIM2;ORC6;CENPK;RPA2;DNA2;CCNE2;RPA3;SLBP;MAD2L1;E2F8;NCAPH;INCENP;GMNN;CCNF;CHAF1B;FEN1;ASF1B;PRIM1;GTSE1;RFC5;POLE2;RFC3;MCM5;DNAJC9;UBR7;MCM2;POLE;IPO9;PRC1;WDHD1;E2F1;DHFR;PCNA;CENPH;MCM6;TUBG1;NCAPD2;CDK2;RRM1;KIF4A,PRDX4;MCM7;LYPD1;FANCA;RPL39L;BLVRB;NSMCE2;FANCL;PRIM2;ORC6;CENPK;RPA2;DNA2;CCNE2;RPA3;SLBP;MAD2L1;E2F8;NCAPH;INCENP;GMNN;CCNF;CHAF1B;FEN1;ASF1B;PRIM1;GTSE1;RFC5;POLE2;RFC3;MCM5;DNAJC9;UBR7;MCM2;POLE;IPO9;PRC1;WDHD1;E2F1;DHFR;PCNA;CENPH;MCM6;TUBG1;NCAPD2;CDK2;RRM1;KIF4A
VEGF A UP.V1 DN,-0.5441965540285926,-1.895365910889916,0.0,0.023652490334318856,193,150,MAFK;MMP14;DKK1;NOC2L;YES1;UFL1;CDC42EP2;GATA6;BAK1;CEP170;ADAM9;CYB561D2;RRP12;PCDH7;SLC4A7;TSPAN8;NRP1;HIRA;MKLN1;MAP1B;OSTF1;SMC4;MT1X;IL6;MCM4;TRIM25;NCOA3;SERPINB2;PNN;RRM2;INHBB;ZNF117;SAT1;ATP13A3;ARMC6;POP1;CKS2;IL1RL1;KIF23;THOC2;PNO1;PRPF40A;ST13;EPM2AIP1;ITGA2;MFAP3;IPO5;B4GALT5;PSD3;RP2;CCNH;UGP2;RGS5;BAZ1A;CBL;PRMT3;MRPL19;HMMR;CHM;USP13;VEGFC;NBN;RIF1;TLE3;AASS;CCDC86;MDN1;ACADM;SPAG5;RASA2;STEAP1;CRYZ;SPTLC2;DBF4;TGFBI;CCNE1;SEL1L;MAPK6;PPIG;RAP1A;CTNNAL1;POP5;UAP1;RRS1;UCHL3;NUP155;EIF2S3;MEST;CDC45;PHKA1;ORC2;PRKACB;ASPH;ROM1;MPHOSPH6;BIRC5;CCNB1;RFC4;TFAM;SLC30A9;RNF6;DLGAP5;MAP3K7;DNAJC13;TTC37;NEK7;TRAPPC8;MBD4;CEBPZ;NUDT21;RND3;LRRFIP1;RDH11;CENPA;DDX21;XRCC4;BCL10;CDC27;SCAF11;TRMU;CCNB2;BCLAF1;ARHGAP29;LRP8;MAD2L1;PAPOLA;PLK4;VRK1;DHX29;AIMP1;RECQL;ZC3H15;FKBP5;EXO1;TWF1;ATIC;KIF22;LMNB1;AMD1;DHFR;CDKN3;CENPE;TTK;TMPO;NUP50;KIF11;CSE1L;NDC80;BUB1B;BUB1,STEAP1;CRYZ;SPTLC2;DBF4;TGFBI;CCNE1;SEL1L;MAPK6;PPIG;RAP1A;CTNNAL1;POP5;UAP1;RRS1;UCHL3;NUP155;EIF2S3;MEST;CDC45;PHKA1;ORC2;PRKACB;ASPH;ROM1;MPHOSPH6;BIRC5;CCNB1;RFC4;TFAM;SLC30A9;RNF6;DLGAP5;MAP3K7;DNAJC13;TTC37;NEK7;TRAPPC8;MBD4;CEBPZ;NUDT21;RND3;LRRFIP1;RDH11;CENPA;DDX21;XRCC4;BCL10;CDC27;SCAF11;TRMU;CCNB2;BCLAF1;ARHGAP29;LRP8;MAD2L1;PAPOLA;PLK4;VRK1;DHX29;AIMP1;RECQL;ZC3H15;FKBP5;EXO1;TWF1;ATIC;KIF22;LMNB1;AMD1;DHFR;CDKN3;CENPE;TTK;TMPO;NUP50;KIF11;CSE1L;NDC80;BUB1B;BUB1
SIRNA EIF4GI DN,-0.501190421276994,-1.7875312261390977,0.0,0.028382988401182623,99,71,ACYP1;RAB1A;MBD5;COPS7A;C2CD2;SRSF8;ITGAE;C1QTNF1;PAPSS2;HSD17B12;MRPL9;TANK;SLC43A3;MYD88;MAPKAPK5;FSTL1;PSME3;DUSP4;TMEM156;PDE6D;TMEM39A;PDCD10;MAP4K3;IMPA1;BET1;MFAP5;PSMC3IP;ATP2B4;PDHX;MAN2A2;ANKRD49;SPTSSA;IGF2BP2;PBX3;FAM111A;NEDD4;SMURF2;ATMIN;LOXL2;UAP1;TAF11;FAM206A;RAB7A;DCTN6;ATP6V0E1;RIPK2;SRPK1;CFTR;FCHSD2;AKAP10;EIF5A2;SP140L;CDKN2C;NEK7;TXNDC9;STAMBP;SNX10;RNF34;MYO19;SLC31A1;SSR3;ENOX2;STAG1;VPS54;WDYHV1;PPME1;HIST1H3A;SHCBP1;ADIPOR2;CDC6;TRIP13,UAP1;TAF11;FAM206A;RAB7A;DCTN6;ATP6V0E1;RIPK2;SRPK1;CFTR;FCHSD2;AKAP10;EIF5A2;SP140L;CDKN2C;NEK7;TXNDC9;STAMBP;SNX10;RNF34;MYO19;SLC31A1;SSR3;ENOX2;STAG1;VPS54;WDYHV1;PPME1;HIST1H3A;SHCBP1;ADIPOR2;CDC6;TRIP13
