Cell Line,Treatment,ImageNumber,ObjectNumber,Math_logNucbyCyto,
WT,UT,1,1,0.160118322,
WT,UT,1,2,0.208972058,
WT,UT,1,3,0.239081775,
WT,UT,1,4,0.238085446,
WT,UT,1,5,0.05343801,
WT,UT,1,6,0.239940803,
WT,UT,1,7,0.116161032,
WT,UT,1,8,0.258235446,
WT,UT,1,9,0.148112571,
WT,UT,1,10,0.155740175,
WT,UT,1,11,0.057615219,
WT,UT,1,12,0.302356807,
WT,UT,1,13,0.050806471,
WT,UT,1,14,0.043059918,
WT,UT,1,15,0.183085158,
WT,UT,1,16,0.061946257,
WT,UT,1,17,0.247207401,
WT,UT,1,18,0.243296529,
WT,UT,1,19,0.054819488,
WT,UT,1,20,0.299875478,
WT,UT,1,21,0.032195647,
WT,UT,1,22,0.303314058,
WT,UT,1,23,0.010577384,
WT,UT,1,24,0.247838479,
WT,UT,1,25,0.025872821,
WT,UT,1,26,0.227770857,
WT,UT,1,27,0.23829454,
WT,UT,1,28,0.008222989,
WT,UT,1,29,-0.090972253,
WT,UT,1,30,0.192315254,
WT,UT,1,31,0.177811224,
WT,UT,1,32,0.031639484,
WT,UT,1,33,0.178308297,
WT,UT,1,34,0.004792584,
WT,UT,1,35,0.12760386,
WT,UT,1,36,0.15594456,
WT,UT,1,37,0.199592708,
WT,UT,1,38,0.063109194,
WT,UT,1,39,0.229968511,
WT,UT,1,40,0.190302241,
WT,UT,1,41,0.205029954,
WT,UT,1,42,0.205966381,
WT,UT,1,43,0.063884712,
WT,UT,1,44,0.304575826,
WT,UT,1,45,0.159943658,
WT,UT,1,46,0.155769307,
WT,UT,1,47,0.15188114,
WT,UT,1,48,0.172672515,
WT,UT,1,49,0.202368773,
WT,UT,1,50,0.189086152,
WT,UT,1,51,0.079434562,
WT,UT,1,52,0.024246971,
WT,UT,1,53,0.194116589,
WT,UT,1,54,0.241261178,
WT,UT,1,55,0.202570391,
WT,UT,1,56,0.275687688,
WT,UT,1,57,0.163871471,
WT,UT,1,58,-0.008513626,
WT,UT,1,59,0.228370596,
WT,UT,1,60,0.212150397,
WT,UT,1,61,0.163720119,
WT,UT,1,62,0.24156972,
WT,UT,1,63,0.110945258,
WT,UT,1,64,0.226196719,
WT,UT,1,65,0.317067431,
WT,UT,1,66,0.173476946,
WT,UT,1,67,0.26419454,
WT,UT,1,68,0.007688846,
WT,UT,1,69,0.242774936,
WT,UT,1,70,0.293025575,
WT,UT,1,71,0.275649869,
WT,UT,1,72,0.166588816,
WT,UT,1,73,0.041445196,
WT,UT,1,74,0.297138039,
WT,UT,1,75,0.269400325,
WT,UT,1,76,0.048705448,
WT,UT,1,77,0.156282145,
WT,UT,1,78,0.297720685,
WT,UT,1,79,0.268411167,
WT,UT,1,80,0.319091655,
WT,UT,1,81,-0.004753585,
WT,UT,1,82,0.220546728,
WT,UT,1,83,0.170800447,
WT,UT,1,84,0.308514651,
WT,UT,1,85,0.199457169,
WT,UT,1,86,0.113491526,
WT,UT,1,87,-0.035555011,
WT,UT,1,88,0.137992457,
WT,UT,1,89,0.171771969,
WT,UT,1,90,0.137631685,
WT,UT,1,91,0.191905079,
WT,UT,1,92,0.285273946,
WT,UT,1,93,0.26785717,
WT,UT,1,94,0.141203434,
WT,UT,1,95,0.264105257,
WT,UT,1,96,0.174328577,
WT,UT,1,97,0.249539484,
WT,UT,1,98,0.286402759,
WT,UT,1,99,0.184419679,
WT,UT,1,100,0.15035422,
WT,UT,1,101,0.28967415,
WT,UT,1,102,0.084089382,
WT,UT,2,1,0.087274553,
WT,UT,2,2,0.148651391,
WT,UT,2,3,0.065807833,
WT,UT,2,4,0.094028646,
WT,UT,2,5,0.144270241,
WT,UT,2,6,0.20351012,
WT,UT,2,7,0.116284994,
WT,UT,2,8,0.160215032,
WT,UT,2,9,0.203083691,
WT,UT,2,10,0.192496036,
WT,UT,2,11,0.212494918,
WT,UT,2,12,0.057881376,
WT,UT,2,13,0.238693226,
WT,UT,2,14,0.171361853,
WT,UT,2,15,0.183382537,
WT,UT,2,16,0.094449423,
WT,UT,2,17,0.245325746,
WT,UT,2,18,0.183947965,
WT,UT,2,19,0.129426427,
WT,UT,2,20,0.125711292,
WT,UT,2,21,0.202584951,
WT,UT,2,22,0.10375832,
WT,UT,2,23,0.260114197,
WT,UT,2,24,0.035042478,
