Cell Line,Treatment,ImageNumber,ObjectNumber,Math_logNucbyCyto,
WT,UT,2,25,0.212092879,
WT,UT,2,26,0.153028192,
WT,UT,2,27,0.062796935,
WT,UT,2,28,0.123575302,
WT,UT,2,29,0.230940439,
WT,UT,2,30,0.243599046,
WT,UT,2,31,0.220558672,
WT,UT,2,32,0.200621946,
WT,UT,2,33,0.116250397,
WT,UT,2,34,0.366428802,
WT,UT,2,35,0.138573581,
WT,UT,2,36,0.147597253,
WT,UT,2,37,0.050753509,
WT,UT,2,38,0.22586111,
WT,UT,2,39,0.160178778,
WT,UT,2,40,0.143006087,
WT,UT,2,41,0.229274751,
WT,UT,2,42,0.166524021,
WT,UT,2,43,0.0848879,
WT,UT,2,44,-0.026311857,
WT,UT,2,45,0.095759135,
WT,UT,2,46,0.290344343,
WT,UT,2,47,0.140637591,
WT,UT,2,48,0.231816162,
WT,UT,2,49,0.29720586,
WT,UT,2,50,0.201960698,
WT,UT,2,51,0.40231354,
WT,UT,2,52,0.137949826,
WT,UT,2,53,0.146255079,
WT,UT,2,54,0.200765026,
WT,UT,2,55,0.403355715,
WT,UT,2,56,0.185563282,
WT,UT,2,57,0.178690707,
WT,UT,2,58,0.199197402,
WT,UT,2,59,0.162704812,
WT,UT,2,60,0.185600821,
WT,UT,2,61,0.179397995,
WT,UT,2,62,0.184522741,
WT,UT,2,63,0.163384948,
WT,UT,2,64,0.162767172,
WT,UT,2,65,0.24887893,
WT,UT,2,66,0.046382332,
WT,UT,2,67,0.161874232,
WT,UT,2,68,0.222448084,
WT,UT,2,69,0.243178723,
WT,UT,2,70,0.165141267,
WT,UT,2,71,0.191721259,
WT,UT,2,72,0.174129928,
WT,UT,2,73,0.140091241,
WT,UT,2,74,0.228154672,
WT,UT,2,75,0.283288455,
WT,UT,2,76,0.176864471,
WT,UT,2,77,0.177198014,
WT,UT,2,78,0.189731504,
WT,UT,2,79,0.259055516,
WT,UT,2,80,0.17555759,
WT,UT,2,81,0.373387095,
WT,UT,2,82,0.227385713,
WT,UT,2,83,0.262358834,
WT,UT,2,84,0.434499932,
WT,UT,2,85,0.241683667,
WT,UT,2,86,0.39931988,
WT,UT,2,87,0.132861328,
WT,UT,2,88,0.416662894,
WT,UT,2,89,0.199803054,
WT,UT,2,90,0.212234911,
WT,UT,2,91,0.236721184,
WT,UT,2,92,0.365726107,
WT,UT,2,93,0.252864559,
WT,UT,2,94,0.326816444,
WT,UT,2,95,0.200186922,
WT,UT,2,96,0.205672153,
WT,UT,2,97,0.1814879,
WT,UT,2,98,0.232066957,
WT,UT,2,99,0.306669346,
WT,UT,2,100,0.23410997,
WT,UT,2,101,0.363288181,
WT,UT,2,102,0.261362474,
WT,UT,2,103,0.182385587,
WT,UT,2,104,0.237958904,
WT,UT,2,105,0.271822617,
WT,UT,2,106,0.283635307,
WT,UT,2,107,0.002264085,
WT,UT,2,108,0.210632331,
WT,UT,2,109,0.176416034,
WT,UT,2,110,0.316911818,
WT,UT,2,111,0.244297213,
WT,UT,2,112,0.223321934,
WT,UT,2,113,0.29401066,
WT,UT,2,114,0.348986609,
WT,UT,2,115,0.25559173,
WT,UT,2,116,0.314531148,
WT,UT,2,117,0.329289272,
WT,UT,2,118,0.219712592,
WT,UT,2,119,0.195838531,
WT,UT,2,120,0.256100745,
WT,UT,2,121,0.218962636,
WT,UT,2,122,0.259357865,
WT,UT,2,123,0.23301335,
WT,UT,2,124,0.150006171,
WT,UT,2,125,0.12853346,
WT,UT,2,126,0.181877177,
WT,UT,2,127,0.293807308,
WT,UT,2,128,0.204248699,
WT,UT,2,129,0.206176469,
WT,UT,2,130,0.185170672,
WT,UT,2,131,0.301439133,
WT,UT,2,132,0.216040423,
WT,UT,2,133,0.289643616,
WT,UT,2,134,0.39797342,
WT,UT,2,135,0.37899893,
WT,UT,2,136,0.298737939,
WT,UT,2,137,0.28000763,
WT,UT,2,138,0.237348989,
WT,UT,2,139,0.152153057,
WT,UT,2,140,0.323939105,
WT,UT,2,141,0.318637664,
WT,UT,2,142,0.203885234,
WT,UT,2,143,0.201121882,
WT,UT,2,144,0.327837056,
WT,UT,2,145,0.258372697,
WT,UT,3,1,0.174817363,
WT,UT,3,2,0.203546729,
WT,UT,3,3,0.201626365,
WT,UT,3,4,0.323045634,
WT,UT,3,5,0.356066831,
WT,UT,3,6,0.314708417,
WT,UT,3,7,0.231873649,
WT,UT,3,8,0.024550932,
WT,UT,3,9,0.147950122,
WT,UT,3,10,0.113822414,
WT,UT,3,11,0.152325957,
WT,UT,3,12,0.303167592,
WT,UT,3,13,0.041089845,
WT,UT,3,14,0.374792588,
WT,UT,3,15,0.165469032,
WT,UT,3,16,0.119627106,
WT,UT,3,17,0.157053884,
WT,UT,3,18,0.317769234,
WT,UT,3,19,0.118563933,
WT,UT,3,20,0.257494938,
WT,UT,3,21,0.146073467,
WT,UT,3,22,0.280877609,
WT,UT,3,23,0.28243086,
WT,UT,3,24,0.281294216,
WT,UT,3,25,0.145578836,
WT,UT,3,26,0.075076047,
WT,UT,3,27,0.354283623,
WT,UT,3,28,0.296387539,
WT,UT,3,29,0.252777357,
WT,UT,3,30,0.24756145,
WT,UT,3,31,0.246418802,
WT,UT,3,32,0.200776713,
WT,UT,3,33,0.327238525,
WT,UT,3,34,0.229453641,
WT,UT,3,35,0.216522144,
WT,UT,3,36,0.176740289,
WT,UT,3,37,0.204250102,
WT,UT,3,38,0.220084562,
WT,UT,3,39,0.214056247,
WT,UT,3,40,0.086609982,
WT,UT,3,41,0.380353755,
WT,UT,3,42,0.054160072,
WT,UT,3,43,0.131501279,
WT,UT,3,44,0.44377957,
WT,UT,3,45,0.118359259,
WT,UT,3,46,0.307577581,
WT,UT,3,47,0.22937767,
WT,UT,3,48,0.166525832,
WT,UT,3,49,0.338481499,
WT,UT,3,50,0.140375721,
WT,UT,3,51,0.255756471,
WT,UT,3,52,0.101238743,
WT,UT,3,53,0.409337524,
WT,UT,3,54,0.291510923,
WT,UT,3,55,0.201605269,
WT,UT,3,56,0.23527612,
WT,UT,3,57,0.290450625,
WT,UT,3,58,0.248301902,
WT,UT,3,59,0.326220623,
WT,UT,3,60,0.42970335,
WT,UT,3,61,0.284965136,
WT,UT,3,62,0.284031703,
WT,UT,3,63,0.331510541,
WT,UT,3,64,0.443176084,
WT,UT,3,65,0.148370275,
WT,UT,3,66,0.142981691,
WT,UT,3,67,0.244549188,
WT,UT,3,68,0.219415819,
WT,UT,3,69,0.174551582,
WT,UT,3,70,0.344021129,
WT,UT,3,71,0.273625078,
WT,UT,3,72,0.221588814,
WT,UT,3,73,0.277995613,
WT,UT,3,74,0.249944305,
WT,UT,3,75,0.281653441,
WT,UT,3,76,0.196200302,
WT,UT,3,77,0.310764093,
WT,UT,3,78,0.17900238,
WT,UT,3,79,0.620916235,
WT,UT,3,80,0.275476928,
WT,UT,3,81,0.372501251,
WT,UT,3,82,0.14331008,
WT,UT,3,83,0.236976168,
WT,UT,3,84,0.313340371,
WT,UT,3,85,0.415065311,
WT,UT,3,86,0.414463568,
WT,UT,3,87,0.228957575,
WT,UT,3,88,0.387046519,
WT,UT,3,89,0.254464282,
WT,UT,3,90,0.237972239,
WT,UT,3,91,0.272186296,
WT,UT,3,92,0.347325087,
WT,UT,3,93,0.165447317,
WT,UT,3,94,0.125241428,
WT,UT,3,95,0.190919614,
WT,UT,3,96,0.263367639,
WT,UT,3,97,0.160725929,
WT,UT,3,98,0.264963843,
WT,UT,3,99,0.184724806,
WT,UT,3,100,0.308639089,
WT,UT,3,101,0.205267438,
WT,UT,3,102,0.308796804,
WT,UT,3,103,0.256345687,
WT,UT,3,104,0.183181667,
WT,UT,3,105,0.212923167,
WT,UT,3,106,0.154692596,
WT,UT,3,107,0.200991646,
WT,UT,3,108,0.265988748,
WT,UT,3,109,0.12097071,
WT,UT,3,110,0.150604682,
WT,UT,3,111,0.168418507,
WT,UT,3,112,0.217202409,
WT,UT,3,113,0.212369413,
WT,UT,3,114,0.336148872,
WT,UT,3,115,0.194768715,
WT,UT,3,116,0.147466388,
WT,UT,3,117,0.13243543,
WT,UT,3,118,0.213148826,
WT,UT,3,119,0.262034773,
WT,UT,3,120,0.052771481,
WT,UT,3,121,0.479428749,
WT,UT,3,122,0.222961371,
WT,UT,3,123,0.118472027,
WT,UT,3,124,0.222918265,
WT,UT,3,125,0.256835701,
WT,UT,3,126,0.489037583,
WT,UT,3,127,0.171116911,
WT,UT,3,128,0.202244812,
WT,UT,3,129,0.184499346,
WT,UT,3,130,0.228997481,
WT,UT,3,131,0.291029894,
WT,UT,3,132,0.236660987,
WT,UT,3,133,0.286391395,
WT,UT,3,134,0.252180411,
WT,UT,3,135,0.229023941,
WT,UT,3,136,0.14825122,
WT,UT,3,137,0.182138384,
WT,UT,3,138,0.29822377,
WT,UT,3,139,0.192374857,
WT,UT,3,140,0.21809031,
WT,UT,3,141,0.263315342,
WT,UT,3,142,0.231067301,
WT,UT,3,143,0.143374754,
WT,UT,3,144,0.243553107,
WT,UT,3,145,0.359866194,
WT,UT,3,146,0.076090709,
WT,UT,3,147,0.405336191,
WT,UT,3,148,0.154850454,
WT,UT,3,149,0.145329777,
WT,UT,3,150,0.270047486,
WT,UT,3,151,0.29554812,
WT,UT,3,152,0.183653601,
WT,UT,3,153,0.304741027,
WT,UT,3,154,0.376357099,
WT,UT,3,155,0.138803252,
WT,UT,3,156,0.202212712,
WT,UT,3,157,0.518343401,
WT,UT,3,158,0.279752838,
WT,UT,3,159,0.208316157,
WT,UT,3,160,0.198708192,
WT,UT,3,161,0.25507268,
WT,UT,3,162,0.240697379,
WT,UT,3,163,0.146978952,
WT,UT,3,164,0.219250526,
WT,UT,3,165,0.184561254,
WT,UT,3,166,0.215215913,
WT,UT,3,167,0.222169506,
WT,UT,3,168,0.321094536,
WT,UT,3,169,0.198880623,
WT,UT,3,170,0.088164782,
WT,UT,3,171,0.183508097,
WT,UT,3,172,0.250923082,
WT,UT,3,173,0.24769493,
WT,UT,3,174,0.126124638,
WT,UT,3,175,0.269621532,
WT,UT,3,176,0.244493506,
WT,UT,3,177,0.443068099,
WT,UT,3,178,0.476954858,
WT,UT,3,179,0.199339249,
WT,UT,3,180,0.346390616,
WT,UT,3,181,0.227938204,
WT,UT,3,182,0.085647269,
WT,UT,4,1,0.139254694,
WT,UT,4,2,0.156841093,
WT,UT,4,3,0.179629406,
WT,UT,4,4,0.266387239,
WT,UT,4,5,0.074055885,
WT,UT,4,6,0.277373138,
WT,UT,4,7,0.03055513,
WT,UT,4,8,0.085228549,
WT,UT,4,9,0.3260815,
WT,UT,4,10,0.046598777,
WT,UT,4,11,0.15918798,
WT,UT,4,12,0.186424597,
WT,UT,4,13,0.193984563,
WT,UT,4,14,0.231588065,
WT,UT,4,15,0.122534102,
WT,UT,4,16,0.239007906,
WT,UT,4,17,0.168911589,
WT,UT,4,18,0.192044991,
WT,UT,4,19,0.162101009,
WT,UT,4,20,0.104149303,
WT,UT,4,21,0.232144759,
WT,UT,4,22,0.263496751,
WT,UT,4,23,0.271898368,
WT,UT,4,24,0.088998736,
WT,UT,4,25,0.17494533,
WT,UT,4,26,0.207847168,
WT,UT,4,27,0.209395709,
WT,UT,4,28,0.136020472,
WT,UT,4,29,0.198491389,
WT,UT,4,30,0.146135752,
WT,UT,4,31,0.230969099,
WT,UT,4,32,0.282629779,
WT,UT,4,33,0.136674736,
WT,UT,4,34,0.357885889,
WT,UT,4,35,0.12978551,
WT,UT,4,36,0.089917036,
WT,UT,4,37,0.171727425,
WT,UT,4,38,0.140631682,
WT,UT,4,39,0.244189454,
WT,UT,4,40,0.241516678,
WT,UT,4,41,0.183228882,
WT,UT,4,42,0.174849187,
WT,UT,4,43,0.269621549,
WT,UT,4,44,0.216155664,
WT,UT,4,45,0.267170107,
WT,UT,4,46,0.077282944,
WT,UT,4,47,0.012352557,
WT,UT,4,48,0.194142355,
WT,UT,4,49,0.25470001,
WT,UT,4,50,0.156608407,
WT,UT,4,51,0.143877802,
WT,UT,4,52,0.349882349,
WT,UT,4,53,0.11238876,
WT,UT,4,54,0.346197481,
WT,UT,4,55,0.114754581,
WT,UT,4,56,0.108236615,
WT,UT,4,57,0.197032832,
WT,UT,4,58,0.300255752,
WT,UT,4,59,0.166197862,
WT,UT,4,60,0.176026041,
WT,UT,4,61,0.182723891,
WT,UT,4,62,0.093897035,
WT,UT,4,63,0.275997106,
WT,UT,4,64,0.245267733,
WT,UT,4,65,0.199668612,
WT,UT,4,66,0.195643594,
WT,UT,4,67,0.14422017,
WT,UT,4,68,0.076354844,
WT,UT,4,69,0.236407767,
WT,UT,4,70,0.278338662,
WT,UT,4,71,0.056663674,
WT,UT,4,72,0.22995748,
WT,UT,4,73,0.2414367,
WT,UT,4,74,0.316188897,
WT,UT,4,75,0.263221618,
WT,UT,4,76,0.273879093,
WT,UT,4,77,0.339812129,
WT,UT,4,78,0.089460829,
WT,UT,4,79,0.272439758,
WT,UT,4,80,0.211453828,
WT,UT,4,81,0.243337589,
WT,UT,4,82,0.309566377,
WT,UT,4,83,0.172174333,
WT,UT,4,84,0.233445542,
WT,UT,4,85,0.273671772,
WT,UT,4,86,0.297034783,
WT,UT,4,87,0.13507576,
WT,UT,4,88,0.207161097,
WT,UT,4,89,0.173631973,
WT,UT,4,90,0.243581034,
WT,UT,4,91,0.259499424,
WT,UT,4,92,0.365669742,
WT,UT,4,93,0.326120984,
WT,UT,4,94,0.322283434,
WT,UT,4,95,0.235037687,
WT,UT,4,96,0.252837358,
WT,UT,4,97,0.33969578,
WT,UT,4,98,0.279402873,
WT,UT,4,99,0.328451922,
WT,UT,4,100,0.415447226,
WT,UT,4,101,0.085305982,
WT,UT,4,102,0.246172317,
WT,UT,4,103,0.441840299,
WT,UT,4,104,0.278067735,
WT,UT,4,105,0.31720658,
WT,UT,4,106,0.18407473,
WT,UT,4,107,0.259127057,
WT,UT,4,108,0.211881856,
WT,UT,4,109,0.205820344,
WT,UT,4,110,0.316269262,
WT,UT,4,111,0.293215904,
WT,UT,4,112,0.302769101,
WT,UT,4,113,0.135665991,
WT,UT,4,114,0.253682764,
WT,UT,4,115,0.098977976,
WT,UT,4,116,0.025284997,
WT,UT,4,117,0.309954638,
WT,UT,4,118,0.242743581,
WT,UT,4,119,0.10146978,
WT,UT,4,120,0.078098993,
WT,UT,4,121,0.289527895,
WT,UT,4,122,0.258483382,
WT,UT,4,123,0.252195095,
WT,UT,4,124,0.2309665,
WT,UT,4,125,0.112384234,
WT,UT,4,126,0.258887889,
WT,UT,4,127,0.211380093,
WT,UT,4,128,0.296711476,
WT,UT,4,129,0.318212323,
WT,UT,4,130,0.196664319,
WT,UT,4,131,0.202241873,
WT,UT,4,132,0.217198316,
WT,UT,4,133,0.212605419,
WT,UT,4,134,0.234830541,
WT,UT,4,135,0.057873226,
WT,UT,4,136,0.135350593,
WT,UT,4,137,0.205900343,
WT,UT,4,138,0.225766865,
WT,UT,4,139,0.274267636,
WT,UT,4,140,0.426398178,
WT,UT,4,141,0.452734331,
WT,UT,4,142,0.262074376,
WT,UT,4,143,0.292354967,
WT,UT,4,144,0.486816575,
WT,UT,4,145,0.298866921,
WT,UT,4,146,0.396856373,
WT,UT,4,147,0.193317331,
WT,UT,4,148,0.30353116,
WT,UT,4,149,0.060518404,
WT,UT,4,150,0.390062967,
WT,UT,4,151,0.200713761,
WT,UT,4,152,0.258166368,
WT,UT,4,153,0.119059665,
WT,UT,4,154,0.1863796,
WT,UT,4,155,0.25229821,
WT,UT,4,156,0.09916313,
WT,UT,4,157,-0.001288962,
WT,UT,4,158,0.316007356,
WT,UT,4,159,0.251123961,
WT,UT,4,160,0.271878286,
WT,UT,4,161,0.28028749,
WT,UT,4,162,0.224048028,
WT,UT,4,163,0.219165445,
WT,UT,4,164,0.269234941,
WT,UT,4,165,0.245967385,
WT,UT,4,166,0.366959721,
WT,UT,4,167,0.376258607,
WT,UT,4,168,0.215041222,
WT,UT,4,169,0.214115908,
WT,UT,4,170,0.202484624,
WT,UT,4,171,0.200184075,
WT,UT,4,172,0.253077931,
WT,UT,4,173,0.056744925,
WT,UT,4,174,0.223438382,
WT,UT,5,1,0.071588416,
WT,UT,5,2,0.190087618,
WT,UT,5,3,0.428873455,
WT,UT,5,4,0.192406639,
WT,UT,5,5,0.160461139,
WT,UT,5,6,0.056343944,
WT,UT,5,7,0.114562854,
WT,UT,5,8,0.209782517,
WT,UT,5,9,0.215446724,
WT,UT,5,10,0.124717183,
WT,UT,5,11,-0.062768348,
WT,UT,5,12,0.201178336,
WT,UT,5,13,-0.085694792,
WT,UT,5,14,-0.013645017,
WT,UT,5,15,0.337262942,
WT,UT,5,16,0.364672636,
WT,UT,5,17,0.151937391,
WT,UT,5,18,0.141139912,
WT,UT,5,19,-0.124773786,
WT,UT,5,20,0.205925377,
WT,UT,5,21,0.263091914,
WT,UT,5,22,0.21590293,
WT,UT,5,23,0.208532449,
WT,UT,5,24,0.073802544,
WT,UT,5,25,0.043836151,
WT,UT,5,26,0.239526758,
WT,UT,5,27,0.027340959,
WT,UT,5,28,0.259511484,
WT,UT,5,29,0.103291173,
WT,UT,5,30,0.084177371,
WT,UT,5,31,0.016936398,
WT,UT,5,32,0.447450709,
WT,UT,5,33,0.289489059,
WT,UT,5,34,0.294427221,
WT,UT,5,35,0.188978871,
WT,UT,5,36,0.08565828,
WT,UT,5,37,0.358653672,
WT,UT,5,38,0.145069511,
WT,UT,5,39,0.131162406,
WT,UT,5,40,0.09653093,
WT,UT,5,41,0.113927069,
WT,UT,5,42,0.276193541,
WT,UT,5,43,0.23589209,
WT,UT,5,44,0.167732027,
WT,UT,5,45,0.08999977,
WT,UT,5,46,0.531608848,
WT,UT,5,47,0.526175903,
WT,UT,5,48,0.312074006,
WT,UT,5,49,0.159331346,
WT,UT,5,50,0.250227814,
WT,UT,5,51,0.211039979,
WT,UT,5,52,0.251918683,
WT,UT,5,53,0.204788091,
WT,UT,5,54,0.115776561,
WT,UT,5,55,0.201854335,
WT,UT,5,56,0.175369194,
WT,UT,5,57,0.316371794,
WT,UT,5,58,0.258233033,
WT,UT,5,59,0.214167035,
WT,UT,5,60,0.254049174,
WT,UT,5,61,0.132652241,
WT,UT,5,62,0.318769884,
WT,UT,5,63,0.152752185,
WT,UT,5,64,0.236650992,
WT,UT,5,65,0.250540334,
WT,UT,5,66,0.156279984,
WT,UT,5,67,0.117406074,
WT,UT,5,68,0.064411267,
WT,UT,5,69,0.194394314,
WT,UT,5,70,0.122815846,
WT,UT,5,71,0.235475212,
WT,UT,5,72,0.150813974,
WT,UT,5,73,0.115931718,
WT,UT,5,74,0.366908261,
WT,UT,5,75,0.402477282,
WT,UT,5,76,0.19048295,
WT,UT,5,77,0.174665002,
WT,UT,5,78,0.146138962,
WT,UT,5,79,0.146925771,
WT,UT,5,80,0.438669594,
WT,UT,5,81,0.060018014,
WT,UT,5,82,0.298295913,
WT,UT,5,83,0.231223067,
WT,UT,5,84,0.21437278,
WT,UT,5,85,0.166678841,
WT,UT,5,86,0.340069393,
WT,UT,5,87,0.275867333,
WT,UT,5,88,0.193333132,
WT,UT,5,89,0.152475631,
WT,UT,5,90,0.265068519,
WT,UT,5,91,0.154035889,
WT,UT,5,92,0.377322335,
WT,UT,5,93,0.16059919,
WT,UT,5,94,0.17760397,
WT,UT,5,95,0.272803077,
WT,UT,5,96,0.415017329,
WT,UT,5,97,0.215082921,
WT,UT,5,98,0.122979397,
WT,UT,5,99,0.171900211,
WT,UT,5,100,0.181188399,
WT,UT,5,101,0.234258132,
WT,UT,5,102,0.130884009,
WT,UT,5,103,0.252179126,
WT,UT,5,104,0.090160946,
WT,UT,5,105,0.262248181,
WT,UT,5,106,0.132723545,
WT,UT,5,107,0.270469495,
WT,UT,5,108,0.153939152,
WT,UT,5,109,0.235479219,
WT,UT,5,110,0.080359103,
WT,UT,5,111,0.092065309,
WT,UT,5,112,0.220002957,
WT,UT,5,113,0.126144947,
WT,UT,5,114,0.269301841,
WT,UT,5,115,0.418796888,
WT,UT,5,116,0.192930128,
WT,UT,5,117,0.268427432,
WT,UT,5,118,0.125588576,
WT,UT,5,119,0.283071271,
WT,UT,5,120,0.217495573,
WT,UT,5,121,0.167016232,
WT,UT,5,122,0.204241726,
WT,UT,5,123,0.352306044,
WT,UT,5,124,0.207759755,
WT,UT,5,125,0.030077132,
WT,UT,5,126,0.234250141,
WT,UT,5,127,0.320466907,
WT,UT,5,128,0.506838165,
WT,UT,5,129,0.139278486,
WT,UT,5,130,0.089849249,
WT,UT,5,131,0.101118098,
WT,UT,5,132,0.208054259,
WT,UT,5,133,0.552403025,
WT,UT,5,134,0.237685819,
WT,UT,5,135,0.267085808,
WT,UT,5,136,0.237229178,
WT,UT,5,137,0.179895331,
WT,UT,5,138,0.339102214,
WT,UT,5,139,0.16656671,
WT,UT,5,140,0.384257874,
WT,UT,5,141,0.174684041,
WT,UT,5,142,0.519986879,
WT,UT,5,143,0.16890541,
WT,UT,5,144,0.239816101,
WT,UT,5,145,0.326839853,
WT,UT,5,146,0.242747263,
WT,UT,5,147,0.12251229,
WT,UT,5,148,0.179530286,
WT,UT,5,149,0.341791425,
WT,UT,5,150,0.189010007,
WT,UT,5,151,0.082275705,
WT,UT,5,152,0.074668437,
WT,UT,5,153,0.088950868,
WT,UT,5,154,0.176845326,
WT,UT,5,155,0.217312457,
WT,UT,5,156,0.172103813,
WT,UT,5,157,0.30508238,
WT,UT,5,158,0.153453098,
WT,UT,5,159,0.382349329,
WT,UT,5,160,0.30017859,
WT,UT,5,161,0.150943431,
WT,UT,5,162,0.142885516,
WT,UT,5,163,0.496844854,
WT,UT,5,164,0.232938776,
WT,UT,5,165,0.051064194,
WT,UT,5,166,0.251177197,
WT,UT,5,167,0.244583161,
WT,UT,5,168,0.100630786,
WT,UT,5,169,0.196027571,
WT,UT,5,170,0.185176535,
WT,UT,5,171,0.299223847,
WT,UT,5,172,0.213271201,
WT,UT,5,173,0.426711111,
WT,UT,5,174,0.138104747,
WT,UT,5,175,0.339046247,
WT,UT,5,176,0.19959494,
WT,UT,5,177,0.371538788,
WT,UT,5,178,0.147959683,
WT,UT,5,179,0.141771685,
WT,UT,5,180,0.19355603,
WT,UT,5,181,0.162704893,
WT,UT,5,182,0.189668447,
WT,UT,5,183,0.217129402,
WT,UT,5,184,0.164898455,
WT,UT,5,185,0.548586044,
WT,UT,5,186,0.119665947,
WT,UT,5,187,0.232367811,
WT,UT,5,188,0.209875347,
WT,UT,5,189,0.21372478,
WT,UT,5,190,0.397897246,
WT,UT,5,191,0.394354556,
WT,UT,5,192,0.19558271,
WT,UT,5,193,0.236938737,
WT,UT,5,194,0.315195454,
WT,UT,5,195,0.227434007,
WT,UT,5,196,0.274262429,
WT,UT,5,197,0.034211395,
WT,UT,5,198,0.166062369,
WT,UT,5,199,0.224539264,
WT,UT,5,200,0.429234281,
WT,UT,5,201,0.125245071,
WT,UT,5,202,0.267904301,
WT,UT,5,203,0.172057488,
WT,UT,5,204,0.236450319,
WT,UT,5,205,0.178405213,
WT,UT,5,206,0.107183136,
WT,UT,5,207,0.128236573,
WT,UT,5,208,0.226609616,
WT,UT,5,209,0.193688369,
WT,UT,5,210,0.161836739,
WT,UT,5,211,0.181654578,
WT,UT,5,212,0.06588022,
WT,UT,5,213,0.332032549,
WT,UT,5,214,0.173191446,
WT,UT,5,215,0.078420051,
