Date Time,Elapsed,UT,UT,UT,UT,E,E,E,E,R,R,R,R,C,C,C,C,X,X,X,X,T,T,T,T,D,D,D,D,ER,ER,ER,ER,EC,EC,EC,EC,EX,EX,EX,EX,ET,ET,ET,ET,ED,ED,ED,ED
11/17/22 6:00,40,0.06556529,0.05497994,0.04860236,0.07472881,0.1413692,0.1600548,0.1373485,0.1178588,0.09162103,0.09807224,0.006927407,0.08784425,0.04385865,0.07308104,0.05548047,0.03836672,0.04431519,0.0443344,0.03594472,0.07020801,0.1644062,0.07803518,0.1492471,0.1299339,0.05473477,0.0900558,0.09270623,0.06897013,0.2037966,0.1855991,0.1927887,0.2130508,0.06874658,0.1383698,0.1343655,0.117919,0.08829056,0.08402668,0.07921301,0.07942455,0.1779326,0.2205684,0.1520215,0.284674,0.02546282,0.02248791,0.0657308,0.03663958
11/17/22 10:00,44,0.07173251,0.05656787,0.0430984,0.07007664,0.152451,0.1535385,0.1264626,0.1190686,0.110709,0.1013437,0.006975333,0.08506741,0.02507727,0.07217782,0.05462212,0.04389101,0.04341318,0.03854547,0.02680906,0.06875917,0.1892584,0.09372877,0.146371,0.1215266,0.05291412,0.08362301,0.07995034,0.07329334,0.2303264,0.2120341,0.2103041,0.2449361,0.07596917,0.1439379,0.1143588,0.1175461,0.07793026,0.07697011,0.09187061,0.07827365,0.2016097,0.237532,0.1674672,0.2469326,0.03097834,0.02204479,0.04569017,0.03335559
11/17/22 14:00,48,0.07058685,0.03487543,0.0557599,0.06676979,0.1621396,0.1540051,0.1345566,0.1388193,0.1327462,0.1038463,0.007063503,0.0910456,0.03074282,0.05667086,0.05453766,0.03834303,0.03719124,0.03330001,0.02976125,0.06317361,0.1905945,0.09302313,0.1376999,0.1290235,0.03594713,0.07250398,0.06256512,0.08638972,0.2545712,0.2101361,0.2139106,0.2529974,0.08060692,0.1343931,0.1124455,0.1377904,0.05970113,0.0745394,0.09394008,0.06598692,0.2292411,0.2635218,0.1658284,0.2963443,0.0395378,0.02506831,0.03661152,0.02525002
11/17/22 18:00,52,0.0642345,0.02471944,0.04877856,0.07059418,0.1666353,0.156558,0.1466728,0.1390008,0.1068368,0.09588143,0.007799784,0.08281612,0.0343492,0.05765716,0.04938431,0.03353591,0.03813596,0.03207526,0.0229556,0.05156922,0.2125372,0.08517528,0.1592907,0.1440496,0.03242228,0.05577389,0.06801319,0.07652266,0.2883679,0.2451757,0.2459813,0.2718808,0.08693408,0.1605831,0.1292479,0.1382625,0.05564261,0.07129617,0.09164906,0.06618746,0.2555704,0.3099066,0.1737263,0.3200796,0.04099937,0.02132649,0.0361122,0.02525716
11/17/22 22:00,56,0.05750143,0.02670911,0.04777408,0.05745466,0.1757353,0.1679325,0.1593171,0.1503992,0.1237087,0.07785477,0.008239427,0.0774193,0.03731615,0.0665926,0.04300778,0.0372582,0.03200418,0.0291353,0.0245521,0.04571627,0.217705,0.09895176,0.1540476,0.1635022,0.0305436,0.0638427,0.06580441,0.04730748,0.294946,0.2490847,0.2432827,0.2931458,0.08049367,0.1596562,0.120675,0.1516744,0.06564542,0.07822936,0.1009006,0.06382658,0.2800222,0.3217357,0.1908418,0.3542122,0.04224171,0.02706332,0.03819296,0.02162716
11/18/22 2:00,60,0.06789796,0.03484828,0.05690256,0.05955674,0.1830061,0.1759112,0.1774489,0.1628918,0.1383595,0.07669967,0.009366862,0.0699824,0.04048339,0.05298911,0.03574518,0.03158549,0.03140044,0.02411711,0.01918537,0.04923488,0.2453051,0.1028746,0.163122,0.1644329,0.02372416,0.05724175,0.05706437,0.04052239,0.3406394,0.2618181,0.2725149,0.3084376,0.08739343,0.155902,0.126862,0.16789,0.06570283,0.0808465,0.1027278,0.06412756,0.3200811,0.3732667,0.1898495,0.3788821,0.04952289,0.04391151,0.03728327,0.01385781
11/18/22 6:00,64,0.06175806,0.02317939,0.04831806,0.06112301,0.2011451,0.1862275,0.177106,0.1626144,0.1064019,0.08018013,0.009274441,0.06541685,0.0336034,0.04632273,0.0390698,0.02792571,0.02491965,0.02469819,0.01381758,0.04674905,0.2540218,0.1212555,0.1814733,0.1641304,0.01413728,0.05005456,0.04458991,0.04376539,0.3318926,0.2655252,0.2964343,0.3500882,0.09224945,0.1830665,0.1311918,0.1645458,0.08826584,0.08351579,0.1024625,0.06507348,0.361042,0.3911494,0.2156622,0.4059556,0.05385981,0.02400631,0.06261832,0.0134414
11/18/22 10:00,68,0.06489383,0.02476828,0.05570036,0.06337889,0.2194003,0.1992614,0.192268,0.1630492,0.1106721,0.07373565,0.008893398,0.05954447,0.02718843,0.04421589,0.03205857,0.02741946,0.02128497,0.02140432,0.01700831,0.04324327,0.3031685,0.1140997,0.1821086,0.1747861,0.01897103,0.04357582,0.04312008,0.04349782,0.3284495,0.2857804,0.3215877,0.3589969,0.1052676,0.1701142,0.1504705,0.1897959,0.08377552,0.08446697,0.1112674,0.07397383,0.3948443,0.4403501,0.2184613,0.3849064,0.0452983,0.02393731,0.04354962,0.01380606
11/18/22 14:00,72,0.05713537,0.04537696,0.04707632,0.063596,0.2315025,0.1999621,0.2060645,0.176165,0.1011429,0.07287034,0.0105151,0.05309888,0.03440031,0.04176879,0.02836595,0.02444988,0.02172281,0.02242507,0.01383367,0.03628227,0.2900025,0.1281364,0.1792851,0.1778526,0.02775731,0.03994749,0.04305226,0.03900896,0.3938257,0.3083482,0.3342388,0.3768729,0.1415707,0.18214,0.1390803,0.2042482,0.08155464,0.08535847,0.1179975,0.07917524,0.3865378,0.4614574,0.224886,0.3769871,0.04234475,0.02404009,0.06012707,0.01352229
11/18/22 18:00,76,0.06195186,0.0404107,0.02995477,0.05602653,0.2400025,0.2315006,0.181978,0.1836251,0.08521714,0.07530414,0.01007788,0.06060702,0.03725513,0.0409707,0.02922473,0.02064596,0.01928571,0.0220679,0.01826134,0.02321541,0.250981,0.1252611,0.1775938,0.1942658,0.01310851,0.04293158,0.04491252,0.04724546,0.4191054,0.3137758,0.3518683,0.3943489,0.1366426,0.2172644,0.1407501,0.1996132,0.07790887,0.09072933,0.1252719,0.1026492,0.4129145,0.5356331,0.2997001,0.404,0.02922513,0.03178255,0.04853925,0.0174137
11/18/22 22:00,80,0.05556999,0.04071189,0.0311818,0.05675507,0.2353737,0.2105669,0.1968175,0.1770319,0.1033482,0.06825546,0.01575192,0.06230376,0.02118075,0.03726259,0.02594268,0.02119995,0.02081177,0.02001441,0.01632176,0.02512878,0.2279163,0.1373949,0.1714432,0.205106,0.009684493,0.03813057,0.0315147,0.03652137,0.3732109,0.3152112,0.3142344,0.3911666,0.1137458,0.2206367,0.1585296,0.2045126,0.08025481,0.09204429,0.1334927,0.1106963,0.398954,0.561044,0.2511949,0.4318378,0.02734925,0.02656943,0.04073518,0.03085267
11/19/22 2:00,84,0.06096477,0.03609353,0.03446524,0.05800382,0.2242408,0.2250714,0.1914345,0.1837034,0.1074533,0.07520028,0.02200568,0.06940909,0.03178681,0.03817767,0.03221453,0.02171754,0.02027237,0.02175978,0.01086773,0.02232484,0.2359941,0.1515962,0.1976346,0.2251275,0.04083671,0.0430246,0.0453239,0.08630417,0.4088857,0.335006,0.3788251,0.4548006,0.1317104,0.1747837,0.1670055,0.2251998,0.06891694,0.1017729,0.1385364,0.100935,0.3999503,0.5698782,0.287597,0.4659517,0.0150421,0.04630763,0.02712326,0.01974221
11/19/22 6:00,88,0.06803438,0.04273731,0.04340186,0.06401163,0.2471993,0.2255698,0.2047317,0.19716,0.1081575,0.07606135,0.02053572,0.06980478,0.04103754,0.03779432,0.02905213,0.02057705,0.02222945,0.02008997,0.01252951,0.02158053,0.2551533,0.1497192,0.1985921,0.2196282,0.01171343,0.05541807,0.05192034,0.07478034,0.41601,0.3302343,0.3951934,0.4276452,0.1327094,0.2117071,0.1761425,0.2252072,0.07254058,0.1171744,0.131264,0.1099216,0.4359576,0.569986,0.280782,0.4692294,0.01672996,0.04794438,0.04362086,0.02275409
11/19/22 10:00,92,0.06795152,0.04396636,0.04323956,0.05848358,0.2422968,0.2346114,0.213858,0.2108708,0.1100432,0.08660115,0.02717951,0.06465006,0.03335752,0.03194112,0.0251009,0.01657512,0.01998369,0.01799821,0.01366744,0.02049792,0.2461353,0.1544632,0.2011248,0.2269084,0.04198053,0.04576013,0.0439227,0.05629662,0.3852154,0.3338125,0.3611907,0.4204046,0.1104746,0.2022171,0.1602362,0.2342276,0.0804521,0.1198595,0.160005,0.1207146,0.4751923,0.5679333,0.2556551,0.5262358,0.01610727,0.03785105,0.05228325,0.02038064
11/19/22 14:00,96,0.069912,0.04118358,0.03717497,0.05917742,0.2665026,0.219197,0.2265224,0.2175283,0.08815072,0.0863197,0.02759957,0.06412238,0.0262628,0.02897699,0.02346469,0.01633917,0.01568986,0.01428907,0.01224776,0.02133451,0.2646566,0.1540939,0.2068578,0.243442,0.01848874,0.04355683,0.052551,0.06162666,0.4381623,0.3634703,0.421287,0.4775952,0.1219382,0.1918496,0.1570264,0.2376678,0.0729095,0.1246856,0.1524597,0.1289706,0.482504,0.6028267,0.2484486,0.4922394,0.04119918,0.05750164,0.08962345,0.02040186
