Date Time,Elapsed,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,E,E,E,E,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA
11/26/22 3:02,60,0.000303084,0.000573673,0.0255185,0.000226263,0.000476641,0.000267256,0.000245548,7.36E-05,0.000255739,9.63E-05,0.000235543,6.80E-05,0.00014232,0.1830061,0.1759112,0.1774489,0.1628918,0.06167919,0.05414951,0.2043277,0.05348166,0.04196118,0.1625231,0.1113397,0.08941016,0.2329445,0.1781814
11/26/22 7:02,64,0.000220455,0.000612019,0.03984855,0.000295942,0.000577128,0.000293228,0.000258852,7.65E-05,0.000220656,0.000155295,0.000337573,8.63E-05,0.000161374,0.2011451,0.1862275,0.177106,0.1626144,0.05799801,0.05612308,0.2244775,0.04732364,0.04164819,0.1762963,0.106388,0.0859461,0.2729536,0.1859993
11/26/22 11:02,68,0.00021436,0.000777843,0.03264371,0.000341426,0.000641087,0.00031199,0.000323989,6.74E-05,0.000292806,0.000163467,0.000322154,6.31E-05,0.00019492,0.2194003,0.1992614,0.192268,0.1630492,0.05980858,0.05039412,0.2420947,0.05226894,0.04092051,0.191821,0.1070665,0.09034058,0.3023642,0.2044102
11/26/22 15:02,72,0.000142728,0.001023553,0.01422452,0.000347359,0.000745244,0.000377481,0.000327357,7.46E-05,0.000313012,0.000128286,0.00047176,8.39E-05,0.000208275,0.2315025,0.1999621,0.2060645,0.176165,0.06515923,0.04832854,0.2586991,0.05558054,0.04286608,0.2077243,0.1108328,0.09170624,0.3177879,0.2264064
11/26/22 19:02,76,0.000153447,0.001370637,0.01772091,0.000451803,0.001021568,0.00039352,0.000338654,9.17E-05,0.000384397,0.000102658,0.000443457,9.16E-05,0.000324891,0.2400025,0.2315006,0.181978,0.1836251,0.0738133,0.05239464,0.27319,0.05424308,0.03965311,0.2258404,0.1138592,0.09892468,0.3762352,0.2539918
11/26/22 23:02,80,0.000153685,0.001775708,0.01522785,0.00049922,0.001304876,0.000585729,0.000421132,0.000139157,0.000376164,0.000126318,0.00049142,7.31E-05,0.000288261,0.2353737,0.2105669,0.1968175,0.1770319,0.07888528,0.05786425,0.2876121,0.05422426,0.04057082,0.2431709,0.1001885,0.09782869,0.3730041,0.2896209
11/27/22 3:02,84,0.000133394,0.001957689,0.01389755,0.000453878,0.001646698,0.000687171,0.000527046,0.000117131,0.000364023,0.000119839,0.000490598,9.33E-05,0.000355845,0.2242408,0.2250714,0.1914345,0.1837034,0.08422188,0.07419372,0.2985873,0.06676767,0.04525108,0.2494958,0.1104542,0.1024062,0.3844411,0.2996534
11/27/22 7:02,88,0.000128949,0.002140264,0.01350872,0.000558583,0.001626483,0.000796511,0.000624664,0.000124498,0.000464819,0.000100816,0.000960181,8.87E-05,0.00036731,0.2471993,0.2255698,0.2047317,0.19716,0.09024602,0.07904008,0.3053429,0.06576918,0.05075329,0.2601802,0.1062902,0.09916272,0.3986208,0.3216112
11/27/22 11:02,92,0.000109589,0.002506946,0.012591,0.000601755,0.001821239,0.00085358,0.000779322,0.000126813,0.000496769,9.68E-05,0.001029011,9.74E-05,0.00046634,0.2422968,0.2346114,0.213858,0.2108708,0.09686498,0.0842914,0.3104343,0.06583175,0.06162635,0.2771339,0.1058689,0.1079172,0.4719769,0.3343729
11/27/22 15:02,96,0.000103146,0.002790721,0.01190289,0.000687727,0.001993362,0.001069621,0.000670866,0.000138647,0.000476933,0.00011032,0.001096891,0.000108969,0.000543772,0.2665026,0.219197,0.2265224,0.2175283,0.1021619,0.08783641,0.3150134,0.07145306,0.06788039,0.2828037,0.1141615,0.1144635,0.4933219,0.3473879
11/27/22 19:02,100,0.000107133,0.003187056,0.002670787,0.000697516,0.002178913,0.001092231,0.000897358,0.000165511,0.000569566,0.000119296,0.001112297,9.99E-05,0.00059945,0.2638679,0.2161641,0.227239,0.2222736,0.1046934,0.09728011,0.3093874,0.0808551,0.07363601,0.2878719,0.1110314,0.1275528,0.5005842,0.3755563
11/27/22 23:02,104,8.98E-05,0.003991908,0.001300966,0.000700586,0.002398096,0.001178364,0.001249031,0.000148648,0.000513026,0.000108354,0.001247894,0.00012459,0.000615859,0.2597273,0.2201124,0.2332875,0.2222265,0.1115653,0.1082731,0.319977,0.08454045,0.0792105,0.3026664,0.1156417,0.1362171,0.5188042,0.3814406
11/28/22 3:02,108,9.96E-05,0.004268107,0.00310067,0.000720372,0.002459944,0.000919913,0.00126919,0.000159367,0.000698641,0.000159615,0.001203791,0.000148569,0.000582695,0.2513589,0.2297172,0.2552124,0.2134704,0.1155862,0.1184614,0.3430057,0.09621449,0.07847682,0.311964,0.1106887,0.1481789,0.5366601,0.4085566
11/28/22 7:02,112,8.75E-05,0.005233311,0.003567028,0.000756609,0.002556773,0.001022255,0.001399727,0.000163494,0.000631761,0.000140068,0.001290256,0.000140142,0.000514115,0.2711678,0.2358934,0.2496854,0.2222354,0.119789,0.1273585,0.3406151,0.1022543,0.09425451,0.3272721,0.1060354,0.1563028,0.512204,0.3966449
11/28/22 11:02,116,0.000112361,0.005156276,0.003476347,0.000918676,0.002565044,0.000971654,0.001325835,0.000173627,0.000777305,0.000133125,0.001334137,0.000164346,0.000585368,0.2737071,0.2208435,0.252451,0.2280453,0.1299156,0.1362217,0.3321064,0.1115626,0.1089674,0.3427815,0.1156748,0.1552684,0.552059,0.4103025
11/28/22 15:02,120,0.000136115,0.003601318,8.68E-05,0.00174436,0.005858912,0.005144406,0.00275647,0.001943584,0.003020773,0.01181864,0.003496246,0.002224594,0.001942389,0.2876152,0.2212786,0.2502914,0.2228869,0.09944841,0.1292818,0.402121,0.0995055,0.09983844,0.3622683,0.08398105,0.1253091,0.5034015,0.4711624
11/28/22 19:02,124,0.000100509,0.003332309,8.25E-05,0.001575013,0.006338499,0.004179128,0.002208152,0.001273611,0.001831355,0.0123586,0.002484116,0.001759288,0.001528213,0.2828134,0.234305,0.2615843,0.2234521,0.1171159,0.1421686,0.429167,0.1072273,0.1079878,0.3922361,0.0828634,0.1368621,0.5094003,0.4675493
11/28/22 23:02,128,9.23E-05,0.003532893,0.000108501,0.001634851,0.006238887,0.004745389,0.00234365,0.001585216,0.002355662,0.01227821,0.002635057,0.002017275,0.003255173,0.2789677,0.2329861,0.2630201,0.2394149,0.1362172,0.1820019,0.4537568,0.1232537,0.1410823,0.4256358,0.0901934,0.1525034,0.5014281,0.4529728
11/29/22 3:02,132,0.000146295,0.003849703,0.000154083,0.002080939,0.006578613,0.004620372,0.002468619,0.001645365,0.002510596,0.01338931,0.003100469,0.00299689,0.003009668,0.2842287,0.2431552,0.2683288,0.2526254,0.1470375,0.2165478,0.4437296,0.1291887,0.1642154,0.4447507,0.09302022,0.162984,0.5081014,0.4530784
11/29/22 7:02,136,0.000181095,0.004333427,0.000200233,0.002284082,0.006491941,0.004414349,0.002466728,0.002291416,0.003696367,0.01353559,0.0030271,0.003139043,0.002092519,0.2804801,0.2504689,0.2645683,0.2522519,0.15016,0.2216846,0.4283779,0.1366684,0.1669747,0.4428811,0.08738599,0.1670916,0.5031189,0.4605997
11/29/22 11:02,140,0.000100722,0.004966156,0.000161454,0.002952299,0.006498121,0.004827565,0.002707453,0.003210372,0.006219687,0.01379897,0.004268543,0.003895425,0.005675098,0.2808674,0.2537578,0.2538312,0.2642282,0.1437481,0.2196067,0.4099686,0.1379547,0.1598263,0.4362156,0.1063859,0.1548264,0.4994699,0.4658168
11/29/22 15:02,144,0.000127841,0.005393252,0.000160814,0.003256706,0.007653416,0.005905458,0.003549542,0.004114795,0.006444805,0.01201154,0.003877337,0.003678684,0.00550064,0.2605903,0.2696339,0.3158073,0.292454,0.150691,0.2295438,0.4129194,0.1395935,0.1723674,0.4072117,0.1118955,0.1545865,0.4647362,0.4335444
11/29/22 19:02,148,0.000213885,0.006653791,0.000125076,0.00354706,0.007978089,0.005419964,0.00333191,0.004296424,0.006474954,0.006959395,0.00463109,0.003034184,0.003495515,0.2982239,0.2478584,0.2654042,0.2837304,0.1560073,0.2473187,0.3798387,0.1404326,0.1830181,0.4422434,0.1301857,0.1694485,0.4152115,0.4475769
11/29/22 23:02,152,0.000221929,0.00806375,0.000104537,0.004516205,0.00881688,0.005496735,0.003866079,0.005356647,0.007951783,0.007301303,0.006826255,0.003357812,0.00689864,0.289151,0.2734951,0.2852968,0.2582163,0.14621,0.247752,0.3865193,0.1272565,0.1931087,0.4578775,0.1228099,0.1540078,0.424849,0.4532002
11/30/22 3:02,156,0.000184203,0.009475681,8.97E-05,0.005176195,0.009519302,0.005390719,0.005040567,0.006343195,0.01099725,0.008303422,0.007492445,0.003709429,0.008264232,0.2948659,0.2570828,0.2806025,0.2677623,0.1356004,0.2534841,0.3951065,0.1109062,0.1927762,0.4423952,0.1282943,0.1333769,0.4830235,0.4542908
11/30/22 7:02,160,0.000177494,0.01063895,9.29E-05,0.005711815,0.009682993,0.005783786,0.005358232,0.006560978,0.01124377,0.01000303,0.007806451,0.005090501,0.007919777,0.2984657,0.256958,0.2848066,0.2608404,0.1343646,0.2566444,0.3559779,0.1019261,0.1895897,0.4248439,0.1081219,0.1206381,0.4924962,0.4842125
11/30/22 11:02,164,0.000157633,0.01169793,7.95E-05,0.006266363,0.0104912,0.005706277,0.006307516,0.007701468,0.01590993,0.009845162,0.008221868,0.005214052,0.008597528,0.3134917,0.261062,0.2961754,0.2562364,0.1408102,0.2655897,0.352991,0.1106581,0.1932902,0.413315,0.08804899,0.1213365,0.5122688,0.4807815
