Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
JNK DN.V1 UP,-0.4139308853632064,-1.6919197853396448,0.0,0.07769423558897243,192,74,RAD17;TRIM24;ZNF204P;RUNX2;RASSF8;MED13;AGTPBP1;MDM2;ADAM12;PROZ;UHRF2;PDK3;AKR1B10;STARD13;PRRG2;TNNT2;DDIT3;SHC3;AKR1C3;PIP4K2A;BAG2;HIST1H2AK;N4BP2L2;SLC25A20;RGL1;KLK7;RASSF2;CD83;STC2;KRT34;ABL2;PAPSS2;HIST1H1E;UNG;PECAM1;TET3;GABRP;RNF8;TBX2;RRAD;C8G;ABCD1;EFHD1;YAP1;MAN2A2;ARL4A;HIST1H2AM;MAP7;TNNC1;EPHA4;SLC25A24;MMP17;PLAA;HR;ROCK1;SPICE1;BIRC3;MRAS;NLE1;PPP1R8;RAB35;CD37;MVD;SNAI2;GCH1;SLC7A7;CTSZ;TSN;IGFBP3;CLIP3;C1S;DGKQ;KDM5C;CBX4,MAP7;TNNC1;EPHA4;SLC25A24;MMP17;PLAA;HR;ROCK1;SPICE1;BIRC3;MRAS;NLE1;PPP1R8;RAB35;CD37;MVD;SNAI2;GCH1;SLC7A7;CTSZ;TSN;IGFBP3;CLIP3;C1S;DGKQ;KDM5C;CBX4
PIGF UP.V1 UP,0.3588604064376913,1.5741165052753716,0.0,0.24518511126634068,191,136,CCPG1;NRCAM;TDRD3;IL6ST;UFL1;PDCD10;AIMP1;CRYBG3;PHF3;RNF6;PPID;SP3;TTC37;HSD17B4;TWF1;NEK7;CD2AP;STAM2;LTBP1;SLC38A6;UGP2;MAPK6;SGMS1;AGL;RDH11;DNAJC3;MTM1;KIF5B;ZC3H14;UPF2;AKAP9;SYNE2;SLC33A1;NAT1;ZNF117;TDP2;TMED5;IREB2;PRKACB;HIF1A;SMC4;OPA1;RNF13;OSBPL8;HS2ST1;CPD;RFK;STK38L;TDG;MARK2;PSPH;ZNF354A;ADAM9;DHX29;ATR;MIPEP;ASCC3;SLC4A7;STXBP3;BACH1;HNRNPA3;SOCS5;BCAS2;SUCLA2;AHCYL2;SPRYD7;THOC2;MBTPS2;NUCB2;RIPK2;HSPA13;SREK1;NECAP1;BAZ2B;NUP155;ITSN2;TAF9;PPIG;TWISTNB;SMC3;BPGM;ROR1;ANAPC13;PISD;PPAT;SCAF11;MTF2;N4BP2L2;TRMU;ITGA2;CREB1;IL1RL1;PTGS2;MAST2;CALB2;CEBPZ;ZNF451;PEX1;REV3L;BCLAF1;RRS1;ARMC6;GMFB;TOPORS;LARP4;RIF1;DNASE2;ACADM;LPCAT4;RECQL;AGA;LGALS8;DMTF1;ARL4A;SAT1;TSPAN8;STAU2;ZNF268;COL8A1;TFPI2;MKLN1;CEP350;ABCE1;DCP2;RAP1A;MAP2K4;MAFK;CRYZ;ATP13A3;GGCX;EIF2S3;PAPOLA;CDC27;DNAJB9;TNFSF10;MAGOH,CCPG1;NRCAM;TDRD3;IL6ST;UFL1;PDCD10;AIMP1;CRYBG3;PHF3;RNF6;PPID;SP3;TTC37;HSD17B4;TWF1;NEK7;CD2AP;STAM2;LTBP1;SLC38A6;UGP2;MAPK6;SGMS1;AGL;RDH11;DNAJC3;MTM1;KIF5B;ZC3H14;UPF2;AKAP9;SYNE2;SLC33A1;NAT1;ZNF117;TDP2;TMED5;IREB2;PRKACB;HIF1A;SMC4;OPA1;RNF13;OSBPL8;HS2ST1;CPD;RFK;STK38L;TDG;MARK2;PSPH;ZNF354A;ADAM9;DHX29;ATR;MIPEP
MEK UP.V1 DN,0.32579116937179686,1.4330183134471999,0.038461538461538464,0.2663739480424442,196,126,TCF12;TAF2;NPEPPS;IFT57;NGLY1;ATP8B1;ACTR6;PRPF38B;TOP2B;LTN1;SP100;ABLIM1;RPRD1A;INSIG2;TFPI;IRF9;LIN7C;OXSM;LPGAT1;AGL;ATF3;ANGEL2;INPP4B;MINPP1;IFIH1;MAN1A2;UBA3;SLC35A5;NRIP1;TDRD7;DDX60;DCAF6;NDUFAF1;SEC24D;PTBP2;NOL8;GNL2;SP110;ATF1;PSPH;HERC6;ELOVL5;ZNF84;GOLGA8A;MGP;RASGRP1;MPDZ;KCTD3;SNX10;STXBP3;TAP1;OAS1;IFI44;CBR4;DDX58;PTER;ZNF43;CHN1;MYC;SATB2;FASTKD1;USP18;HSPB8;AQR;INPP5F;ELOVL6;HIRA;BAZ2B;PLBD1;MTIF2;SAMHD1;UTP14A;ALG13;HIST1H3H;PMS1;POT1;PDZK1;CETN3;HSPA4L;HIST1H2BG;CASP8;METTL3;MOCOS;TM4SF1;ISG15;PRMT3;PDCD4;SLC26A2;CSTA;AMIGO2;GALC;ZNF652;CALB2;SMPDL3A;RHOBTB3;UBE2L6;IFI6;F12;HIST1H2AE;TRIM14;FTO;APBB2;HIST1H1C;ARMCX3;FKTN;MYLK;ANXA9;GOLGA4;HIST1H2AC;HIST1H2AG;LSM7;TFPI2;SMAD7;IFITM1;JMJD1C;ASS1;MOCS2;OAS3;ARMCX5;RMND1;JAK2;HIST1H4H;ZNF140;IFI35;IGF1R;QPRT,TCF12;TAF2;NPEPPS;IFT57;NGLY1;ATP8B1;ACTR6;PRPF38B;TOP2B;LTN1;SP100;ABLIM1;RPRD1A;INSIG2;TFPI;IRF9;LIN7C;OXSM;LPGAT1;AGL;ATF3;ANGEL2;INPP4B;MINPP1;IFIH1;MAN1A2;UBA3;SLC35A5;NRIP1;TDRD7;DDX60;DCAF6;NDUFAF1;SEC24D;PTBP2;NOL8;GNL2;SP110;ATF1;PSPH;HERC6;ELOVL5;ZNF84;GOLGA8A;MGP;RASGRP1;MPDZ;KCTD3;SNX10;STXBP3;TAP1
EIF4E DN,0.3387834664798414,1.4345737194115182,0.018518518518518517,0.29626534278016164,100,75,C3;TP53BP2;NPEPPS;TP53BP1;USP47;CWC22;CCAR1;RANBP2;FXR1;LMO7;STRBP;PRRC2C;PLEKHA5;VPS13C;CLINT1;MYH10;TSPAN6;UPF2;UBA7;NCOA6;KPNA4;FUCA1;SIK3;ADAM9;GALNT5;WDFY3;CD55;FAM160B1;SNAPC1;DIP2B;ARHGAP32;PHIP;EP400;TBCK;PTER;NCOA7;ARID4B;NEDD4L;ITPRIP;FNDC3B;CASP10;CLTC;MAP3K5;OFD1;TNIP1;PRDX4;PTGS2;LOXL1;SORT1;DOCK1;LRBA;EPDR1;CYP1B1;DCTN4;IQGAP1;GATA6;SVIL;PLAU;ALPK1;SH3YL1;COL4A3BP;DENND2D;FZD3;TPD52;KLHL21;SAA1;PARP8;CTSC;SCAMP1;MYO10;SEMA4D;APPBP2;C2CD2;CLDN23;ESRP1,C3;TP53BP2;NPEPPS;TP53BP1;USP47;CWC22;CCAR1;RANBP2;FXR1;LMO7;STRBP;PRRC2C;PLEKHA5;VPS13C;CLINT1;MYH10;TSPAN6;UPF2;UBA7;NCOA6;KPNA4;FUCA1;SIK3;ADAM9;GALNT5;WDFY3;CD55;FAM160B1;SNAPC1;DIP2B;ARHGAP32;PHIP
TBK1.DF DN,0.28995277525384006,1.3974376507505013,0.0,0.313292086618102,287,240,PLEKHA2;SMARCA2;ATP6AP2;MTAP;ALDH3A1;LIAS;BPTF;TTPAL;UFL1;ATP2B1;UBE2W;CUL5;ANKRD11;MFSD6;AMMECR1;LMO4;LIMS1;PRRC2B;PKP4;MSH2;GALNT3;GALNT11;TBK1;NEK7;CD2AP;INSIG2;CBFB;SLK;MED13L;IMPACT;FNBP1L;TMOD3;USP22;EHF;RBBP5;HIPK3;ELL2;GOLGA2;BMPR2;DNAJC3;IDE;ZKSCAN1;YTHDF2;RSF1;ATP6V1C1;PNISR;ARFGEF2;PCYOX1;GTPBP8;ACAP2;AKAP9;AFF4;RSRC1;PDHX;KLF5;CXADR;SEMA3C;PPCS;SLC35A5;UGGT1;CHMP2B;NRIP1;DDX60;MYO6;PANK3;SLC25A13;IGF2BP3;CLN5;POLR3B;RLF;SMAD5;COPS4;BRWD1;RPS6KB1;MPDZ;NLK;TBC1D10B;SPIN1;KCTD3;CASP6;ESF1;DCK;CAMK2N1;ROCK2;COASY;RBM4;BACH1;KTN1;SLC6A8;ETNK1;ZNHIT6;RCC1;KPNA6;STOM;GTF2A1;RCBTB1;THOC2;GOLT1B;ZCCHC10;LUC7L3;ERAP1;RPAP3;LMNB1;SNTB2;PMAIP1;ERLIN2;NSMAF;GEMIN4;SMURF2;NCOA3;MTR;PSMB9;EXPH5;GNAI3;TTBK2;USP46;PPIG;CBX6;ARMC1;MIS18BP1;TTI1;KLF7;DKK1;PLEKHA1;COL17A1;MBP;THBS1;PAFAH1B3;VRK1;DNAJC16;OSBPL1A;OSBPL3;TFAM;TSPAN5;HIPK2;TNRC6B;TRIM23;ODF2;KDM4A;APPL1;SCAF11;ITGA2;IL1RN;CLOCK;FOS;ALDH9A1;IL1RL1;SLC26A2;CCNE2;PTGES;CLEC16A;TAF15;ZWINT;BPHL;RALA;KIF14;SEPHS2;RRN3;HIST1H1E;NIP7;AGFG1;NF1;GALNT7;MPHOSPH9;ITCH;CDCA4;RAI14;CBX5;SPRY2;RFX7;NDUFA13;SERPINE2;SMC5;ATG2B;NME6;C1D;DICER1;BDH1;DSN1;PDGFA;BLMH;ITGB6;CCNG2;TERF2;SMG1;HIST1H1C;SLC39A8;NAA35;RIF1;UBL4A;YES1;AP1AR;PCBD1;HIST1H4C;MTPAP;TLN1;NFYB;MTA1;PRKRA;GOLGA4;SCARB1;RFWD3;IRF2;NAA15;HOOK1;CDK6;RXRA;BCL2L1;HMBOX1;CRK;COL4A5;PRKD3;SEC63;TCOF1;LSM14A;CCND1;HMGCS1;ANKFY1;GNPDA1;DCP2;DNAJB14;UBXN8;MRPS33;ADCY6;DCAF16;RNF5;ZNF395;RMND1;LETM1;SNX15;PSMB8;CDC27;UBXN4;TEAD1;PMEPA1;SIKE1;ADAM10;EXOC5;BNIP2;HNRNPA0,PLEKHA2;SMARCA2;ATP6AP2;MTAP;ALDH3A1;LIAS;BPTF;TTPAL;UFL1;ATP2B1;UBE2W;CUL5;ANKRD11;MFSD6;AMMECR1;LMO4;LIMS1;PRRC2B;PKP4;MSH2;GALNT3;GALNT11;TBK1;NEK7;CD2AP;INSIG2;CBFB;SLK;MED13L;IMPACT;FNBP1L;TMOD3;USP22;EHF;RBBP5;HIPK3;ELL2;GOLGA2;BMPR2;DNAJC3;IDE;ZKSCAN1;YTHDF2;RSF1;ATP6V1C1;PNISR;ARFGEF2;PCYOX1;GTPBP8;ACAP2;AKAP9;AFF4;RSRC1;PDHX;KLF5;CXADR;SEMA3C;PPCS;SLC35A5;UGGT1;CHMP2B;NRIP1;DDX60;MYO6;PANK3;SLC25A13;IGF2BP3;CLN5;POLR3B
CAMP UP.V1 DN,0.33395925690393985,1.4740843148910896,0.0,0.33236203971659517,200,133,HSPA8;SMARCC1;TIMP2;GLS;ARHGEF12;NPEPPS;LMBR1;ATP2B1;SEL1L3;MYO5B;UBTF;ARHGAP5;ESYT1;SNRPA;LRRFIP1;ABLIM1;GNG12;STXBP1;EIF4E;INSIG1;MYO15B;EIF4B;MAPK1;SRRM1;MYH10;MAP2;CALM1;TSC22D1;AKT3;MBD2;PHLDB1;KCNN4;NCF2;HSP90AA1;DCAF6;MFN1;FUT8;IL4R;CDCA7L;CHST15;ANXA1;ME1;OAT;ST13;IQCK;SYPL1;ATP2B4;TMSB4X;SERPINB2;MED4;UBTD2;RAP2A;GNAQ;CAPN12;IDS;BCR;ASAP2;PLS3;FSTL1;RWDD2B;TMEM97;USP36;ITPA;TUBA4A;DYNLL1;RPL7;ZCCHC14;RAB31;GLO1;PAM;NFATC2;PKIA;PELI1;PALLD;TARBP1;SRSF2;RASD2;HENMT1;ZMIZ1;SERINC1;MAP4K4;ANKRD6;DDAH1;NFKB1;TSPAN5;USP38;MPZL3;TLN2;RERE;RNF138;CASP7;CD83;KLHDC4;DNAJA1;ATP9A;ETS2;BZW1;NDRG1;TUBB4B;PINK1;SLC13A4;JARID2;SNN;ENO2;ZFP36;PCYOX1L;ACAT2;RRAD;NAP1L1;BCL2L13;EZR;NYNRIN;TTYH3;TMBIM1;AKAP12;SPOCK2;DEDD2;BAG6;ITSN1;TUBB3;CLK1;TANC2;BIRC3;DAG1;NDRG4;MAL2;PES1;DST;UBE2E2;TJP1;HINT1;DLG5;FAM189B,HSPA8;SMARCC1;TIMP2;GLS;ARHGEF12;NPEPPS;LMBR1;ATP2B1;SEL1L3;MYO5B;UBTF;ARHGAP5;ESYT1;SNRPA;LRRFIP1;ABLIM1;GNG12;STXBP1;EIF4E;INSIG1;MYO15B;EIF4B;MAPK1;SRRM1;MYH10;MAP2;CALM1;TSC22D1;AKT3;MBD2;PHLDB1;KCNN4;NCF2;HSP90AA1;DCAF6;MFN1;FUT8;IL4R;CDCA7L;CHST15;ANXA1;ME1;OAT;ST13;IQCK;SYPL1;ATP2B4;TMSB4X;SERPINB2;MED4;UBTD2;RAP2A;GNAQ;CAPN12;IDS
CORDENONSI YAP CONSERVED SIGNATURE,0.40551453235719376,1.4357526652475157,0.038461538461538464,0.33339986029338387,57,45,ASAP1;DAB2;HEXB;PDLIM2;AXL;GLS;SH2D4A;MDFIC;PHGDH;TGFB2;STMN1;ITGB5;TSPAN3;FSTL1;AGFG2;TOP2A;EMP2;THBS1;TNNT2;DDAH1;GAS6;SERPINE1;ANKRD1;TGM2;FGF2;GGH;NDRG1;FSCN1;SHCBP1;ETV5;AMOTL2;CDC20;DUSP1;CDKN2C;TK1;GADD45B;DUT;MARCKS;BIRC5;CENPF;CRIM1;ECT2;HMMR;SGK1;FLNA,ASAP1;DAB2;HEXB;PDLIM2;AXL;GLS;SH2D4A;MDFIC;PHGDH;TGFB2
GCNP SHH UP EARLY.V1 UP,0.29661569072618155,1.3516850272516368,0.047619047619047616,0.3730748760935369,174,126,STYX;RNF103;DHFR;PPP1CB;INTS7;PARG;SDC3;RLIM;MATR3;FIP1L1;TOP2B;LARP7;CNOT2;RBM39;PRC1;ATL2;MAPK14;OXSM;ARL5A;ANKRD13C;IRF6;E2F3;DNAJC3;AZIN1;GTF2H1;VPS4B;SEC62;AFF4;SRSF10;MCM5;JMJD8;PUM2;VHL;ARHGAP8;UPF3B;RIMKLB;ANLN;ATF1;FNBP4;CD55;FBXO45;MPDZ;MSH6;LATS1;PDS5B;CHEK1;RYK;KIF1B;XPO1;OXNAD1;CD276;LUC7L3;UBE2T;NUP107;TOP2A;MAN1A1;MRPL9;SLC35E1;E2F8;MBTD1;RC3H2;GNL3;RRM1;MLLT10;ZNF281;SMC2;TNPO1;TYMS;KIF4A;HMGCL;EPB41L4B;CDC23;TINF2;STRN3;MRPL50;FTSJ3;ARHGEF1;DHODH;MCM6;LUC7L2;FOSL1;SEH1L;SLC23A2;KIFC1;FEN1;DOLPP1;ABCB10;NEK9;LOXL2;BCKDHA;RPL39L;GPATCH2;FOXK1;NAP1L1;AURKB;CSF1;FNTB;RBBP6;MTA1;PHTF2;TRAIP;NR0B1;RHPN2;NTHL1;LBR;POLA2;SLC27A1;AURKA;MCM10;STAG2;CKS2;TBP;DCPS;TIA1;CLIP4;COX7B;SHC1;ADCY6;GGPS1;IRF5;KIAA2013;NVL;DARS;SRSF1;CD2BP2;SNAPC2,STYX;RNF103;DHFR;PPP1CB;INTS7;PARG;SDC3;RLIM;MATR3;FIP1L1;TOP2B;LARP7;CNOT2;RBM39;PRC1;ATL2;MAPK14;OXSM;ARL5A;ANKRD13C;IRF6;E2F3;DNAJC3;AZIN1;GTF2H1;VPS4B;SEC62;AFF4;SRSF10;MCM5;JMJD8;PUM2;VHL;ARHGAP8;UPF3B;RIMKLB;ANLN;ATF1;FNBP4;CD55;FBXO45;MPDZ;MSH6;LATS1;PDS5B;CHEK1
SIRNA EIF4GI DN,0.3296616925947848,1.3581930207541615,0.018867924528301886,0.3780969055891718,99,71,SLC43A3;RAB7A;ATP6V0E1;ATMIN;PDCD10;ENOX2;DCTN6;NEK7;ITGAE;UAP1;AKAP10;PPME1;SPTSSA;FAM206A;STAMBP;NEDD4;TMEM39A;RNF34;PDHX;PSME3;BET1;TAF11;FAM111A;TMEM156;ATP2B4;ANKRD49;SNX10;ADIPOR2;FSTL1;TRIP13;STAG1;SLC31A1;RIPK2;SMURF2;MRPL9;MBD5;COPS7A;SRSF8;MAP4K3;HSD17B12;TANK;IGF2BP2;SRPK1;PAPSS2;DUSP4;SP140L;MFAP5;SHCBP1;PBX3;MAPKAPK5;LOXL2;ACYP1;CDKN2C;CDC6;MAN2A2;PSMC3IP;PDE6D;CFTR;TXNDC9;MYO19;IMPA1;WDYHV1;EIF5A2;HIST1H3A;MYD88;FCHSD2;VPS54;SSR3;C1QTNF1;C2CD2;RAB1A,SLC43A3;RAB7A;ATP6V0E1;ATMIN;PDCD10;ENOX2;DCTN6;NEK7;ITGAE;UAP1;AKAP10;PPME1;SPTSSA;FAM206A;STAMBP;NEDD4;TMEM39A;RNF34;PDHX;PSME3;BET1;TAF11;FAM111A;TMEM156
KRAS.KIDNEY UP.V1 UP,0.42651324246279504,1.437600013203362,0.023255813953488372,0.3783720852875628,145,29,MEF2C;NRCAM;DDX6;COPG2;SATB1;ANK3;LIMCH1;CAB39L;GPNMB;NEBL;TMOD1;TRIB2;EMP1;TRIM2;ST3GAL6;MPZL2;NMNAT2;CALB1;GPRC5B;GPR19;SFRP1;DUSP6;PECAM1;MAP7;ITGBL1;CA2;FZD3;TSPAN7;SLC12A5,MEF2C;NRCAM;DDX6;COPG2;SATB1;ANK3;LIMCH1
